epsilon,n_files,accepted_qubits_median,half_frequency_mean_median,half_frequency_variance_median,delta_mean_median,late_aligned_mean_median,thermal_fraction_median
0.0,2,45.0,0.9728353589179025,0.026415722124452784,0.0007230615888110109,1.0507885219042057,0.0
0.01,2,43.0,1.03101999440623,0.052972026907924026,0.00041443019062841564,1.114017750628895,0.0
0.02,2,44.5,0.9642389216060562,0.10570634789366598,0.0009456635310699721,1.0376247323728758,0.011363636363636364
0.03,3,45.0,0.835697700520176,0.10349391169424349,0.0008678111335750104,0.8834676958823474,0.0
0.04,3,45.0,0.8333626815174549,0.1264869512087203,0.002519228761241942,0.8670351326795693,0.06521739130434782
0.05,3,42.0,0.6618108385839494,0.12270630489893891,0.008298729347412881,0.657770267270573,0.08163265306122448
0.06,2,40.5,0.6676149058456756,0.12731930897773924,0.006153100835335426,0.6645014762933042,0.0928030303030303
0.07,3,35.0,0.5548141664593206,0.10774721513158711,0.008504473107972284,0.5403209991022635,0.10204081632653061
0.08,3,47.0,0.5130913679223849,0.11518745956341114,0.009643328938424334,0.45797950566994583,0.125
0.09,3,46.0,0.4553662921595935,0.18380444565522278,0.01590078921891157,0.3657836608590975,0.1956521739130435
0.1,4,41.5,0.3607790165916285,0.15120322843711426,0.02344581675085617,0.2788832556793366,0.29910714285714285
0.11,3,47.0,0.3277079920143156,0.08462521642855088,0.02678894621936618,0.23691732826522643,0.3469387755102041
0.12,5,47.0,0.26544045488239426,0.06123579969903333,0.02483517038163101,0.16513673657452013,0.26
0.13,4,47.5,0.2303616054100314,0.046954926726630014,0.03336123126995792,0.09888889854441489,0.3564872757613684
0.14,4,49.0,0.2561330688826156,0.09640938617652385,0.03533081371102817,0.1348684521805182,0.4030769230769231
0.15,4,43.0,0.20814214777026557,0.03587895496999828,0.030909890745953898,0.06381539972062811,0.3799342105263158
0.17,5,47.0,0.16689662425864257,0.04079027882674633,0.03729966087559484,0.026425827823682378,0.5918367346938775
0.2,4,39.0,0.11756825177230992,0.012167594347876873,0.05974898612504832,-0.01213821595523895,0.7374661246612466
0.25,4,36.5,0.07627491958229411,0.0023875157546333113,0.07015844774349043,-0.012200585668947979,0.9297619047619048
0.3,2,41.0,0.05853511075241631,0.0005783590372289947,0.06156795140235106,-0.009341610440394226,0.9644403215831787
0.35,2,43.5,0.042422952482515916,0.00038329764926882273,0.04971643861105793,-0.005407435005432194,0.98
0.4,4,42.5,0.03428244295427774,0.00017044693520109315,0.05348043080636683,0.0001843733017170347,1.0
0.45,1,39.0,0.02482107179957427,4.906814328120986e-05,0.02207428711550528,0.00016890506335318672,1.0
0.47,1,38.0,0.0225726041941754,1.9966300001029083e-05,0.0011278731390828133,6.67493234581505e-05,1.0
0.5,1,40.0,0.020342404733175203,1.9578812488269706e-05,0.058793641265998134,0.0003055846722903858,1.0
0.6,1,49.0,0.01553694321681792,1.0503408711285384e-05,0.08974368957409867,0.0003091465175360201,1.0
0.7,1,51.0,0.012930608536169235,8.58481129750069e-06,0.09286208220156492,0.0004798942140495981,1.0
0.8,1,49.0,0.01133442460026846,5.199510372365186e-06,0.09990808227249016,0.0013004942921078335,1.0
0.9,1,49.0,0.010621913497673432,8.477198001590359e-06,0.08964994329436272,0.003448142526100524,1.0
