timestep,eps0.05_standard,eps0.05_standard_aligned,eps0.05_polarized,eps0.05_polarized_aligned,eps0.50_thermal,eps0.50_thermal_aligned
0,1.0,1.0,1.0,1.0,1.0,1.0
1,-0.9494505929320269,0.9494505929320269,-0.8833240652386016,0.8833240652386016,0.00973740308193075,-0.00973740308193075
2,0.8460396799604077,0.8460396799604077,0.8726924177435429,0.8726924177435429,0.007242883976186762,0.007242883976186762
3,-0.7928688576176237,0.7928688576176237,-0.7705441692892954,0.7705441692892954,-0.0028514457858328196,0.0028514457858328196
4,0.7016721943055748,0.7016721943055748,0.7554431538043808,0.7554431538043808,0.017883152738001028,0.017883152738001028
5,-0.6647050819988622,0.6647050819988622,-0.6728010695360699,0.6728010695360699,0.0029345774994394254,-0.0029345774994394254
6,0.5937230439625044,0.5937230439625044,0.6445389149329418,0.6445389149329418,0.006527221594845201,0.006527221594845201
7,-0.5504502483781007,0.5504502483781007,-0.5801936522103844,0.5801936522103844,0.00019877904364369757,-0.00019877904364369757
8,0.5046803098951848,0.5046803098951848,0.563855936234243,0.563855936234243,0.004886406476338222,0.004886406476338222
9,-0.471367362345918,0.471367362345918,-0.5102720906688957,0.5102720906688957,0.004745344306446282,-0.004745344306446282
10,0.4223689966708575,0.4223689966708575,0.46834438246608145,0.46834438246608145,-0.00018146781012174062,-0.00018146781012174062
11,-0.408699002437099,0.408699002437099,-0.428932270643337,0.428932270643337,0.0021096316847737414,-0.0021096316847737414
12,0.36989482908157223,0.36989482908157223,0.4105641934712292,0.4105641934712292,0.002292558891273591,0.002292558891273591
13,-0.6012642897557094,0.6012642897557094,-0.7151119501369796,0.7151119501369796,0.0009298530918057867,-0.0009298530918057867
14,0.5914693001520184,0.5914693001520184,0.7331927680575884,0.7331927680575884,0.003538418591820822,0.003538418591820822
15,-0.602164304767699,0.602164304767699,-0.719973621684155,0.719973621684155,0.0020416266665738555,-0.0020416266665738555
16,0.6002943874024449,0.6002943874024449,0.7190336297059153,0.7190336297059153,0.0013358108939138952,0.0013358108939138952
17,-0.6133202500615099,0.6133202500615099,-0.7233934401878404,0.7233934401878404,0.0011822630960616003,-0.0011822630960616003
18,0.6030373208114425,0.6030373208114425,0.7234277792232768,0.7234277792232768,0.0007226981225383866,0.0007226981225383866
19,-0.6249270316470706,0.6249270316470706,-0.720256315771667,0.720256315771667,0.00010512756411581528,-0.00010512756411581528
20,0.6119180649658175,0.6119180649658175,0.7370061628665225,0.7370061628665225,0.0015854881538870356,0.0015854881538870356
