index,coordinate,gap,normalized_gap,domain,observable,source
1,0.0,6.215264457793142e-05,0.05648589745848454,neutrino,detector_transition,L_Fib_Y
2,6.215264457793142e-05,2.65231087646479e-06,0.002410487296452216,neutrino,detector_transition,L_Fib_Y
3,6.480495545439621e-05,6.223253060746747e-05,0.056558499905305294,neutrino,detector_transition,L_Fib_Y
4,0.00012703748606186367,0.00039798018413345635,0.3616944705109667,neutrino,detector_transition,L_Fib_Y
5,0.00052501767019532,3.26745172911922e-06,0.0029695428822848493,neutrino,detector_transition,L_Fib_Y
6,0.0005282851219244393,5.888488818590269e-05,0.05351607769083169,neutrino,detector_transition,L_Fib_Y
7,0.000587170010110342,5.3707044733619e-06,0.004881032242831739,neutrino,detector_transition,L_Fib_Y
8,0.0005925407145837039,0.0001218421321562414,0.11073321545426722,neutrino,detector_transition,L_Fib_Y
9,0.0007143828467399453,5.022013666749082e-06,0.004564133206904932,neutrino,detector_transition,L_Fib_Y
10,0.0007194048604066943,6.06634233474068e-05,0.05513245548845,neutrino,detector_transition,L_Fib_Y
11,0.0007800682837541011,1.5246123436372027e-06,0.001385606309939854,neutrino,detector_transition,L_Fib_Y
12,0.0007815928960977383,0.00027218042927207764,0.24736446731227046,neutrino,detector_transition,L_Fib_Y
13,0.001053773325369816,0.00018490700236307978,0.16804816666715525,neutrino,detector_transition,L_Fib_Y
14,0.0012386803277328958,8.035883825314788e-06,0.007303214735712101,neutrino,detector_transition,L_Fib_Y
15,0.0012467162115582105,0.00018858494589287585,0.17139077489393253,neutrino,detector_transition,L_Fib_Y
16,0.0014353011574510864,0.00020360021930434851,0.18503703564423868,neutrino,detector_transition,L_Fib_Y
17,0.001638901376755435,9.458596633643047e-06,0.008596212167274929,neutrino,detector_transition,L_Fib_Y
18,0.001648359973389078,5.297701343066354e-05,0.04814685149155747,neutrino,detector_transition,L_Fib_Y
19,0.0017013369868197415,9.065593890118014e-06,0.008239041320846612,neutrino,detector_transition,L_Fib_Y
20,0.0017104025807098595,0.0002469171904067107,0.22440459601944043,neutrino,detector_transition,L_Fib_Y
21,0.0019573197711165702,5.468233036311828e-06,0.004969668670830477,neutrino,detector_transition,L_Fib_Y
22,0.001962788004152882,6.181499693315527e-05,0.05617903472771191,neutrino,detector_transition,L_Fib_Y
23,0.0020246030010860373,1.121093287966956e-06,0.0010188779726998446,neutrino,detector_transition,L_Fib_Y
24,0.0020257240943740043,0.00014212026632127658,0.1291624973436219,neutrino,detector_transition,L_Fib_Y
25,0.002167844360695281,8.143061886092557e-06,0.007400620871718129,neutrino,detector_transition,L_Fib_Y
