index,coordinate,gap,normalized_gap,domain,observable,source
1,0.0,0.034742368413474736,0.695457149444594,neutrino,detector_transition,L_bkg2c14;1_bkg_phi
2,0.034742368413474736,0.023895554096891813,0.4783304850966376,neutrino,detector_transition,L_bkg2c14;1_bkg_phi
3,0.05863792251036655,0.015643731580238365,0.3131492027828864,neutrino,detector_transition,L_bkg2c14;1_bkg_phi
4,0.07428165409060491,0.003910934249313713,0.07828732780457325,neutrino,detector_transition,L_bkg2c14;1_bkg_phi
5,0.07819258833991863,0.0009489529535699204,0.018995714632707734,neutrino,detector_transition,L_bkg2c14;1_bkg_phi
6,0.07914154129348855,0.00030402463503914623,0.0060858287935042655,neutrino,detector_transition,L_bkg2c14;1_bkg_phi
7,0.0794455659285277,0.0018349385071381313,0.03673097609216139,neutrino,detector_transition,L_bkg2c14;1_bkg_phi
8,0.08128050443566583,0.030920476542452405,0.6189522320344218,neutrino,detector_transition,L_bkg2c14;1_bkg_phi
9,0.11220098097811823,0.014972731161207925,0.29971741732884555,neutrino,detector_transition,L_bkg2c14;1_bkg_phi
10,0.12717371213932616,0.006998839511027866,0.14009963045213203,neutrino,detector_transition,L_bkg2c14;1_bkg_phi
11,0.13417255165035402,0.012036827382980314,0.24094781220722458,neutrino,detector_transition,L_bkg2c14;1_bkg_phi
12,0.14620937903333434,0.0008859855535682248,0.017735261459453935,neutrino,detector_transition,L_bkg2c14;1_bkg_phi
13,0.14709536458690256,0.025148520851467848,0.5034118116520353,neutrino,detector_transition,L_bkg2c14;1_bkg_phi
14,0.1722438854383704,0.0028099798122572517,0.05624891564592771,neutrino,detector_transition,L_bkg2c14;1_bkg_phi
15,0.17505386525062766,0.010175800524292955,0.20369461119400403,neutrino,detector_transition,L_bkg2c14;1_bkg_phi
16,0.18522966577492062,0.0010379870370547661,0.020777958985391747,neutrino,detector_transition,L_bkg2c14;1_bkg_phi
17,0.18626765281197538,0.01231478533453631,0.24651184982129862,neutrino,detector_transition,L_bkg2c14;1_bkg_phi
18,0.1985824381465117,0.004340872016290187,0.08689362920295647,neutrino,detector_transition,L_bkg2c14;1_bkg_phi
19,0.20292331016280188,0.04995615968751013,1.0,neutrino,detector_transition,L_bkg2c14;1_bkg_phi
20,0.252879469850312,0.004707864051331001,0.09423991116971397,neutrino,detector_transition,L_bkg2c14;1_bkg_phi
21,0.257587333901643,0.013808798490116792,0.276418335126133,neutrino,detector_transition,L_bkg2c14;1_bkg_phi
22,0.2713961323917598,0.006416889426531791,0.12845041465699614,neutrino,detector_transition,L_bkg2c14;1_bkg_phi
23,0.2778130218182916,0.008188838865602233,0.16392050383427648,neutrino,detector_transition,L_bkg2c14;1_bkg_phi
24,0.2860018606838938,0.005530903872963622,0.11071515319754331,neutrino,detector_transition,L_bkg2c14;1_bkg_phi
25,0.29153276455685745,0.024262535297899623,0.4856765501925813,neutrino,detector_transition,L_bkg2c14;1_bkg_phi
26,0.31579529985475707,0.005467936472961954,0.10945470002429007,neutrino,detector_transition,L_bkg2c14;1_bkg_phi
27,0.321263236327719,0.014820718843688352,0.2966745029320934,neutrino,detector_transition,L_bkg2c14;1_bkg_phi
28,0.3360839551714074,0.006201898874977518,0.12414683021617644,neutrino,detector_transition,L_bkg2c14;1_bkg_phi
29,0.3422858540463849,0.003391940730786358,0.06789834831187794,neutrino,detector_transition,L_bkg2c14;1_bkg_phi
