index,coordinate,gap,normalized_gap,domain,observable,source
1,0.0,0.001252855659583612,0.06531194948759596,neutrino,detector_transition,L_bkg2tripleC14
2,0.001252855659583612,0.0009429379147866308,0.049155792999292014,neutrino,detector_transition,L_bkg2tripleC14
3,0.002195793574370243,0.0009011163062754169,0.046975613054634845,neutrino,detector_transition,L_bkg2tripleC14
4,0.00309690988064566,0.0010038102231509144,0.05232909480678257,neutrino,detector_transition,L_bkg2tripleC14
5,0.004100720103796574,0.0005377895754447443,0.028035221230573632,neutrino,detector_transition,L_bkg2tripleC14
6,0.0046385096792413184,0.0009995559727059688,0.05210731874818998,neutrino,detector_transition,L_bkg2tripleC14
7,0.005638065651947287,0.0012817059632527677,0.06681592926493754,neutrino,detector_transition,L_bkg2tripleC14
8,0.006919771615200055,0.000745424482822654,0.038859325730396646,neutrino,detector_transition,L_bkg2tripleC14
9,0.007665196098022709,0.0007438983051339873,0.0387797653761381,neutrino,detector_transition,L_bkg2tripleC14
10,0.008409094403156696,0.00029229798721598643,0.015237630313073128,neutrino,detector_transition,L_bkg2tripleC14
11,0.008701392390372683,0.0004503477913630864,0.023476840269957177,neutrino,detector_transition,L_bkg2tripleC14
12,0.009151740181735769,0.00011802802445830089,0.006152855927635961,neutrino,detector_transition,L_bkg2tripleC14
13,0.00926976820619407,0.0015600453316243143,0.08132589027156586,neutrino,detector_transition,L_bkg2tripleC14
14,0.010829813537818384,0.00015712638225964456,0.008191071543485914,neutrino,detector_transition,L_bkg2tripleC14
15,0.010986939920078029,9.666997539819686e-05,0.005039450875189041,neutrino,detector_transition,L_bkg2tripleC14
16,0.011083609895476226,0.0012353480145816404,0.06439926779336506,neutrino,detector_transition,L_bkg2tripleC14
17,0.012318957910057866,0.00033693567083045717,0.01756461356543001,neutrino,detector_transition,L_bkg2tripleC14
18,0.012655893580888323,0.0007791197376219427,0.04061587506837404,neutrino,detector_transition,L_bkg2tripleC14
19,0.013435013318510266,0.00020943353068872232,0.010917867571350381,neutrino,detector_transition,L_bkg2tripleC14
20,0.013644446849198988,0.0005366937653981437,0.02797809614208949,neutrino,detector_transition,L_bkg2tripleC14
21,0.014181140614597132,0.0013757057304515999,0.07171618094211503,neutrino,detector_transition,L_bkg2tripleC14
22,0.015556846345048732,0.00026032781951976225,0.01357101056983812,neutrino,detector_transition,L_bkg2tripleC14
23,0.015817174164568494,0.0004921284124798191,0.025654883522635893,neutrino,detector_transition,L_bkg2tripleC14
24,0.016309302577048313,0.0006251976052015322,0.0325918425625018,neutrino,detector_transition,L_bkg2tripleC14
25,0.016934500182249845,0.0007691453346235083,0.04009590479101648,neutrino,detector_transition,L_bkg2tripleC14
26,0.017703645516873354,0.0004831666392274142,0.025187702105923544,neutrino,detector_transition,L_bkg2tripleC14
27,0.018186812156100768,7.414619661854846e-05,0.0038652757891179976,neutrino,detector_transition,L_bkg2tripleC14
28,0.018260958352719316,0.0007189333653594351,0.0374783314295825,neutrino,detector_transition,L_bkg2tripleC14
29,0.01897989171807875,0.00020803995927632518,0.010845220044081286,neutrino,detector_transition,L_bkg2tripleC14
30,0.019187931677355077,0.000941371955215084,0.04907415879693667,neutrino,detector_transition,L_bkg2tripleC14
31,0.02012930363257016,7.850050452649568e-05,0.004092267889893441,neutrino,detector_transition,L_bkg2tripleC14
