path_index,source_sample_index,scale_factor,redshift,contraction_elapsed_time_Gyr,H_signed_km_s_Mpc,H_magnitude_km_s_Mpc,E_of_a,q_A_ln_E,boundary_margin_candidate,trajectory_direction
0,0,1,0,0,-67.321780000000004,67.321780000000004,1,0,0.39586391463199999,contraction
1,1,0.99540541735200005,0.0046157902783999999,0.0668129750292,-67.469553493600003,67.469553493600003,1.00219503248,0.0021926269157571138,0.39551999074600003,contraction
2,2,0.99083194489299997,0.0092528860766799993,0.13347892428800001,-67.619053279100001,67.619053279100001,1.00441570735,0.0044059867194343027,0.39517189199199998,contraction
3,3,0.98627948563099999,0.0139113857367,0.19999678877099999,-67.770296380700003,67.770296380700003,1.00666227751,0.006640182619759424,0.394819575714,contraction
4,4,0.98174794302000001,0.018591388054099999,0.266365511168,-67.923299932800006,67.923299932800006,1.0089349974499999,0.0088953165509452793,0.39446299903600002,contraction
5,5,0.97723722095599996,0.0232929922808,0.33258403605199999,-68.078081179199998,68.078081179199998,1.01123412333,0.011171489222817979,0.39410211886000002,contraction
6,6,0.97274722377699996,0.0280162981265,0.39865131007299998,-68.234657473799999,68.234657473799999,1.0135599129099999,0.013468800022101273,0.39373689186999999,contraction
7,7,0.96827785626100005,0.032761405761399999,0.46456628214899998,-68.393046279800004,68.393046279800004,1.0159126256,0.015787347033016663,0.39336727454499998,contraction
8,8,0.96382902362400003,0.037528415817999997,0.53032790366500004,-68.553265169699998,68.553265169699998,1.0182925224199999,0.018127226969071111,0.39299322315500002,contraction
9,9,0.95940063151599997,0.0423174293933,0.595935128664,-68.715331825199996,68.715331825199996,1.02069986601,0.020488535154650982,0.39261469377300001,contraction
10,10,0.95499258602100001,0.047128548050899999,0.66138691404700001,-68.8792640371,68.8792640371,1.02313492063,0.022871365496985555,0.39223164227899998,contraction
11,11,0.95060479365600004,0.0519618738232,0.72668221976900005,-69.045079704800003,69.045079704800003,1.02559795217,0.025275810468156589,0.39184402436600002,contraction
12,12,0.946237161366,0.056817509213699997,0.79182000904100003,-69.212796836300001,69.212796836300001,1.02808922813,0.027701961058091817,0.39145179554499998,contraction
13,13,0.94188959652299997,0.061695557198699999,0.85679924852400002,-69.3824335483,69.3824335483,1.03060901759,0.030149906718457815,0.39105491115500002,contraction
14,14,0.937562006926,0.066596121230299996,0.92161890853700001,-69.554008065199994,69.554008065199994,1.03315759128,0.032619735404107147,0.39065332636400002,contraction
15,15,0.933254300797,0.0715193052376,0.98627796324999994,-69.727538719899997,69.727538719899997,1.0357352215,0.035111533469041681,0.39024699618499997,contraction
16,16,0.92896638677999999,0.076465213629799994,1.0507753908899999,-69.903043952600001,69.903043952600001,1.0383421821700001,0.037625385689086591,0.38983587547199999,contraction
17,17,0.92469817393800002,0.081433951297900001,1.11511017395,-70.080542311299993,70.080542311299993,1.0409787488,0.040161375207359885,0.38941991893900002,contraction
18,18,0.92044957175300002,0.086425623617100003,1.1792812993799999,-70.2600524514,70.2600524514,1.0436451984999999,0.042719583518890401,0.38899908115800003,contraction
19,19,0.91622049012200002,0.091440336448799994,1.24328775879,-70.441593135199994,70.441593135199994,1.0463418099599999,0.045300090426811365,0.388573316572,contraction
20,20,0.91201083935600002,0.096478196143199996,1.3071285486699999,-70.625183231899996,70.625183231899996,1.0490688634800001,0.047902974046920711,0.38814257950499997,contraction
21,21,0.90782053017800002,0.101539309541,1.37080267056,-70.810841717499997,70.810841717499997,1.0518266409100001,0.050528310726647055,0.38770682416500002,contraction
22,22,0.903649473722,0.106623783978,1.4343091313,-70.9985876744,70.9985876744,1.05461542571,0.053176175079133373,0.38726600465799998,contraction
23,23,0.89949758153000003,0.111731727282,1.4976469431899999,-71.188440290900004,71.188440290900004,1.05743550291,0.055846639922292413,0.38682007499299997,contraction
24,24,0.89536476555,0.116863247781,1.5608151242199999,-71.380418861500004,71.380418861500004,1.0602871591,0.058539776247214008,0.38636898909400003,contraction
25,25,0.89125093813400003,0.12201845430200001,1.6238126982700001,-71.574542786500004,71.574542786500004,1.06317068245,0.061255653215411959,0.38591270080899998,contraction
26,26,0.88715601203799999,0.12719745617600001,1.6866386952800001,-71.770831571499997,71.770831571499997,1.0660863627099999,0.063994338137482246,0.38545116392099998,contraction
27,27,0.88307990041899997,0.13240036323599999,1.7492921515199999,-71.969304827299993,71.969304827299993,1.06903449118,0.066755896424184835,0.38498433215299999,contraction
28,28,0.87902251683099997,0.13762728582299999,1.8117721096999999,-72.169982270000006,72.169982270000006,1.0720153607,0.069540391557145004,0.38451215918800002,contraction
