sample_index,branch_local_index,branch,time_relative_to_bounce_Gyr,distance_to_bounce_Gyr,scale_factor,ln_scale_factor,redshift_equivalent,H_signed_km_s_Mpc,H_magnitude_km_s_Mpc,E_classical_of_a,E_lqc_of_a,E2_lqc_of_a,rho_total_relative_to_rho_crit0,rho_over_rho_c,rho_c_relative_to_rho_crit0,lqc_correction_factor,rho_m_relative_to_rho_crit0,rho_r_relative_to_rho_crit0,rho_lambda_relative_to_rho_crit0,fraction_matter_at_a,fraction_radiation_at_a,fraction_lambda_at_a,Omega_m_planck,Omega_r_effective,Omega_Lambda_planck,Omega_Lambda_dynamic,effective_ricci_over_6H0sq,scale_factor_margin_component,density_to_bounce_margin_component,curvature_margin_component,boundary_margin_candidate,distance_from_bounce_log_a
0,0,contraction,-13.796895275026275,13.796895275026275,1,0,0,-67.321780000000004,67.321780000000004,1,1,1,1,4.0279678756494123e-123,2.4826414481738492e+122,1,0.31579669999999999,9.2161799023199995e-05,0.68411113820097691,0.31579669999999999,9.2161799023199995e-05,0.68411113820097691,0.31579669999999999,9.2161799023199995e-05,0.68420329999999996,0.68411113820097691,1.5261206264019536,1,1,0.39586391463195358,0.39586391463195358,72.779167319815031
1,1,contraction,-13.782370930047179,13.782370930047179,0.99900025000000015,-0.0010002500833644506,0.0010007505003124528,-67.353730731021543,67.353730731021543,1.0004745972406186,1.0004745972406186,1.0009494197237778,1.0009494197237778,4.0317921077972971e-123,2.4826414481738492e+122,1,0.31674575024574114,9.2531277059814055e-05,0.68411113820097691,0.3164453108261458,9.244350936868419e-05,0.68346224566448555,0.31579669999999999,9.2161799023199995e-05,0.68420329999999996,0.68411113820097691,1.5265951515248242,0.99900025000000015,1,0.39578956660171316,0.39578956660171316,72.778167069731666
2,2,contraction,-13.767846219641134,13.767846219641134,0.99800100000000003,-0.0020010006671670401,0.0020030040050060816,-67.38577832503654,67.38577832503654,1.0009506332874225,1.0009506332874225,1.0019021702784923,1.0019021702784923,4.0356297564251943e-123,2.4826414481738492e+122,1,0.31769812965518524,9.2902422330052846e-05,0.68411113820097691,0.3170949610448261,9.272604160966071e-05,0.68281231291356415,0.31579669999999999,9.2161799023199995e-05,0.68420329999999996,0.68411113820097691,1.5270713412295465,0.99800100000000003,1,0.39571498583552062,0.39571498583552062,72.777166319147852
3,3,contraction,-13.753321157792755,13.753321157792755,0.99700225000000009,-0.0030022522525342014,0.0030067635253581138,-67.4179230930377,67.4179230930377,1.0014281127599076,1.0014281127599076,1.0028582650258702,1.0028582650258702,4.0394808753537097e-123,2.4826414481738492e+122,1,0.31865385158169601,9.3275243197251742e-05,0.68411113820097691,0.31774565030231455,9.300939768876071e-05,0.68216134029999675,0.31579669999999999,9.2161799023199995e-05,0.68420329999999996,0.68411113820097691,1.5275492021928019,0.99700225000000009,1,0.39564017156716064,0.39564017156716064,72.776165067562488
4,4,contraction,-13.738795758524372,13.738795758524372,0.996004,-0.0040040053413461542,0.004012032080192407,-67.450165347032708,67.450165347032708,1.0019070402926469,1.0019070402926469,1.0038177173879714,1.0038177173879714,4.0433455186464695e-123,2.4826414481738492e+122,1,0.31961292943892367,9.3649748070917817e-05,0.68411113820097691,0.31839737823176373,9.3293579550083369e-05,0.68150932818868626,0.31579669999999999,9.2161799023199995e-05,0.68420329999999996,0.68411113820097691,1.5280287411214155,0.996004,1,0.39556512302799496,0.39556512302799496,72.775163314473673
5,5,contraction,-13.724270035896065,13.724270035896065,0.99500625000000009,-0.0050062604362369686,0.0050188126959000989,-67.482505400047572,67.482505400047572,1.0023874205353389,1.0023874205353389,1.0047805408474906,1.0047805408474906,4.0472237406113343e-123,2.4826414481738492e+122,1,0.32057537670110658,9.402594540700749e-05,0.68411113820097691,0.31905014445315055,9.3578589139177117e-05,0.68085627695771023,0.31579669999999999,9.2161799023199995e-05,0.68420329999999996,0.68411113820097691,1.5285099647525073,0.99500625000000009,1,0.39548983944695698,0.39548983944695698,72.774161059378784
6,6,contraction,-13.709744004005653,13.709744004005653,0.99400900000000003,-0.0060090180405974122,0.0060271084064631442,-67.514943566129844,67.514943566129844,1.0028692581528569,1.0028692581528569,1.0057467489480616,1.0057467489480616,4.0511155958016266e-123,2.4826414481738492e+122,1,0.32154120690337651,9.440384370820711e-05,0.68411113820097691,0.31970394857322221,9.3864428403021643e-05,0.68020218699837476,0.31579669999999999,9.2161799023199995e-05,0.68420329999999996,0.68411113820097691,1.5289928798536421,0.99400900000000003,1,0.395414320050546,0.395414320050546,72.77315830177443
7,7,contraction,-13.695217676988717,13.695217676988717,0.99301225000000015,-0.0070122786585751322,0.0070369222534765186,-67.547480160351867,67.547480160351867,1.0033525578252962,1.0033525578252962,1.0067163552945644,1.0067163552945644,4.0550211390173653e-123,2.4826414481738492e+122,1,0.32251043364206317,9.4783451524214248e-05,0.68411113820097691,0.32035879018544094,9.4151099290008737e-05,0.67954705871526899,0.31579669999999999,9.2161799023199995e-05,0.68420329999999996,0.68411113820097691,1.5294774932229855,0.99301225000000015,1,0.39533856406282136,0.39533856406282136,72.772155041156452
8,8,contraction,-13.680691069018593,13.680691069018593,0.99201600000000001,-0.008016042795077628,0.0080482572861728663,-67.580115498814152,67.580115498814152,1.0038373242480241,1.0038373242480241,1.0076893735534325,1.0076893735534325,4.0589404253065067e-123,2.4826414481738492e+122,1,0.32348307057500358,9.516477745202199e-05,0.68411113820097691,0.32101466886993124,9.4438603749924234e-05,0.67889089252631885,0.31579669999999999,9.2161799023199995e-05,0.68420329999999996,0.68411113820097691,1.5299638116894556,0.99201600000000001,1,0.39526257070539733,0.39526257070539733,72.771151277019953
9,9,contraction,-13.666164194306402,13.666164194306402,0.99102025000000016,-0.0090203109557719825,0.0090611165614424838,-67.612849898648506,67.612849898648506,1.0043235621317277,1.0043235621317277,1.0086658174529624,1.0086658174529624,4.0628735099661867e-123,2.4826414481738492e+122,1,0.32445913142184918,9.5547830136203808e-05,0.68411113820097691,0.32167158419342373,9.4726943733928543e-05,0.6782336888628423,0.31579669999999999,9.2161799023199995e-05,0.68420329999999996,0.68411113820097691,1.5304518421128785,0.99102025000000016,1,0.39518633919743729,0.39518633919743729,72.770147008859254
10,10,contraction,-13.651637067101033,13.651637067101033,0.99002500000000004,-0.010025083647088521,0.010075503143859965,-67.645683678021555,67.645683678021555,1.0048112762024646,1.0048112762024646,1.0096457007836255,1.0096457007836255,4.0668204485439819e-123,2.4826414481738492e+122,1,0.32543862996437933,9.5932618269201734e-05,0.68411113820097691,0.32232953570920342,9.5016121194538522e-05,0.67757544816960202,0.31579669999999999,9.2161799023199995e-05,0.68420329999999996,0.68411113820097691,1.5309415913841435,0.99002500000000004,1,0.39510986875564802,0.39510986875564802,72.769142236167937
11,11,contraction,-13.637109701689171,13.637109701689171,0.98903025000000011,-0.011030361376220214,0.011091420105704408,-67.678617156137861,67.678617156137861,1.00530047120171,1.00530047120171,1.0106290373983802,1.0106290373983802,4.0707812968391639e-123,2.4826414481738492e+122,1,0.32642158004681177,9.6319150591614967e-05,0.68411113820097691,0.32298852295705366,9.5306138085607861e-05,0.67691617090486089,0.31579669999999999,9.2161799023199995e-05,0.68420329999999996,0.68411113820097691,1.5314330664253595,0.98903025000000011,1,0.39503315859427468,0.39503315859427468,72.768136958438802
12,12,contraction,-13.622582112395282,13.622582112395282,0.98803600000000003,-0.012036144651126006,0.012108870526984727,-67.711650653243382,67.711650653243382,1.0057911518864084,1.0057911518864084,1.0116158412129883,1.0116158412129883,4.0747561109039739e-123,2.4826414481738492e+122,1,0.32740799557611888,9.6707435892491638e-05,0.68411113820097691,0.32364854546320371,9.5596996362308438e-05,0.67625585754043394,0.31579669999999999,9.2161799023199995e-05,0.68420329999999996,0.68411113820097691,1.5319262741900133,0.98803600000000003,1,0.39495620792509423,0.39495620792509423,72.767131175163897
