pair_id,phase,control_name,object_a,object_b,symbol_a,symbol_b,Q_a,Q_b,charge_difference,same_charge_pair,layer_a,layer_b,layer_pair,layer_difference,category_a,category_b,category_pair,category_difference,sub_category_a,sub_category_b,sub_category_pair,sub_category_difference,route_class_a,route_class_b,route_class_pair,route_class_difference,closure_class_a,closure_class_b,closure_class_pair,closure_class_difference,structural_route_a,structural_route_b,structural_route_pair,structural_route_difference,composite_difference,external_difference,boson_difference,fermion_difference,hadron_difference,meson_difference,baryon_difference,lepton_difference,gauge_boson_difference,type_distance,route_distance,structural_distance,pair_class,source_note,notes
P001,Phase 2C-P,pairwise_same_charge_route_control,positron,proton,e+,p,1.0,1.0,0.0,TRUE,A,C,A|C,1,lepton,baryon,baryon|lepton,1,charged_lepton_antiparticle,charged_baryon,charged_baryon|charged_lepton_antiparticle,1,FREE_INTEGER_ROUTE,COMPOSITE_INTEGER_ROUTE,COMPOSITE_INTEGER_ROUTE|FREE_INTEGER_ROUTE,1,FREE_INTEGER_CLOSURE,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_INTEGER_CLOSURE|FREE_INTEGER_CLOSURE,1,external_leptonic_integer_closure,composite_baryonic_integer_closure,composite_baryonic_integer_closure|external_leptonic_integer_closure,1,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,5.0,6,11.0,CROSS_LAYER_SAME_CHARGE_PAIR,e+ compared with p; both have Q/e = +1.,Pairwise same-charge control. Charge difference is zero; structural differences are measured separately.
P002,Phase 2C-P,pairwise_same_charge_route_control,positron,pi_plus,e+,pi+,1.0,1.0,0.0,TRUE,A,C,A|C,1,lepton,meson,lepton|meson,1,charged_lepton_antiparticle,charged_light_meson,charged_lepton_antiparticle|charged_light_meson,1,FREE_INTEGER_ROUTE,COMPOSITE_INTEGER_ROUTE,COMPOSITE_INTEGER_ROUTE|FREE_INTEGER_ROUTE,1,FREE_INTEGER_CLOSURE,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_INTEGER_CLOSURE|FREE_INTEGER_CLOSURE,1,external_leptonic_integer_closure,composite_mesonic_integer_closure,composite_mesonic_integer_closure|external_leptonic_integer_closure,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,7.0,6,13.0,CROSS_LAYER_SAME_CHARGE_PAIR,e+ compared with pi+; both have Q/e = +1.,Pairwise same-charge control. Charge difference is zero; structural differences are measured separately.
P003,Phase 2C-P,pairwise_same_charge_route_control,positron,k_plus,e+,K+,1.0,1.0,0.0,TRUE,A,C,A|C,1,lepton,meson,lepton|meson,1,charged_lepton_antiparticle,charged_strange_meson,charged_lepton_antiparticle|charged_strange_meson,1,FREE_INTEGER_ROUTE,COMPOSITE_INTEGER_ROUTE,COMPOSITE_INTEGER_ROUTE|FREE_INTEGER_ROUTE,1,FREE_INTEGER_CLOSURE,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_INTEGER_CLOSURE|FREE_INTEGER_CLOSURE,1,external_leptonic_integer_closure,composite_strange_mesonic_integer_closure,composite_strange_mesonic_integer_closure|external_leptonic_integer_closure,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,7.0,6,13.0,CROSS_LAYER_SAME_CHARGE_PAIR,e+ compared with K+; both have Q/e = +1.,Pairwise same-charge control. Charge difference is zero; structural differences are measured separately.
P004,Phase 2C-P,pairwise_same_charge_route_control,positron,w_plus,e+,W+,1.0,1.0,0.0,TRUE,A,A,A|A,0,lepton,gauge_boson,gauge_boson|lepton,1,charged_lepton_antiparticle,charged_weak_gauge_boson,charged_lepton_antiparticle|charged_weak_gauge_boson,1,FREE_INTEGER_ROUTE,FREE_INTEGER_ROUTE,FREE_INTEGER_ROUTE|FREE_INTEGER_ROUTE,0,FREE_INTEGER_CLOSURE,FREE_INTEGER_CLOSURE,FREE_INTEGER_CLOSURE|FREE_INTEGER_CLOSURE,0,external_leptonic_integer_closure,external_gauge_integer_closure,external_gauge_integer_closure|external_leptonic_integer_closure,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,3,7.0,SAME_LAYER_DIFFERENT_CATEGORY_PAIR,e+ compared with W+; both have Q/e = +1.,Pairwise same-charge control. Charge difference is zero; structural differences are measured separately.
P005,Phase 2C-P,pairwise_same_charge_route_control,proton,pi_plus,p,pi+,1.0,1.0,0.0,TRUE,C,C,C|C,0,baryon,meson,baryon|meson,1,charged_baryon,charged_light_meson,charged_baryon|charged_light_meson,1,COMPOSITE_INTEGER_ROUTE,COMPOSITE_INTEGER_ROUTE,COMPOSITE_INTEGER_ROUTE|COMPOSITE_INTEGER_ROUTE,0,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_INTEGER_CLOSURE|COMPOSITE_INTEGER_CLOSURE,0,composite_baryonic_integer_closure,composite_mesonic_integer_closure,composite_baryonic_integer_closure|composite_mesonic_integer_closure,1,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,3,7.0,SAME_LAYER_DIFFERENT_CATEGORY_PAIR,p compared with pi+; both have Q/e = +1.,Pairwise same-charge control. Charge difference is zero; structural differences are measured separately.
P006,Phase 2C-P,pairwise_same_charge_route_control,proton,k_plus,p,K+,1.0,1.0,0.0,TRUE,C,C,C|C,0,baryon,meson,baryon|meson,1,charged_baryon,charged_strange_meson,charged_baryon|charged_strange_meson,1,COMPOSITE_INTEGER_ROUTE,COMPOSITE_INTEGER_ROUTE,COMPOSITE_INTEGER_ROUTE|COMPOSITE_INTEGER_ROUTE,0,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_INTEGER_CLOSURE|COMPOSITE_INTEGER_CLOSURE,0,composite_baryonic_integer_closure,composite_strange_mesonic_integer_closure,composite_baryonic_integer_closure|composite_strange_mesonic_integer_closure,1,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,3,7.0,SAME_LAYER_DIFFERENT_CATEGORY_PAIR,p compared with K+; both have Q/e = +1.,Pairwise same-charge control. Charge difference is zero; structural differences are measured separately.
P007,Phase 2C-P,pairwise_same_charge_route_control,proton,w_plus,p,W+,1.0,1.0,0.0,TRUE,C,A,A|C,1,baryon,gauge_boson,baryon|gauge_boson,1,charged_baryon,charged_weak_gauge_boson,charged_baryon|charged_weak_gauge_boson,1,COMPOSITE_INTEGER_ROUTE,FREE_INTEGER_ROUTE,COMPOSITE_INTEGER_ROUTE|FREE_INTEGER_ROUTE,1,COMPOSITE_INTEGER_CLOSURE,FREE_INTEGER_CLOSURE,COMPOSITE_INTEGER_CLOSURE|FREE_INTEGER_CLOSURE,1,composite_baryonic_integer_closure,external_gauge_integer_closure,composite_baryonic_integer_closure|external_gauge_integer_closure,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,7.0,6,13.0,CROSS_LAYER_SAME_CHARGE_PAIR,p compared with W+; both have Q/e = +1.,Pairwise same-charge control. Charge difference is zero; structural differences are measured separately.
P008,Phase 2C-P,pairwise_same_charge_route_control,pi_plus,k_plus,pi+,K+,1.0,1.0,0.0,TRUE,C,C,C|C,0,meson,meson,meson|meson,0,charged_light_meson,charged_strange_meson,charged_light_meson|charged_strange_meson,1,COMPOSITE_INTEGER_ROUTE,COMPOSITE_INTEGER_ROUTE,COMPOSITE_INTEGER_ROUTE|COMPOSITE_INTEGER_ROUTE,0,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_INTEGER_CLOSURE|COMPOSITE_INTEGER_CLOSURE,0,composite_mesonic_integer_closure,composite_strange_mesonic_integer_closure,composite_mesonic_integer_closure|composite_strange_mesonic_integer_closure,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,SAME_CATEGORY_DIFFERENT_SUBTYPE_PAIR,pi+ compared with K+; both have Q/e = +1.,Pairwise same-charge control. Charge difference is zero; structural differences are measured separately.
P009,Phase 2C-P,pairwise_same_charge_route_control,pi_plus,w_plus,pi+,W+,1.0,1.0,0.0,TRUE,C,A,A|C,1,meson,gauge_boson,gauge_boson|meson,1,charged_light_meson,charged_weak_gauge_boson,charged_light_meson|charged_weak_gauge_boson,1,COMPOSITE_INTEGER_ROUTE,FREE_INTEGER_ROUTE,COMPOSITE_INTEGER_ROUTE|FREE_INTEGER_ROUTE,1,COMPOSITE_INTEGER_CLOSURE,FREE_INTEGER_CLOSURE,COMPOSITE_INTEGER_CLOSURE|FREE_INTEGER_CLOSURE,1,composite_mesonic_integer_closure,external_gauge_integer_closure,composite_mesonic_integer_closure|external_gauge_integer_closure,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,6,11.0,CROSS_LAYER_SAME_CHARGE_PAIR,pi+ compared with W+; both have Q/e = +1.,Pairwise same-charge control. Charge difference is zero; structural differences are measured separately.
P010,Phase 2C-P,pairwise_same_charge_route_control,k_plus,w_plus,K+,W+,1.0,1.0,0.0,TRUE,C,A,A|C,1,meson,gauge_boson,gauge_boson|meson,1,charged_strange_meson,charged_weak_gauge_boson,charged_strange_meson|charged_weak_gauge_boson,1,COMPOSITE_INTEGER_ROUTE,FREE_INTEGER_ROUTE,COMPOSITE_INTEGER_ROUTE|FREE_INTEGER_ROUTE,1,COMPOSITE_INTEGER_CLOSURE,FREE_INTEGER_CLOSURE,COMPOSITE_INTEGER_CLOSURE|FREE_INTEGER_CLOSURE,1,composite_strange_mesonic_integer_closure,external_gauge_integer_closure,composite_strange_mesonic_integer_closure|external_gauge_integer_closure,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,6,11.0,CROSS_LAYER_SAME_CHARGE_PAIR,K+ compared with W+; both have Q/e = +1.,Pairwise same-charge control. Charge difference is zero; structural differences are measured separately.
