node_id,time_idx,time_value,scale_idx,scale_value,object_id,size,weight,voxel_count,physical_volume,cx,cy,cz,equiv_radius,q_mean,q_max,enstrophy_mean,enstrophy_integral,enstrophy_max,helicity_mean,helicity_integral,scale_persistence,scale_out_degree,scale_in_degree,scale_branching,scale_merging,scale_entropy,scale_conservation,time_persistence,time_out_degree,time_in_degree,time_branching,time_merging,time_entropy,time_conservation,stitch_defect,scale_out_overlap_src_mean,scale_out_overlap_src_min,scale_out_overlap_src_max,scale_out_overlap_dst_mean,scale_out_overlap_dst_min,scale_out_overlap_dst_max,scale_out_iou_mean,scale_out_iou_min,scale_out_iou_max,scale_out_distance_norm_mean,scale_out_distance_norm_min,scale_out_distance_norm_max,scale_out_feature_similarity_mean,scale_out_feature_similarity_min,scale_out_feature_similarity_max,scale_out_confidence_mean,scale_out_confidence_min,scale_out_confidence_max,scale_out_edge_n,time_out_overlap_src_mean,time_out_overlap_src_min,time_out_overlap_src_max,time_out_overlap_dst_mean,time_out_overlap_dst_min,time_out_overlap_dst_max,time_out_iou_mean,time_out_iou_min,time_out_iou_max,time_out_distance_norm_mean,time_out_distance_norm_min,time_out_distance_norm_max,time_out_feature_similarity_mean,time_out_feature_similarity_min,time_out_feature_similarity_max,time_out_confidence_mean,time_out_confidence_min,time_out_confidence_max,time_out_edge_n,scale_branch_flag,time_branch_flag,scale_merge_flag,time_merge_flag,any_restructure_flag,strain_sq_mean_proxy,dissipation_mean_proxy
t00_s00_o000001,0,1.0,0,0.0061359405517578125,o000001,3.2111325296756144e-05,0.06448181935585122,139,3.2111325296756144e-05,4.320576196094211,3.6196663825632,3.287133719423692,0.01971771296793591,799.0981350905604,1864.168212890625,2008.0709456848583,0.06448181935585122,4482.2578125,-62.26183040536565,-0.001999309889718159,0.25,1,0,0,0,0.0,0.4770402770509839,1.0,1,0,0,0,0.0,1.0290679090826043,0.0,0.6258992805755396,0.6258992805755396,0.6258992805755396,0.6796875,0.6796875,0.6796875,0.48333333333333334,0.48333333333333334,0.48333333333333334,0.30545122207270015,0.30545122207270015,0.30545122207270015,0.5180359258600528,0.5180359258600528,0.5180359258600528,0.6258992805755396,0.6258992805755396,0.6258992805755396,1.0,0.9064748201438849,0.9064748201438849,0.9064748201438849,0.8811188811188811,0.8811188811188811,0.8811188811188811,0.8076923076923077,0.8076923076923077,0.8076923076923077,0.08031412707580068,0.08031412707580068,0.08031412707580068,0.9997172872044979,0.9997172872044979,0.9997172872044979,0.9064748201438849,0.9064748201438849,0.9064748201438849,1.0,0,0,0,0,0,409.87467550373754,0.15165362993638287
t00_s00_o000002,0,1.0,0,0.0061359405517578125,o000002,9.587194243276115e-05,0.15895922892478717,415,9.587194243276115e-05,4.236096681456968,4.136191740955215,3.3521663924297656,0.028392325967049648,674.1073523096292,1566.5966796875,1658.0370115716773,0.15895922892478717,3243.89990234375,-3.7917436875492694,-0.00036352183253250903,0.0,0,0,0,0,,,1.0,1,0,0,0,0.0,0.9658247562918073,,,,,,,,,,,,,,,,,,,,,0.8722891566265061,0.8722891566265061,0.8722891566265061,0.9118387909319899,0.9118387909319899,0.9118387909319899,0.8044444444444444,0.8044444444444444,0.8044444444444444,0.04188521815255174,0.04188521815255174,0.04188521815255174,0.9904762740778911,0.9904762740778911,0.9904762740778911,0.8722891566265061,0.8722891566265061,0.8722891566265061,1.0,0,0,0,0,0,309.822306952419,0.11463425357239504
t00_s00_o000003,0,1.0,0,0.0061359405517578125,o000003,7.069111899861424e-05,0.12550949884750243,306,7.069111899861424e-05,3.426793664109473,4.346001673368067,3.3156048067254957,0.025650278351441198,722.5101474936491,1635.659912109375,1775.4634616826875,0.12550949884750243,3502.7421875,90.64199427685706,0.006407584003697014,0.25,1,0,0,0,0.0,0.7364148625394894,0.0,0,0,0,0,,,,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.6358695652173914,0.6358695652173914,0.6358695652173914,0.5318181818181819,0.5318181818181819,0.5318181818181819,0.20134927033039504,0.20134927033039504,0.20134927033039504,0.6123449672203362,0.6123449672203362,0.6123449672203362,0.7647058823529411,0.7647058823529411,0.7647058823529411,1.0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,330.4431666953892,0.12226397167729401
t00_s00_o000004,0,1.0,0,0.0061359405517578125,o000004,2.3563706332871415e-05,0.04583139313807685,102,2.3563706332871415e-05,4.026732243743597,3.357373317082723,3.2742373382343963,0.017784909685203767,443.84176815257354,578.6633911132812,1944.9993345971202,0.04583139313807685,2580.20556640625,117.99666348625632,0.002780438726648795,0.0,0,0,0,0,,,1.0,1,0,0,0,0.0,1.0107370336886932,,,,,,,,,,,,,,,,,,,,,0.8627450980392157,0.8627450980392157,0.8627450980392157,0.8543689320388349,0.8543689320388349,0.8543689320388349,0.7521367521367521,0.7521367521367521,0.7521367521367521,0.1415988514222875,0.1415988514222875,0.1415988514222875,0.9990768003061485,0.9990768003061485,0.9990768003061485,0.8627450980392157,0.8627450980392157,0.8627450980392157,1.0,0,0,0,0,0,1057.3157982919731,0.3912068453680301
t00_s00_o000005,0,1.0,0,0.0061359405517578125,o000005,3.0263191466727013e-05,0.054867394424577394,131,3.0263191466727013e-05,3.7002443666676528,4.219972583173796,3.278644359748782,0.01933193704027686,673.4358408687679,1606.0323486328125,1813.0075436657621,0.054867394424577394,3565.99365234375,0.020413297050781834,6.177715171149845e-07,0.0,0,0,0,0,,,0.2222222222222222,1,0,0,0,0.0,1.002644895449886,,,,,,,,,,,,,,,,,,,,,0.9465648854961832,0.9465648854961832,0.9465648854961832,0.9253731343283582,0.9253731343283582,0.9253731343283582,0.8794326241134752,0.8794326241134752,0.8794326241134752,0.04793298995642134,0.04793298995642134,0.04793298995642134,0.9801976216711573,0.9801976216711573,0.9801976216711573,0.9465648854961832,0.9465648854961832,0.9465648854961832,1.0,0,0,0,0,0,466.1358619282264,0.17247026891344377
t00_s00_o000006,0,1.0,0,0.0061359405517578125,o000006,2.2408622689103208e-05,0.023310054631846964,97,2.2408622689103208e-05,3.8063618055323962,3.427072119467037,3.27544480500762,0.017489424471037365,475.4898549502658,737.4161376953125,1040.2270123983167,0.023310054631846964,1603.01220703125,-0.31963710563698994,-7.162627297656332e-06,0.5,1,0,0,0,0.0,1.2004625230173014,1.0,1,0,0,0,0.0,1.0634273512376051,0.0,0.8556701030927835,0.8556701030927835,0.8556701030927835,0.49404761904761907,0.49404761904761907,0.49404761904761907,0.45604395604395603,0.45604395604395603,0.45604395604395603,0.16160521475886508,0.16160521475886508,0.16160521475886508,0.6931241948373704,0.6931241948373704,0.6931241948373704,0.8556701030927835,0.8556701030927835,0.8556701030927835,1.0,0.8762886597938144,0.8762886597938144,0.8762886597938144,0.8173076923076923,0.8173076923076923,0.8173076923076923,0.7327586206896551,0.7327586206896551,0.7327586206896551,0.060786974440625544,0.060786974440625544,0.060786974440625544,0.9918505102889202,0.9918505102889202,0.9918505102889202,0.8762886597938144,0.8762886597938144,0.8762886597938144,1.0,0,0,0,0,0,89.24730249778509,0.033021501924180484
t00_s00_o000007,0,1.0,0,0.0061359405517578125,o000007,3.834877697310446e-05,0.08358604229210281,166,3.834877697310446e-05,3.9876132672091567,4.183334985411311,3.2695234051669937,0.020919644636455254,841.1879748608693,2462.359130859375,2179.6273281602976,0.08358604229210281,5587.61767578125,22.375125351440477,0.0008580586918476463,0.0,0,0,0,0,,,1.0,1,0,0,0,0.0,1.0345016369682178,,,,,,,,,,,,,,,,,,,,,0.9879518072289156,0.9879518072289156,0.9879518072289156,0.9534883720930233,0.9534883720930233,0.9534883720930233,0.9425287356321839,0.9425287356321839,0.9425287356321839,0.024225437435456645,0.024225437435456645,0.024225437435456645,0.9984143705623498,0.9984143705623498,0.9984143705623498,0.9879518072289156,0.9879518072289156,0.9879518072289156,1.0,0,0,0,0,0,497.25137843855896,0.1839830100222668
t00_s00_o000008,0,1.0,0,0.0061359405517578125,o000008,3.2111325296756144e-05,0.05837604751099547,139,3.2111325296756144e-05,3.534469510153901,3.6416498242522315,3.307837000853724,0.01971771296793591,674.1595588519419,1451.4422607421875,1817.9270700139107,0.05837604751099547,3683.54833984375,25.44821970411342,0.0008171760611421053,0.5,1,0,0,0,0.0,0.5349554674741983,1.0,1,0,0,0,0.0,1.0345261459586816,0.0,0.5467625899280576,0.5467625899280576,0.5467625899280576,0.5588235294117647,0.5588235294117647,0.5588235294117647,0.38190954773869346,0.38190954773869346,0.38190954773869346,0.8364972608297723,0.8364972608297723,0.8364972608297723,0.5467559557273057,0.5467559557273057,0.5467559557273057,0.5467625899280576,0.5467625899280576,0.5467625899280576,1.0,0.8057553956834532,0.8057553956834532,0.8057553956834532,0.7671232876712328,0.7671232876712328,0.7671232876712328,0.6473988439306358,0.6473988439306358,0.6473988439306358,0.09014778042602778,0.09014778042602778,0.09014778042602778,0.9849255773168271,0.9849255773168271,0.9849255773168271,0.8057553956834532,0.8057553956834532,0.8057553956834532,1.0,0,0,0,0,0,469.6079523100268,0.17375494235470992
t00_s00_o000009,0,1.0,0,0.0061359405517578125,o000009,1.9636421944059512e-05,0.022736444338494456,85,1.9636421944059512e-05,4.095911965650671,3.6705108165740965,3.287844688752118,0.016736240784171897,489.6319066664752,762.0150756835938,1157.8710420496323,0.022736444338494456,1877.208251953125,-3.380491542816162,-6.638075831306288e-05,0.5,1,0,0,0,0.0,0.7936570405706693,1.0,1,0,0,0,0.0,1.050721825974793,0.0,0.6823529411764706,0.6823529411764706,0.6823529411764706,0.5576923076923077,0.5576923076923077,0.5576923076923077,0.44274809160305345,0.44274809160305345,0.44274809160305345,0.25965224609132714,0.25965224609132714,0.25965224609132714,0.6486620043125664,0.6486620043125664,0.6486620043125664,0.6823529411764706,0.6823529411764706,0.6823529411764706,1.0,0.7529411764705882,0.7529411764705882,0.7529411764705882,0.7191011235955056,0.7191011235955056,0.7191011235955056,0.5818181818181818,0.5818181818181818,0.5818181818181818,0.10168484651528895,0.10168484651528895,0.10168484651528895,0.9965138228265287,0.9965138228265287,0.9965138228265287,0.7529411764705882,0.7529411764705882,0.7529411764705882,1.0,0,0,0,0,0,178.6072287166819,0.0660846746251723
t00_s00_o000010,0,1.0,0,0.0061359405517578125,o000010,2.1946589231595925e-05,0.03131203575655424,95,2.1946589231595925e-05,3.9085207211343866,4.252004214336997,3.286788471121537,0.017368386513613724,526.4402995862459,779.78857421875,1426.7381334806744,0.03131203575655424,2001.3916015625,12.594322525827508,0.000276402423124572,0.25,1,0,0,0,0.0,1.1741824692933078,1.0,1,0,0,0,0.0,0.9777828499264622,0.0,0.9052631578947369,0.9052631578947369,0.9052631578947369,0.5375,0.5375,0.5375,0.5088757396449705,0.5088757396449705,0.5088757396449705,0.10275034011749849,0.10275034011749849,0.10275034011749849,0.6971708411429015,0.6971708411429015,0.6971708411429015,0.9052631578947369,0.9052631578947369,0.9052631578947369,1.0,0.8631578947368421,0.8631578947368421,0.8631578947368421,0.8817204301075269,0.8817204301075269,0.8817204301075269,0.7735849056603774,0.7735849056603774,0.7735849056603774,0.05307571381307693,0.05307571381307693,0.05307571381307693,0.9988104380969237,0.9988104380969237,0.9988104380969237,0.8631578947368421,0.8631578947368421,0.8631578947368421,1.0,0,0,0,0,0,373.8575343081825,0.13832728769402752
