label,control_kind,q,closure,similarity,support,n_pairs
perfect_2T,synthetic exact period-2,1,1.1179945857964146e-13,1.1179945857975326e-13,0.9999999999989997,50
perfect_2T,synthetic exact period-2,2,0.9999999999989997,1.0,0.9999999999989997,49
perfect_2T,synthetic exact period-2,3,1.1179945857964145e-13,1.1179945857975326e-13,0.9999999999989998,48
perfect_2T,synthetic exact period-2,4,0.9999999999989995,1.0,0.9999999999989995,47
perfect_2T,synthetic exact period-2,5,1.1179945857964149e-13,1.1179945857975326e-13,0.9999999999989996,46
perfect_2T,synthetic exact period-2,6,0.9999999999989996,1.0,0.9999999999989996,45
perfect_2T,synthetic exact period-2,7,1.1179945857964147e-13,1.1179945857975326e-13,0.9999999999989996,44
perfect_2T,synthetic exact period-2,8,0.9999999999989996,1.0,0.9999999999989996,43
perfect_2T,synthetic exact period-2,9,1.1179945857964146e-13,1.1179945857975326e-13,0.9999999999989997,42
perfect_2T,synthetic exact period-2,10,0.9999999999989997,1.0,0.9999999999989997,41
noisy_2T_sigma_0p20,synthetic noisy period-2,1,0.008615050997252148,0.009006812916521521,0.9564885333834312,50
noisy_2T_sigma_0p20,synthetic noisy period-2,2,0.8259986030238777,0.8620797057587603,0.9581509893314408,49
noisy_2T_sigma_0p20,synthetic noisy period-2,3,0.008801928827893008,0.009178585297443207,0.9567308996806348,48
noisy_2T_sigma_0p20,synthetic noisy period-2,4,0.8228262006269773,0.8624559793360322,0.9539680656036558,47
noisy_2T_sigma_0p20,synthetic noisy period-2,5,0.008714483346343721,0.009100267440864403,0.9557007104183228,46
noisy_2T_sigma_0p20,synthetic noisy period-2,6,0.8239510118998656,0.8621097018807211,0.9556445054611142,45
noisy_2T_sigma_0p20,synthetic noisy period-2,7,0.008855841090171887,0.009261185205050522,0.9571700532512601,44
noisy_2T_sigma_0p20,synthetic noisy period-2,8,0.8266094759227094,0.8628705517580937,0.9581183571208726,43
noisy_2T_sigma_0p20,synthetic noisy period-2,9,0.008657572088725217,0.00905259478160913,0.9556728347164116,42
noisy_2T_sigma_0p20,synthetic noisy period-2,10,0.8239454724741093,0.8614783201460828,0.9563917110591107,41
damped_2T_gamma_0p10,synthetic transient/damped period-2,1,1.2948416189481368e-13,3.290760997032294e-12,0.2286016155599739,50
damped_2T_gamma_0p10,synthetic transient/damped period-2,2,0.19164358251183403,0.9003320053753611,0.21285879138772848,49
damped_2T_gamma_0p10,synthetic transient/damped period-2,3,1.162336919444444e-13,3.0663642921110088e-12,0.19646001620833162,48
damped_2T_gamma_0p10,synthetic transient/damped period-2,4,0.14558661110207957,0.802624679775678,0.18138815659500132,47
damped_2T_gamma_0p10,synthetic transient/damped period-2,5,1.0312124075200482e-13,2.8334556922970933e-12,0.16753288275843653,46
damped_2T_gamma_0p10,synthetic transient/damped period-2,6,0.10969999460051366,0.7086873875492,0.1547932085823837,45
damped_2T_gamma_0p10,synthetic transient/damped period-2,7,9.06244533103753e-14,2.5975686248423036e-12,0.14307668954937378,44
damped_2T_gamma_0p10,synthetic transient/damped period-2,8,0.08203194017764548,0.6200510377457173,0.1322986902432687,43
damped_2T_gamma_0p10,synthetic transient/damped period-2,9,7.894779772575863e-14,2.3640586842618847e-12,0.12238171534207613,42
damped_2T_gamma_0p10,synthetic transient/damped period-2,10,0.060917812998399136,0.5378828427410298,0.11325479855064377,41
iid_random,aperiodic random negative control,1,0.24847243027348298,0.28221125258722074,0.8730146076398445,50
iid_random,aperiodic random negative control,2,0.2538100959842332,0.29321828172476255,0.8701559751122977,49
iid_random,aperiodic random negative control,3,0.2491662359521171,0.2903173733154378,0.8561163983361637,48
iid_random,aperiodic random negative control,4,0.2525193693135719,0.2928099232440865,0.859270562469541,47
iid_random,aperiodic random negative control,5,0.24664805202677495,0.2823135079297124,0.865698413069105,46
iid_random,aperiodic random negative control,6,0.254693868132643,0.29352660983169465,0.8705421041865204,45
iid_random,aperiodic random negative control,7,0.25201424728853833,0.29180699971218227,0.8670612619487468,44
iid_random,aperiodic random negative control,8,0.26008152990408184,0.2955573764470195,0.8764765100138306,43
iid_random,aperiodic random negative control,9,0.2485249772222445,0.28610050247039776,0.8624907527558948,42
iid_random,aperiodic random negative control,10,0.2554440863821577,0.2925569117620368,0.8661202817565425,41
logistic_period2_r3p20,classical nonlinear period-2,1,0.7867992836432538,0.7867992836444249,0.9999999999985113,50
logistic_period2_r3p20,classical nonlinear period-2,2,0.9999999999985113,1.0,0.9999999999985113,49
logistic_period2_r3p20,classical nonlinear period-2,3,0.7867992836432537,0.7867992836444248,0.9999999999985114,48
logistic_period2_r3p20,classical nonlinear period-2,4,0.9999999999985109,1.0,0.9999999999985109,47
logistic_period2_r3p20,classical nonlinear period-2,5,0.7867992836432538,0.7867992836444252,0.999999999998511,46
logistic_period2_r3p20,classical nonlinear period-2,6,0.999999999998511,1.0,0.999999999998511,45
logistic_period2_r3p20,classical nonlinear period-2,7,0.7867992836432538,0.7867992836444251,0.9999999999985111,44
logistic_period2_r3p20,classical nonlinear period-2,8,0.9999999999985112,1.0,0.9999999999985112,43
logistic_period2_r3p20,classical nonlinear period-2,9,0.7867992836432537,0.786799283644425,0.9999999999985112,42
logistic_period2_r3p20,classical nonlinear period-2,10,0.9999999999985113,1.0,0.9999999999985113,41
logistic_period4_r3p50,classical nonlinear period-4,1,0.6781651642661616,0.6949377542772058,0.9751163776955079,50
logistic_period4_r3p50,classical nonlinear period-4,2,0.9095789101640719,0.9330569074487248,0.9746085486696637,49
logistic_period4_r3p50,classical nonlinear period-4,3,0.6783385153355027,0.6951155162470007,0.975116377695508,48
logistic_period4_r3p50,classical nonlinear period-4,4,0.987293469461536,1.0,0.987293469461536,47
logistic_period4_r3p50,classical nonlinear period-4,5,0.678150090260132,0.6949222967146147,0.9751163776955076,46
logistic_period4_r3p50,classical nonlinear period-4,6,0.9095215879715217,0.9330413239180138,0.9745634083117432,45
logistic_period4_r3p50,classical nonlinear period-4,7,0.6783385153355027,0.6951155162470007,0.9751163776955077,44
logistic_period4_r3p50,classical nonlinear period-4,8,0.987268844402353,1.0,0.987268844402353,43
logistic_period4_r3p50,classical nonlinear period-4,9,0.6781321450148586,0.6949038948543875,0.9751163776955077,42
logistic_period4_r3p50,classical nonlinear period-4,10,0.9094530809609126,0.9330226996983836,0.9745094600791062,41
logistic_chaos_r4p00,classical chaotic control,1,0.515841992946942,0.5830266175309052,0.8819069498167587,50
logistic_chaos_r4p00,classical chaotic control,2,0.512246668461846,0.5807093798890084,0.8737109318989847,49
logistic_chaos_r4p00,classical chaotic control,3,0.5220160744612191,0.5856999965538605,0.8835506055700474,48
logistic_chaos_r4p00,classical chaotic control,4,0.5122262832731491,0.5813801618298062,0.8735926966575505,47
logistic_chaos_r4p00,classical chaotic control,5,0.5071859229213002,0.5766835383758739,0.8716759952095808,46
logistic_chaos_r4p00,classical chaotic control,6,0.5117009923991404,0.5774851647838004,0.8784618996084016,45
logistic_chaos_r4p00,classical chaotic control,7,0.5182932832315962,0.5853267277155488,0.8793237908594622,44
logistic_chaos_r4p00,classical chaotic control,8,0.535276942725265,0.5942327681628213,0.8940131288357431,43
