r,detected_q0,q0_local_contrast,closure_q0,closure_q2,detected_family_contrast
3.05,2,0.11045815458524,0.999999999999219,0.999999999999219,0.11045815458523878
3.1,2,0.15437519523441046,0.9999999999992133,0.9999999999992133,0.154375195234409
3.15,2,0.1867718419090978,0.9999999999985087,0.9999999999985087,0.18677184190909768
3.2,2,0.2132007163552575,0.9999999999985113,0.9999999999985113,0.2132007163552574
3.25,6,0.23570226039512665,0.9999999999985137,0.9999999999985135,0.1309457002195149
3.3,2,0.25537695922720305,0.9999999999985159,0.9999999999985159,0.2553769592272026
3.35,8,0.2728884114544581,0.999999999998518,0.9999999999985174,0.1516046730302546
3.4,2,0.2891185414710714,0.9999999999991993,0.9999999999991993,0.28911854147106997
3.45,4,0.30360504088665374,0.9993269195464847,0.991044856197886,0.19285277002176238
3.5,4,0.3090491666637186,0.987293469461536,0.9095789101640719,0.22232140576836146
3.55,8,0.3089920602375865,0.9950981338926405,0.9001477215821222,0.2051322189062199
3.6,4,0.2748643784308733,0.9377117604518332,0.8787136233986953,0.18873837655315595
3.65,6,0.2086399070413073,0.8955151258384354,0.8577187030582324,0.12646911007216155
3.7,2,0.13345918450624483,0.819303898108833,0.819303898108833,0.07981129277936805
3.75,2,0.10462977528879203,0.7904802575708691,0.7904802575708691,0.025948380564292495
3.8,2,0.07768628171087588,0.719044765929514,0.719044765929514,0.009715702094750478
3.85,6,0.45779697040770845,0.9289913439241619,0.4707392154653132,0.35931962674138296
3.9,3,0.040865947277028525,0.6977658552870167,0.6717406998823728,0.0248163170693253
3.95,3,0.047015677549924084,0.6580989338699054,0.6049007597909482,0.032936081791717364
4.0,8,0.01599729328299737,0.535276942725265,0.512246668461846,0.0195593699980261
