noise_sigma,detected_q0,q0_local_contrast,closure_q2,q2_family_contrast,detected_family_contrast
0.0,2,0.9999999999988879,0.9999999999989997,0.9999999999988878,0.9999999999988878
0.05,8,0.9553016159433397,0.9555892147042541,0.9547786993148059,0.5310160316003132
0.1,8,0.9103506613487529,0.9121802431239543,0.9093532431886224,0.5063134148731793
0.15000000000000002,8,0.8643145330749342,0.8688118487726812,0.8628535569913681,0.48100508539275727
0.2,8,0.8178527693332608,0.8259986030238777,0.8159371775194306,0.4554576798810187
0.25,8,0.7717658782026445,0.784369551903858,0.7693799156247656,0.43012944128927333
0.30000000000000004,8,0.7265731020868372,0.7443551860582965,0.7237453957791565,0.4052840895895506
0.35000000000000003,8,0.6827135400349995,0.7062576059046979,0.6794734012064392,0.3811647108551695
0.4,8,0.6405365608228993,0.6702897428772374,0.6369091640321005,0.35796793903349317
0.45,8,0.60188516352883,0.6383286976412121,0.5980224865053101,0.3366438890357417
0.5,8,0.5675180509926876,0.6112412124524913,0.5636619587257894,0.3175570667819664
0.55,2,0.5352968096831431,0.5863741865531924,0.5313361532912396,0.5313361532912396
0.6000000000000001,2,0.5051164432382972,0.5635535598440156,0.5009588325035355,0.5009588325035355
0.65,2,0.4767950285488586,0.5426696165395389,0.47245731228320126,0.47245731228320126
0.7000000000000001,2,0.45030638341347745,0.523629430799048,0.4457396046741342,0.4457396046741342
0.75,2,0.4255455068990365,0.5062860527338722,0.42078076595433894,0.42078076595433894
0.8,2,0.40235517225384887,0.4904420377910059,0.39746745764367375,0.39746745764367375
0.8500000000000001,2,0.38062332301867996,0.47593692457635844,0.375672519329941,0.375672519329941
0.9,2,0.36024176573978095,0.4626447324232177,0.3553156671360137,0.3553156671360137
0.9500000000000001,2,0.34115305759607745,0.4504800670911401,0.3363102287018046,0.3363102287018046
1.0,2,0.32301305344784115,0.43896238373872404,0.3182172468250957,0.3182172468250957
