gamma,detected_q0,q0_local_contrast,closure_q2,q2_family_contrast
0.0,2,0.9999999999988879,0.9999999999989997,0.9999999999988878
0.005,2,0.8846937404977773,0.8846937404978896,0.8668265139765952
0.01,2,0.7865728463239433,0.7865728463240562,0.754534127945579
0.015,2,0.7027788831079773,0.7027788831080908,0.659539249859366
0.02,2,0.6309583295979563,0.6309583295980703,0.5789077582455294
0.025,2,0.5691699243179664,0.569169924318081,0.5102331304323962
0.03,2,0.5158094682026,0.5158094682027151,0.451537978292291
0.035,2,0.4695487304832222,0.4695487304833379,0.401194421919659
0.04,2,0.4292857585860139,0.42928575858613016,0.3578596343508411
0.045,2,0.39410441743313357,0.39410441743325036,0.32042361320544493
0.05,2,0.3632414049616606,0.3632414049617779,0.28796681409482894
0.055,2,0.3360593293919548,0.3360593293920727,0.2597257446223356
0.06,2,0.312024706184306,0.31202470618442446,0.23506498980413615
0.065,2,0.2906899518391657,0.2906899518392847,0.21345443814748535
0.07,2,0.27167862822290806,0.27167862822302763,0.19445071711780668
0.075,2,0.2546733333471675,0.25467333334728764,0.1776820390415394
0.08,2,0.23940574923261757,0.23940574923273822,0.16283581300895705
0.085,2,0.2256484500478574,0.22564845004797862,0.1496485025622493
0.09,2,0.2132081484615504,0.21320814846167216,0.1378973088807915
0.095,2,0.20192011855593314,0.20192011855605546,0.12739333961098712
0.1,2,0.19164358251171118,0.19164358251183403,0.11797598827799069
0.105,2,0.18225788782874097,0.1822578878288644,0.10950830144121058
0.11,2,0.17365933389439492,0.17365933389451887,0.10187315288290938
0.115,2,0.16575853270006044,0.16575853270018495,0.09497007812808678
0.12,2,0.1584782096008858,0.15847820960101086,0.08871265007106514
