value,pair_id,phase,control_name,encoding,object_a,object_b,symbol_a,symbol_b,Q_a,Q_b,charge_difference,same_charge_pair,layer_pair,category_pair,sub_category_pair,route_class_pair,closure_class_pair,structural_route_pair,type_distance,route_distance,structural_distance,pair_class,source_note,notes
2.0,P001,Phase 2C-P,pairwise_same_charge_route_control,closure_class_pair_code,positron,proton,e+,p,1.0,1.0,0.0,TRUE,A|C,baryon|lepton,charged_baryon|charged_lepton_antiparticle,COMPOSITE_INTEGER_ROUTE|FREE_INTEGER_ROUTE,COMPOSITE_INTEGER_CLOSURE|FREE_INTEGER_CLOSURE,composite_baryonic_integer_closure|external_leptonic_integer_closure,5.0,6,11.0,CROSS_LAYER_SAME_CHARGE_PAIR,e+ compared with p; both have Q/e = +1.,Pairwise same-charge control. Charge difference is zero; structural differences are measured separately.
2.0,P002,Phase 2C-P,pairwise_same_charge_route_control,closure_class_pair_code,positron,pi_plus,e+,pi+,1.0,1.0,0.0,TRUE,A|C,lepton|meson,charged_lepton_antiparticle|charged_light_meson,COMPOSITE_INTEGER_ROUTE|FREE_INTEGER_ROUTE,COMPOSITE_INTEGER_CLOSURE|FREE_INTEGER_CLOSURE,composite_mesonic_integer_closure|external_leptonic_integer_closure,7.0,6,13.0,CROSS_LAYER_SAME_CHARGE_PAIR,e+ compared with pi+; both have Q/e = +1.,Pairwise same-charge control. Charge difference is zero; structural differences are measured separately.
2.0,P003,Phase 2C-P,pairwise_same_charge_route_control,closure_class_pair_code,positron,k_plus,e+,K+,1.0,1.0,0.0,TRUE,A|C,lepton|meson,charged_lepton_antiparticle|charged_strange_meson,COMPOSITE_INTEGER_ROUTE|FREE_INTEGER_ROUTE,COMPOSITE_INTEGER_CLOSURE|FREE_INTEGER_CLOSURE,composite_strange_mesonic_integer_closure|external_leptonic_integer_closure,7.0,6,13.0,CROSS_LAYER_SAME_CHARGE_PAIR,e+ compared with K+; both have Q/e = +1.,Pairwise same-charge control. Charge difference is zero; structural differences are measured separately.
3.0,P004,Phase 2C-P,pairwise_same_charge_route_control,closure_class_pair_code,positron,w_plus,e+,W+,1.0,1.0,0.0,TRUE,A|A,gauge_boson|lepton,charged_lepton_antiparticle|charged_weak_gauge_boson,FREE_INTEGER_ROUTE|FREE_INTEGER_ROUTE,FREE_INTEGER_CLOSURE|FREE_INTEGER_CLOSURE,external_gauge_integer_closure|external_leptonic_integer_closure,4.0,3,7.0,SAME_LAYER_DIFFERENT_CATEGORY_PAIR,e+ compared with W+; both have Q/e = +1.,Pairwise same-charge control. Charge difference is zero; structural differences are measured separately.
1.0,P005,Phase 2C-P,pairwise_same_charge_route_control,closure_class_pair_code,proton,pi_plus,p,pi+,1.0,1.0,0.0,TRUE,C|C,baryon|meson,charged_baryon|charged_light_meson,COMPOSITE_INTEGER_ROUTE|COMPOSITE_INTEGER_ROUTE,COMPOSITE_INTEGER_CLOSURE|COMPOSITE_INTEGER_CLOSURE,composite_baryonic_integer_closure|composite_mesonic_integer_closure,4.0,3,7.0,SAME_LAYER_DIFFERENT_CATEGORY_PAIR,p compared with pi+; both have Q/e = +1.,Pairwise same-charge control. Charge difference is zero; structural differences are measured separately.
1.0,P006,Phase 2C-P,pairwise_same_charge_route_control,closure_class_pair_code,proton,k_plus,p,K+,1.0,1.0,0.0,TRUE,C|C,baryon|meson,charged_baryon|charged_strange_meson,COMPOSITE_INTEGER_ROUTE|COMPOSITE_INTEGER_ROUTE,COMPOSITE_INTEGER_CLOSURE|COMPOSITE_INTEGER_CLOSURE,composite_baryonic_integer_closure|composite_strange_mesonic_integer_closure,4.0,3,7.0,SAME_LAYER_DIFFERENT_CATEGORY_PAIR,p compared with K+; both have Q/e = +1.,Pairwise same-charge control. Charge difference is zero; structural differences are measured separately.
2.0,P007,Phase 2C-P,pairwise_same_charge_route_control,closure_class_pair_code,proton,w_plus,p,W+,1.0,1.0,0.0,TRUE,A|C,baryon|gauge_boson,charged_baryon|charged_weak_gauge_boson,COMPOSITE_INTEGER_ROUTE|FREE_INTEGER_ROUTE,COMPOSITE_INTEGER_CLOSURE|FREE_INTEGER_CLOSURE,composite_baryonic_integer_closure|external_gauge_integer_closure,7.0,6,13.0,CROSS_LAYER_SAME_CHARGE_PAIR,p compared with W+; both have Q/e = +1.,Pairwise same-charge control. Charge difference is zero; structural differences are measured separately.
1.0,P008,Phase 2C-P,pairwise_same_charge_route_control,closure_class_pair_code,pi_plus,k_plus,pi+,K+,1.0,1.0,0.0,TRUE,C|C,meson|meson,charged_light_meson|charged_strange_meson,COMPOSITE_INTEGER_ROUTE|COMPOSITE_INTEGER_ROUTE,COMPOSITE_INTEGER_CLOSURE|COMPOSITE_INTEGER_CLOSURE,composite_mesonic_integer_closure|composite_strange_mesonic_integer_closure,0.0,2,2.0,SAME_CATEGORY_DIFFERENT_SUBTYPE_PAIR,pi+ compared with K+; both have Q/e = +1.,Pairwise same-charge control. Charge difference is zero; structural differences are measured separately.
2.0,P009,Phase 2C-P,pairwise_same_charge_route_control,closure_class_pair_code,pi_plus,w_plus,pi+,W+,1.0,1.0,0.0,TRUE,A|C,gauge_boson|meson,charged_light_meson|charged_weak_gauge_boson,COMPOSITE_INTEGER_ROUTE|FREE_INTEGER_ROUTE,COMPOSITE_INTEGER_CLOSURE|FREE_INTEGER_CLOSURE,composite_mesonic_integer_closure|external_gauge_integer_closure,5.0,6,11.0,CROSS_LAYER_SAME_CHARGE_PAIR,pi+ compared with W+; both have Q/e = +1.,Pairwise same-charge control. Charge difference is zero; structural differences are measured separately.
2.0,P010,Phase 2C-P,pairwise_same_charge_route_control,closure_class_pair_code,k_plus,w_plus,K+,W+,1.0,1.0,0.0,TRUE,A|C,gauge_boson|meson,charged_strange_meson|charged_weak_gauge_boson,COMPOSITE_INTEGER_ROUTE|FREE_INTEGER_ROUTE,COMPOSITE_INTEGER_CLOSURE|FREE_INTEGER_CLOSURE,composite_strange_mesonic_integer_closure|external_gauge_integer_closure,5.0,6,11.0,CROSS_LAYER_SAME_CHARGE_PAIR,K+ compared with W+; both have Q/e = +1.,Pairwise same-charge control. Charge difference is zero; structural differences are measured separately.
