struc_perc_id,source_ladder_id,object_name,target_mass_class,selected_model_mass,progenitor_type,network,stage_index,phase_name,zone_start,zone_end,n_zones,q_start,q_end,q_mid,mass_start,mass_end,radius_start,radius_end,mean_logT,mean_logRho,mean_logP,mean_ye,mean_support_margin_proxy,mean_energy_loss_proxy,dominant_species_mode,composition_stage_mode,boundary_role_mode,struc_perc_role_mode,delta_logT,delta_logRho,delta_ye,delta_support_margin,delta_energy_loss,composition_transition_count,gap,gap_source,alpha_ready,unns_interpretation,raw_reference
A1_12M_radial_bin_001,A1_12M,12M_pre_supernova_single_profile,12M,12.09,single,128net,1,surface_envelope,1,61,61,1,0.996540364679,0.999574808418,9.72797239278,9.69431715589,1071.80846928,1065.58449211,3.49608846192,-8.72242587167,2.57593887263,0.847663883903,11.2983647443,-2.47788432179e-11,h1,outer_envelope,surface_envelope,envelope_state,0.04153373768,0.17760387676,0.002106159699,0.0414020759,1.92865500001e-16,0,0.00566000717361,weighted_radial_profile_change_logT_logRho_ye_support_loss_composition,yes,compact radial pre-supernova structural state derived from real profile ladder,A1_12M_presupernova_profile_ladder.csv::profile_single_M12.09_128net.data::zone=1--profile_single_M12.09_128net.data::zone=61
A1_12M_radial_bin_002,A1_12M,12M_pre_supernova_single_profile,12M,12.09,single,128net,1,surface_envelope,62,122,61,0.996368233088,0.98412702907,0.98977350664,9.69264266452,9.57356056978,1065.32687596,1048.13396739,3.73084863788,-8.53505549179,3.00327656447,0.845760125446,11.5383320563,-2.47786550951e-11,h1,outer_envelope,surface_envelope,envelope_state,0.38483616844,0.0488980073,1.43799994134e-09,0.4257810472,1.7357894e-15,0,0.0252486259393,weighted_radial_profile_change_logT_logRho_ye_support_loss_composition,yes,compact radial pre-supernova structural state derived from real profile ladder,A1_12M_presupernova_profile_ladder.csv::profile_single_M12.09_128net.data::zone=62--profile_single_M12.09_128net.data::zone=122
A1_12M_radial_bin_003,A1_12M,12M_pre_supernova_single_profile,12M,12.09,single,128net,1,surface_envelope,123,183,61,0.98370046629,0.928379483751,0.956778610881,9.56941097883,9.03124998796,1047.4086179,960.057234616,4.05043940343,-8.54048296283,3.5167973796,0.845760125049,12.0572803424,-2.47756214157e-11,h1,outer_envelope,surface_envelope,envelope_state,0.22856250349,0.14405850413,3.05999892092e-10,0.4634664578,1.3500585e-15,0,0.0212476519106,weighted_radial_profile_change_logT_logRho_ye_support_loss_composition,yes,compact radial pre-supernova structural state derived from real profile ladder,A1_12M_presupernova_profile_ladder.csv::profile_single_M12.09_128net.data::zone=123--profile_single_M12.09_128net.data::zone=183
A1_12M_radial_bin_004,A1_12M,12M_pre_supernova_single_profile,12M,12.09,single,128net,2,outer_envelope,184,244,61,0.927386439814,0.895602910124,0.911451232453,9.02158968394,8.71240038458,958.602867215,912.506748849,4.22120301017,-8.44308920074,3.87704845474,0.845760124781,12.3201376555,-2.4775477557e-11,h1,outer_envelope,outer_shell,support_shell_state,0.10306655144,0.05736501703,2.10000017375e-10,0.1269683645,9.64327999997e-17,0,0.00763937055591,weighted_radial_profile_change_logT_logRho_ye_support_loss_composition,yes,compact radial pre-supernova structural state derived from real profile ladder,A1_12M_presupernova_profile_ladder.csv::profile_single_M12.09_128net.data::zone=184--profile_single_M12.09_128net.data::zone=244
A1_12M_radial_bin_005,A1_12M,12M_pre_supernova_single_profile,12M,12.09,single,128net,2,outer_envelope,245,305,61,0.895063348967,0.861256641309,0.878373201171,8.70715154854,8.37828082975,911.742154346,863.57328318,4.31945843186,-8.39050375071,4.04859876745,0.845760124548,12.4391025182,-2.47756008645e-11,h1,outer_envelope,outer_shell,support_shell_state,0.10410144866,0.0360970795,2.45000020271e-10,0.121470962,1.92865500001e-16,0,0.00727444990034,weighted_radial_profile_change_logT_logRho_ye_support_loss_composition,yes,compact radial pre-supernova structural state derived from real profile ladder,A1_12M_presupernova_profile_ladder.csv::profile_single_M12.09_128net.data::zone=245--profile_single_M12.09_128net.data::zone=305
A1_12M_radial_bin_006,A1_12M,12M_pre_supernova_single_profile,12M,12.09,single,128net,2,outer_envelope,306,366,61,0.860671992743,0.824255934442,0.842681343254,8.37259338465,8.01833897483,862.723756897,808.516856951,4.42144197639,-8.35699903618,4.20184428822,0.84576012426,12.5588433244,-2.47758316707e-11,h1,outer_envelope,outer_shell,support_shell_state,0.09046427889,0.03678316221,3.33999938817e-10,0.1088337096,1.92865500001e-16,0,0.00646681594043,weighted_radial_profile_change_logT_logRho_ye_support_loss_composition,yes,compact radial pre-supernova structural state derived from real profile ladder,A1_12M_presupernova_profile_ladder.csv::profile_single_M12.09_128net.data::zone=306--profile_single_M12.09_128net.data::zone=366
A1_12M_radial_bin_007,A1_12M,12M_pre_supernova_single_profile,12M,12.09,single,128net,2,outer_envelope,367,428,62,0.823627355079,0.783792396418,0.803941557592,8.01222417214,7.62471079402,807.560396979,745.807769276,4.50313180373,-8.31095576399,4.34899752956,0.845760123842,12.6599532935,-2.47759756569e-11,h1,outer_envelope,outer_shell,support_shell_state,0.07055426395,0.05545769265,5.03999952883e-10,0.0897084279,9.64326999981e-17,1,0.00714618391837,weighted_radial_profile_change_logT_logRho_ye_support_loss_composition,yes,compact radial pre-supernova structural state derived from real profile ladder,A1_12M_presupernova_profile_ladder.csv::profile_single_M12.09_128net.data::zone=367--profile_single_M12.09_128net.data::zone=428
A1_12M_radial_bin_008,A1_12M,12M_pre_supernova_single_profile,12M,12.09,single,128net,2,outer_envelope,429,489,61,0.783115471899,0.741119752,0.762344514772,7.61812569099,7.20959248719,744.743904651,678.575741467,4.56413365128,-8.2417157313,4.49684916793,0.845760123206,12.7385648992,-2.47759834337e-11,h1,hydrogen_rich,outer_shell,support_shell_state,0.05086338592,0.08062897053,7.62999996518e-10,0.0660834662,0,0,0.00454055916111,weighted_radial_profile_change_logT_logRho_ye_support_loss_composition,yes,compact radial pre-supernova structural state derived from real profile ladder,A1_12M_presupernova_profile_ladder.csv::profile_single_M12.09_128net.data::zone=429--profile_single_M12.09_128net.data::zone=489
A1_12M_radial_bin_009,A1_12M,12M_pre_supernova_single_profile,12M,12.09,single,128net,3,outer_shell,490,550,61,0.740393374337,0.69554354926,0.718198913415,7.20252630534,6.76622844518,677.433073859,606.976966924,4.61261902987,-8.15107757177,4.65046042394,0.84576012226,12.8015379957,-2.47759502356e-11,h1,hydrogen_rich,outer_shell,support_shell_state,0.04759071674,0.09463629313,1.10499998041e-09,0.06177612,9.64326999981e-17,0,0.00450165796509,weighted_radial_profile_change_logT_logRho_ye_support_loss_composition,yes,compact radial pre-supernova structural state derived from real profile ladder,A1_12M_presupernova_profile_ladder.csv::profile_single_M12.09_128net.data::zone=490--profile_single_M12.09_128net.data::zone=550
A1_12M_radial_bin_010,A1_12M,12M_pre_supernova_single_profile,12M,12.09,single,128net,3,outer_shell,551,611,61,0.694773450834,0.647070980836,0.67115241596,6.75873694895,6.29468863774,605.763186989,529.000086795,4.6663304304,-8.05412301612,4.81739164651,0.845760120932,12.8715146626,-2.4775887001e-11,h1,hydrogen_rich,outer_shell,support_shell_state,0.05962758413,0.09552240159,1.53799994962e-09,0.0781570434,0,0,0.0053516170134,weighted_radial_profile_change_logT_logRho_ye_support_loss_composition,yes,compact radial pre-supernova structural state derived from real profile ladder,A1_12M_presupernova_profile_ladder.csv::profile_single_M12.09_128net.data::zone=551--profile_single_M12.09_128net.data::zone=611
