struc_perc_id,source_ladder_id,object_name,target_mass_class,selected_model_mass,progenitor_type,network,stage_index,phase_name,zone_start,zone_end,n_zones,q_start,q_end,q_mid,mass_start,mass_end,radius_start,radius_end,mean_logT,mean_logRho,mean_logP,mean_ye,mean_support_margin_proxy,mean_energy_loss_proxy,dominant_species_mode,composition_stage_mode,boundary_role_mode,struc_perc_role_mode,delta_logT,delta_logRho,delta_ye,delta_support_margin,delta_energy_loss,composition_transition_count,gap,gap_source,alpha_ready,unns_interpretation,raw_reference
A2_20M_radial_bin_001,A2_20M,20M_pre_supernova_single_profile,20M,19.98,single,128net,1,surface_envelope,1,58,58,1,0.998102024654,0.999698962499,11.6616304396,11.6394969525,972.991131669,967.239896772,3.54563811246,-8.79041233499,2.53221010316,0.816286044926,11.3226224382,-2.47791224859e-11,h1,outer_envelope,surface_envelope,envelope_state,0.07817939791,0.20071468085,0.000872494047,0.0777948391,1.92865500001e-16,0,0.00801301681354,weighted_radial_profile_change_logT_logRho_ye_support_loss_composition,yes,compact radial pre-supernova structural state derived from real profile ladder,A2_20M_presupernova_profile_ladder.csv::profile_single_M19.98_128net.data::zone=1--profile_single_M19.98_128net.data::zone=58
A2_20M_radial_bin_002,A2_20M,20M_pre_supernova_single_profile,20M,19.98,single,128net,1,surface_envelope,59,115,57,0.997925919477,0.992527946847,0.995186457954,11.6374432791,11.5744941171,966.801866789,953.882551686,3.78402902794,-8.58750067018,2.98469815317,0.81533559057,11.5721988233,-2.47786006523e-11,h1,outer_envelope,surface_envelope,envelope_state,0.34512244342,0.07699570516,0.000146229698,0.4412955569,2.6036842e-15,0,0.0249755174005,weighted_radial_profile_change_logT_logRho_ye_support_loss_composition,yes,compact radial pre-supernova structural state derived from real profile ladder,A2_20M_presupernova_profile_ladder.csv::profile_single_M19.98_128net.data::zone=59--profile_single_M19.98_128net.data::zone=115
A2_20M_radial_bin_003,A2_20M,20M_pre_supernova_single_profile,20M,19.98,single,128net,1,surface_envelope,116,173,58,0.992268807315,0.965244839506,0.979283949253,11.5714721277,11.2563286021,953.103720864,865.610840254,4.15929174094,-8.68974328146,3.51868319109,0.815329049508,12.2084264725,-2.477596847e-11,h1,outer_envelope,surface_envelope,envelope_state,0.35919909854,0.05080678167,8.56692000006e-07,0.5902410704,1.92865500001e-16,0,0.0285764033005,weighted_radial_profile_change_logT_logRho_ye_support_loss_composition,yes,compact radial pre-supernova structural state derived from real profile ladder,A2_20M_presupernova_profile_ladder.csv::profile_single_M19.98_128net.data::zone=116--profile_single_M19.98_128net.data::zone=173
A2_20M_radial_bin_004,A2_20M,20M_pre_supernova_single_profile,20M,19.98,single,128net,2,outer_envelope,174,231,58,0.964713770289,0.933966335155,0.949412170519,11.2501354691,10.8915702436,863.8712129,760.338437934,4.44581915518,-8.60674693611,3.99188174853,0.815328031495,12.5986286846,-2.47764522964e-11,h1,outer_envelope,outer_shell,support_shell_state,0.19061324429,0.10476275995,1.17712199998e-06,0.2604101302,3.85730999999e-16,0,0.0150106244052,weighted_radial_profile_change_logT_logRho_ye_support_loss_composition,yes,compact radial pre-supernova structural state derived from real profile ladder,A2_20M_presupernova_profile_ladder.csv::profile_single_M19.98_128net.data::zone=174--profile_single_M19.98_128net.data::zone=231
A2_20M_radial_bin_005,A2_20M,20M_pre_supernova_single_profile,20M,19.98,single,128net,2,outer_envelope,232,289,58,0.933418264725,0.90179784329,0.91767783798,10.8851788488,10.5164331797,758.512699225,659.905683801,4.57229413329,-8.45337374848,4.3203612975,0.815326601309,12.773735046,-2.4776485549e-11,h1,outer_envelope,outer_shell,support_shell_state,0.08491880174,0.1801761603,1.60651900005e-06,0.1140318807,1.92865499998e-16,0,0.00848687018769,weighted_radial_profile_change_logT_logRho_ye_support_loss_composition,yes,compact radial pre-supernova structural state derived from real profile ladder,A2_20M_presupernova_profile_ladder.csv::profile_single_M19.98_128net.data::zone=232--profile_single_M19.98_128net.data::zone=289
A2_20M_radial_bin_006,A2_20M,20M_pre_supernova_single_profile,20M,19.98,single,128net,2,outer_envelope,290,346,57,0.901237103382,0.867583906651,0.88438866408,10.5098940381,10.1174428947,658.278382751,565.050956744,4.65568998103,-8.27385005788,4.61083530531,0.815324816498,12.8846853632,-2.47763184106e-11,h1,outer_envelope,outer_shell,support_shell_state,0.08518260698,0.16476639263,1.87900100002e-06,0.1145517757,9.64327000013e-17,0,0.00829646955363,weighted_radial_profile_change_logT_logRho_ye_support_loss_composition,yes,compact radial pre-supernova structural state derived from real profile ladder,A2_20M_presupernova_profile_ladder.csv::profile_single_M19.98_128net.data::zone=290--profile_single_M19.98_128net.data::zone=346
A2_20M_radial_bin_007,A2_20M,20M_pre_supernova_single_profile,20M,19.98,single,128net,2,outer_envelope,347,404,58,0.867006450898,0.830660519331,0.848946108096,10.1107088191,9.68685599722,563.497562276,466.823167364,4.74609349709,-8.10779011041,4.89948654683,0.81532265268,13.0072766572,-2.47762594309e-11,h1,outer_envelope,outer_shell,support_shell_state,0.09180631664,0.17094900361,2.47285099997e-06,0.1244300177,9.64327999997e-17,0,0.00887274453715,weighted_radial_profile_change_logT_logRho_ye_support_loss_composition,yes,compact radial pre-supernova structural state derived from real profile ladder,A2_20M_presupernova_profile_ladder.csv::profile_single_M19.98_128net.data::zone=347--profile_single_M19.98_128net.data::zone=404
A2_20M_radial_bin_008,A2_20M,20M_pre_supernova_single_profile,20M,19.98,single,128net,2,outer_envelope,405,462,58,0.830066641431,0.793493809272,0.811569099928,9.67993041263,9.25343155986,465.252757679,368.213632577,4.84098468746,-7.92028630333,5.21428727951,0.815319673636,13.1345735828,-2.47761563476e-11,h1,outer_envelope,outer_shell,support_shell_state,0.09560595741,0.19957662548,3.44485400006e-06,0.1267534094,9.64327000013e-17,1,0.0112267962153,weighted_radial_profile_change_logT_logRho_ye_support_loss_composition,yes,compact radial pre-supernova structural state derived from real profile ladder,A2_20M_presupernova_profile_ladder.csv::profile_single_M19.98_128net.data::zone=405--profile_single_M19.98_128net.data::zone=462
A2_20M_radial_bin_009,A2_20M,20M_pre_supernova_single_profile,20M,19.98,single,128net,2,outer_envelope,463,519,57,0.792578973248,0.760631086457,0.776437601593,9.24276308024,8.87019863115,365.766430712,279.002697964,4.93865152817,-7.7069848398,5.55539391319,0.815315682281,13.262378753,-2.4776032496e-11,h1,hydrogen_rich,outer_shell,support_shell_state,0.09727950472,0.22103563618,4.45284499995e-06,0.1256299927,9.64327999997e-17,0,0.00980911151894,weighted_radial_profile_change_logT_logRho_ye_support_loss_composition,yes,compact radial pre-supernova structural state derived from real profile ladder,A2_20M_presupernova_profile_ladder.csv::profile_single_M19.98_128net.data::zone=463--profile_single_M19.98_128net.data::zone=519
A2_20M_radial_bin_010,A2_20M,20M_pre_supernova_single_profile,20M,19.98,single,128net,3,outer_shell,520,577,58,0.759951260883,0.730260000914,0.744438583999,8.86227075654,8.5160222555,277.120656451,192.76702975,5.05042941734,-7.44456061671,5.96026750974,0.815310002194,13.4048281264,-2.47758437725e-11,h1,hydrogen_rich,outer_shell,support_shell_state,0.12153443547,0.29314760338,6.73893600001e-06,0.1530367167,2.89298199999e-16,0,0.0123991063939,weighted_radial_profile_change_logT_logRho_ye_support_loss_composition,yes,compact radial pre-supernova structural state derived from real profile ladder,A2_20M_presupernova_profile_ladder.csv::profile_single_M19.98_128net.data::zone=520--profile_single_M19.98_128net.data::zone=577
A2_20M_radial_bin_011,A2_20M,20M_pre_supernova_single_profile,20M,19.98,single,128net,3,outer_shell,578,635,58,0.729548037348,0.700095101825,0.714377663602,8.50771959951,8.16425035007,190.682583894,101.142346154,5.21017771205,-7.04816611221,6.55499005175,0.815300271552,13.603156164,-2.47755661127e-11,h1,hydrogen_rich,outer_shell,support_shell_state,0.20413922107,0.51788349018,1.3333844e-05,0.2503265064,1.92865500001e-16,0,0.0210230714784,weighted_radial_profile_change_logT_logRho_ye_support_loss_composition,yes,compact radial pre-supernova structural state derived from real profile ladder,A2_20M_presupernova_profile_ladder.csv::profile_single_M19.98_128net.data::zone=578--profile_single_M19.98_128net.data::zone=635
A2_20M_radial_bin_012,A2_20M,20M_pre_supernova_single_profile,20M,19.98,single,128net,3,outer_shell,636,693,58,0.699853703859,0.684630204597,0.691275172674,8.16143525621,7.98390443381,100.380987211,51.9655384766,5.43258305946,-6.47080542301,7.4007924598,0.815284587654,13.8715978828,-2.47798158041e-11,h1,hydrogen_rich,outer_shell,support_shell_state,0.21661594952,0.57457894184,1.642944e-05,0.2571015754,8.1003507e-15,0,0.0224565760197,weighted_radial_profile_change_logT_logRho_ye_support_loss_composition,yes,compact radial pre-supernova structural state derived from real profile ladder,A2_20M_presupernova_profile_ladder.csv::profile_single_M19.98_128net.data::zone=636--profile_single_M19.98_128net.data::zone=693
A2_20M_radial_bin_013,A2_20M,20M_pre_supernova_single_profile,20M,19.98,single,128net,3,outer_shell,694,750,57,0.684401443199,0.67671937497,0.680121169814,7.98123670293,7.89165126223,51.2435902721,27.8044172621,5.64970817965,-5.88457548509,8.24043114393,0.815266772792,14.125006629,-2.47901556639e-11,h1,hydrogen_rich,outer_shell,support_shell_state,0.20773935629,0.56947349242,1.88624109999e-05,0.2386820742,1.21505261e-14,0,0.0216089213729,weighted_radial_profile_change_logT_logRho_ye_support_loss_composition,yes,compact radial pre-supernova structural state derived from real profile ladder,A2_20M_presupernova_profile_ladder.csv::profile_single_M19.98_128net.data::zone=694--profile_single_M19.98_128net.data::zone=750
A2_20M_radial_bin_014,A2_20M,20M_pre_supernova_single_profile,20M,19.98,single,128net,3,outer_shell,751,808,58,0.676627711339,0.67195702192,0.674087133558,7.89058231484,7.83611446094,27.5402597277,15.0010060914,5.86327971989,-5.29345232768,9.07442209329,0.815245337433,14.367874421,-2.4806118667e-11,h1,hydrogen_rich,outer_shell,support_shell_state,0.21568548316,0.60061574542,2.2811702e-05,0.2437634408,2.0154444e-14,0,0.0224718919619,weighted_radial_profile_change_logT_logRho_ye_support_loss_composition,yes,compact radial pre-supernova structural state derived from real profile ladder,A2_20M_presupernova_profile_ladder.csv::profile_single_M19.98_128net.data::zone=751--profile_single_M19.98_128net.data::zone=808
A2_20M_radial_bin_015,A2_20M,20M_pre_supernova_single_profile,20M,19.98,single,128net,3,outer_shell,809,866,58,0.671882366572,0.668969211085,0.670351205754,7.83524385786,7.80127171516,14.8190267764,8.35099583668,6.07765543873,-4.69432406624,9.9150355125,0.815222227993,14.6093595787,-2.48681714769e-11,h1,hydrogen_rich,outer_shell,support_shell_state,0.21012137546,0.58900522516,2.2161925e-05,0.2360867575,2.500501121e-13,0,0.0219135138395,weighted_radial_profile_change_logT_logRho_ye_support_loss_composition,yes,compact radial pre-supernova structural state derived from real profile ladder,A2_20M_presupernova_profile_ladder.csv::profile_single_M19.98_128net.data::zone=809--profile_single_M19.98_128net.data::zone=866
A2_20M_radial_bin_016,A2_20M,20M_pre_supernova_single_profile,20M,19.98,single,128net,3,outer_shell,867,924,58,0.668907889901,0.666812749433,0.667782985372,7.80055661017,7.77612385632,8.22985851151,4.54559427932,6.30167127184,-4.06441820715,10.7958636412,0.81520114855,14.8602818483,-3.88572643502e-11,h1,hydrogen_rich,outer_shell,support_shell_state,0.22204001759,0.62615667063,1.9570066e-05,0.2479781565,7.26461631913e-11,0,0.0231717464566,weighted_radial_profile_change_logT_logRho_ye_support_loss_composition,yes,compact radial pre-supernova structural state derived from real profile ladder,A2_20M_presupernova_profile_ladder.csv::profile_single_M19.98_128net.data::zone=867--profile_single_M19.98_128net.data::zone=924
