object_id,phase,layer,pdg_section,pdg_name,symbol,category,generation,components,component_charges,Q_over_e,anti_symbol,anti_Q_over_e,free_external,confined,fractional_internal,integer_external,neutral_external,closure_error,closure_class,route_class,source_file,source_url,source_note,verification_status,notes
L_C_001,1,C_composite_closures,Mesons/Baryons,proton,p,baryon,,u;u;d,2/3;2/3;-1/3,1,,,yes,no,yes,yes,no,0,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_CLOSURE,rpp2026-sum-mesons.pdf; rpp2026-sum-baryons.pdf,https://pdg.lbl.gov/2026/tables/contents_tables.html#Mesons_Baryons,PDG 2026 Summary Tables / Mesons and Baryons; quark-content encoding supplied as canonical UNNS abstraction,seed_pending_local_pdf_verification,stable external hadron; quarks confined internally
L_C_002,1,C_composite_closures,Mesons/Baryons,neutron,n,baryon,,u;d;d,2/3;-1/3;-1/3,0,,,yes,no,yes,yes,yes,0,COMPOSITE_NEUTRAL_CLOSURE,COMPOSITE_CLOSURE,rpp2026-sum-mesons.pdf; rpp2026-sum-baryons.pdf,https://pdg.lbl.gov/2026/tables/contents_tables.html#Mesons_Baryons,PDG 2026 Summary Tables / Mesons and Baryons; quark-content encoding supplied as canonical UNNS abstraction,seed_pending_local_pdf_verification,neutral baryon closure
L_C_003,1,C_composite_closures,Mesons/Baryons,pion plus,pi+,meson,,u;anti-d,2/3;1/3,1,,,yes,no,yes,yes,no,0,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_CLOSURE,rpp2026-sum-mesons.pdf; rpp2026-sum-baryons.pdf,https://pdg.lbl.gov/2026/tables/contents_tables.html#Mesons_Baryons,PDG 2026 Summary Tables / Mesons and Baryons; quark-content encoding supplied as canonical UNNS abstraction,seed_pending_local_pdf_verification,meson positive closure
L_C_004,1,C_composite_closures,Mesons/Baryons,pion zero,pi0,meson,,u anti-u;d anti-d,0;0,0,,,yes,no,yes,yes,yes,0,COMPOSITE_NEUTRAL_CLOSURE,COMPOSITE_CLOSURE,rpp2026-sum-mesons.pdf; rpp2026-sum-baryons.pdf,https://pdg.lbl.gov/2026/tables/contents_tables.html#Mesons_Baryons,PDG 2026 Summary Tables / Mesons and Baryons; quark-content encoding supplied as canonical UNNS abstraction,seed_pending_local_pdf_verification,neutral meson closure; simplified charge representation
L_C_005,1,C_composite_closures,Mesons/Baryons,pion minus,pi-,meson,,anti-u;d,-2/3;-1/3,-1,,,yes,no,yes,yes,no,0,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_CLOSURE,rpp2026-sum-mesons.pdf; rpp2026-sum-baryons.pdf,https://pdg.lbl.gov/2026/tables/contents_tables.html#Mesons_Baryons,PDG 2026 Summary Tables / Mesons and Baryons; quark-content encoding supplied as canonical UNNS abstraction,seed_pending_local_pdf_verification,meson negative closure
L_C_006,1,C_composite_closures,Mesons/Baryons,kaon plus,K+,meson,,u;anti-s,2/3;1/3,1,,,yes,no,yes,yes,no,0,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_CLOSURE,rpp2026-sum-mesons.pdf; rpp2026-sum-baryons.pdf,https://pdg.lbl.gov/2026/tables/contents_tables.html#Mesons_Baryons,PDG 2026 Summary Tables / Mesons and Baryons; quark-content encoding supplied as canonical UNNS abstraction,seed_pending_local_pdf_verification,strange meson positive closure
L_C_007,1,C_composite_closures,Mesons/Baryons,kaon zero,K0,meson,,d;anti-s,-1/3;1/3,0,,,yes,no,yes,yes,yes,0,COMPOSITE_NEUTRAL_CLOSURE,COMPOSITE_CLOSURE,rpp2026-sum-mesons.pdf; rpp2026-sum-baryons.pdf,https://pdg.lbl.gov/2026/tables/contents_tables.html#Mesons_Baryons,PDG 2026 Summary Tables / Mesons and Baryons; quark-content encoding supplied as canonical UNNS abstraction,seed_pending_local_pdf_verification,neutral strange meson closure
L_C_008,1,C_composite_closures,Mesons/Baryons,kaon minus,K-,meson,,anti-u;s,-2/3;-1/3,-1,,,yes,no,yes,yes,no,0,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_CLOSURE,rpp2026-sum-mesons.pdf; rpp2026-sum-baryons.pdf,https://pdg.lbl.gov/2026/tables/contents_tables.html#Mesons_Baryons,PDG 2026 Summary Tables / Mesons and Baryons; quark-content encoding supplied as canonical UNNS abstraction,seed_pending_local_pdf_verification,strange meson negative closure
L_C_009,1,C_composite_closures,Mesons/Baryons,Delta plus plus,Delta++,baryon,,u;u;u,2/3;2/3;2/3,2,,,yes,no,yes,yes,no,0,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_CLOSURE,rpp2026-sum-mesons.pdf; rpp2026-sum-baryons.pdf,https://pdg.lbl.gov/2026/tables/contents_tables.html#Mesons_Baryons,PDG 2026 Summary Tables / Mesons and Baryons; quark-content encoding supplied as canonical UNNS abstraction,seed_pending_local_pdf_verification,integer +2 baryon closure
L_C_010,1,C_composite_closures,Mesons/Baryons,Omega minus,Omega-,baryon,,s;s;s,-1/3;-1/3;-1/3,-1,,,yes,no,yes,yes,no,0,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_CLOSURE,rpp2026-sum-mesons.pdf; rpp2026-sum-baryons.pdf,https://pdg.lbl.gov/2026/tables/contents_tables.html#Mesons_Baryons,PDG 2026 Summary Tables / Mesons and Baryons; quark-content encoding supplied as canonical UNNS abstraction,seed_pending_local_pdf_verification,triply strange baryon closure
