"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"7302","2012aw","","160.97396","11.67164","SN IIP","0.002595","21806","2011-03-21 00:00:00.00","2455641.5","","Swift-UVOT","UV-grism","UVOT","P. Kuin","","Y","","","2012aw_2011-03-21_00-00-00_Swift-UVOT_UV-grism_None.txt","","Object","High","","Air","Angstrom","1","Other","","8287.4","0","","","","","","","1720.91","5882.89","3.4567940199336","Bayless et al. 2013","2013ApJ...764L..13B","[Data obtained from:Amanda Bayless] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2013-03-10 15:34:55"
"7302","2012aw","","160.97396","11.67164","SN IIP","0.002595","21807","2011-03-23 00:00:00.00","2455643.5","","Swift-UVOT","UV-grism","UVOT","P. Kuin","","Y","","","2012aw_2011-03-23_00-00-00_Swift-UVOT_UV-grism_None.txt","","Object","High","","Air","Angstrom","1","Other","","5116.7","0","","","","","","","1721.32","5883.09","3.4566196013289","Bayless et al. 2013","2013ApJ...764L..13B","[Data obtained from:Amanda Bayless] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2013-03-10 15:34:55"
"7302","2012aw","","160.97396","11.67164","SN IIP","0.002595","21808","2011-03-25 00:00:00.00","2455645.5","","Swift-UVOT","UV-grism","UVOT","P. Kuin","","Y","","","2012aw_2011-03-25_00-00-00_Swift-UVOT_UV-grism_None.txt","","Object","High","","Air","Angstrom","1","Other","","8021.7","0","","","","","","","1720.39","5884.51","3.4557012448133","Bayless et al. 2013","2013ApJ...764L..13B","[Data obtained from:Amanda Bayless] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2013-03-10 15:34:55"
"7302","2012aw","","160.97396","11.67164","SN IIP","0.002595","21809","2011-03-28 00:00:00.00","2455648.5","","Swift-UVOT","UV-grism","UVOT","P. Kuin","","Y","","","2012aw_2011-03-28_00-00-00_Swift-UVOT_UV-grism_None.txt","","Object","High","","Air","Angstrom","1","Other","","5663.9","0","","","","","","","1720.69","5884.42","3.455377593361","Bayless et al. 2013","2013ApJ...764L..13B","[Data obtained from:Amanda Bayless] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2013-03-10 15:34:55"
"7302","2012aw","","160.97396","11.67164","SN IIP","0.002595","21810","2011-03-30 00:00:00.00","2455650.5","","Swift-UVOT","UV-grism","UVOT","P. Kuin","","Y","","","2012aw_2011-03-30_00-00-00_Swift-UVOT_UV-grism_None.txt","","Object","High","","Air","Angstrom","1","Other","","8978.1","0","","","","","","","1733.22","5883.98","3.6219546247818","Bayless et al. 2013","2013ApJ...764L..13B","[Data obtained from:Amanda Bayless] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2013-03-10 15:34:55"
"7302","2012aw","","160.97396","11.67164","SN IIP","0.002595","21811","2011-04-11 00:00:00.00","2455662.5","","Swift-UVOT","UV-grism","UVOT","P. Kuin","","Y","","","2012aw_2011-04-11_00-00-00_Swift-UVOT_UV-grism_None.txt","","Object","High","","Air","Angstrom","1","Other","","22750.8","0","","","","","","","1751.08","5886.47","3.6275350877193","Bayless et al. 2013","2013ApJ...764L..13B","[Data obtained from:Amanda Bayless] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer]"," Migration From WISeREP1.0","2013-03-10 15:34:55"
"7302","2012aw","","160.97396","11.67164","SN IIP","0.002595","21812","2012-03-17 00:00:00.00","2456003.5","","Ekar","BC-Ekar","Unknown","Unknown","","Y","","","2012aw_2012-03-17_00-00-00_Ekar_BC-Ekar_None.dat","2012aw_2012-03-17_00-00-00_Ekar_BC-Ekar_None.fits","Object","","","Air","Angstrom","1","Other","","0","0","","","","","300","","3310.517","7815.033","2.287717623159","Dall&#039;Ora et al. 2014","2014ApJ...787..139D","[Data obtained from:DallâOra, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm]"," Migration From WISeREP1.0","2013-03-10 15:34:55"
"7302","2012aw","","160.97396","11.67164","SN IIP","0.002595","21813","2012-03-19 00:00:00.00","2456005.5","","NOT","ALFOSC","Unknown","Unknown","","Y","","","2012aw_2012-03-19_00-00-00_NOT_ALFOSC_None.dat","2012aw_2012-03-19_00-00-00_NOT_ALFOSC_None.fits","Object","","","Air","Angstrom","1","Other","","0","0","","","","Gr#4","","","3502.165","9153.6940000001","2.9933945974577","Dall&#039;Ora et al. 2014","2014ApJ...787..139D","[Data obtained from:DallâOra, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm]"," Migration From WISeREP1.0","2013-03-10 15:34:55"
"7302","2012aw","","160.97396","11.67164","SN IIP","0.002595","21814","2012-03-19 20:13:20.00","2456006.3425926","","Ekar","BC-Ekar","Siviero","Unknown","","Y","","","2012aw_2012-03-19_20-13-20_Ekar_BC-Ekar_None.dat","2012aw_2012-03-19_20-13-20_Ekar_BC-Ekar_None.fits","Object","","","Air","Angstrom","1","Other","","1800","170","","1.343","","","300","","3182.9109999572","7819.1891015054","2.2997411217997","Dall&#039;Ora et al. 2014","2014ApJ...787..139D","[Data obtained from:DallâOra, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm]"," Migration From WISeREP1.0","2013-03-10 15:34:55"
"7302","2012aw","","160.97396","11.67164","SN IIP","0.002595","79657","2012-03-20 12:32:20.00","2456007.0224537","","Lijiang-2.4m","YFOSC","wxf","","","Y","","","2012aw_2012-03-20_12-32-20.954_Lijiang-2.4m_YFOSC_None.dat","2012aw_2012-03-20_12-32-20.954_Lijiang-2.4m_YFOSC_None.fits","Object","Low","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","900","","","1","","","","","3477.703125","8840.2119584084","2.8358058346951","","",""," Han Lin","2024-01-01 03:41:16"
"7302","2012aw","","160.97396","11.67164","SN IIP","0.002595","21815","2012-03-20 20:38:27.00","2456007.3600347","","TNG","DOLORES","Unknown","Unknown","","Y","","","2012aw_2012-03-20_20-38-27_TNG_DOLORES_None.dat","2012aw_2012-03-20_20-38-27_TNG_DOLORES_None.fits","Object","","","Air","Angstrom","1","Other","","240","100","","1.55468","","","","","3150","9494.7169132233","2.6403316326356","Dall&#039;Ora et al. 2014","2014ApJ...787..139D","[Data obtained from:DallâOra, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm]"," Migration From WISeREP1.0","2013-03-10 15:34:55"
"7302","2012aw","","160.97396","11.67164","SN IIP","0.002595","21816","2012-03-21 00:38:57.00","2456007.5270486","","Ekar","BC-Ekar","Ciroi-Cracco","Unknown","","Y","","","2012aw_2012-03-21_00-38-57_Ekar_BC-Ekar_None.dat","2012aw_2012-03-21_00-38-57_Ekar_BC-Ekar_None.fits","Object","","","Air","Angstrom","1","Other","","600","200","","","","","","","3477.332672717","8138.5341079964","2.2950277869421","Dall&#039;Ora et al. 2014","2014ApJ...787..139D","[Data obtained from:DallâOra, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm]"," Migration From WISeREP1.0","2013-03-10 15:34:55"
"7302","2012aw","","160.97396","11.67164","SN IIP","0.002595","21817","2012-03-21 22:25:29.00","2456008.4343634","","Ekar","BC-Ekar","Ciroi-Cracco","Unknown","","Y","","","2012aw_2012-03-21_22-25-29_Ekar_BC-Ekar_None.dat","2012aw_2012-03-21_22-25-29_Ekar_BC-Ekar_None.fits","Object","","","Air","Angstrom","1","Other","","600","200","","1.215","","","300","","3479.4840983655","8140.2541180303","2.294815371573","Dall&#039;Ora et al. 2014","2014ApJ...787..139D","[Data obtained from:DallâOra, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm]"," Migration From WISeREP1.0","2013-03-10 15:34:55"
"7302","2012aw","","160.97396","11.67164","SN IIP","0.002595","21819","2012-03-22 01:55:44.00","2456008.5803704","","TNG","SARG","Unknown","Unknown","","Y","","","2012aw_2012-03-22_01-55-44.00_TNG_SARG_None.dat","2012aw_2012-03-22_01-55-44_TNG_SARG_None.fits","Object","Low","","Air","Angstrom","1","Other","","3600","","","1.12","","CD3","","","5864.5512459634","5934.7657752984","0.041994335726662","Dall&amp;#039;Ora et al. 2014","2014ApJ...787..139D","[Data obtained from:DallâOra, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm]"," Migration From WISeREP1.0","2013-03-10 15:34:55"
