section,metric,value
scale,edges,6664
scale,layers,5
scale,source_nodes,6009
scale,persistence_mean_sources,0.35076551838908304
scale,persistence_p90_sources,0.5
scale,branch_fraction_all,0.037968599807753925
scale,merge_fraction_all,0.04445690483819289
scale,entropy_mean_sources,0.057631822101807915
scale,conservation_mean,1.0930161347373588
time,edges,10795
time,layers,10
time,source_nodes,10507
time,persistence_mean_sources,0.5071856857333207
time,persistence_p90_sources,0.8888888888888888
time,branch_fraction_all,0.019785325216276833
time,merge_fraction_all,0.01730214674783723
time,entropy_mean_sources,0.016221196410456502
time,conservation_mean,1.194717064914943
stitch,eligible_sources,4957
stitch,cells,36
stitch,mean_defect,0.026627534107437796
stitch,p90_defect,0.004937665669242726
stitch,max_defect,1.0
null_quality,swap_attempts_total,8724500
null_quality,swap_accepted_total,8712521
null_quality,mean_mobility_fraction,0.9986269700269355
null_quality,median_mobility_fraction,0.9986302939996561
null_quality,zero_mobility_null_fraction,0.0
null_quality,unique_graphs,100
null_quality,unique_graph_fraction,1.0
null_quality,real_graph_match_fraction,0.0
null_quality,flags,
verdict,class,CONSTRAINED_ROUTING
