sample_index,branch_local_index,branch,time_relative_to_bounce_Gyr,distance_to_bounce_Gyr,x_bounce_distance,scale_factor,ln_scale_factor,redshift_equivalent,H_signed_km_s_Mpc,H_magnitude_km_s_Mpc,E_classical_of_a,E_lqc_of_a,E2_lqc_of_a,rho_total_relative_to_rho_crit0,rho_over_rho_c,rho_c_relative_to_rho_crit0,lqc_correction_factor,rho_m_relative_to_rho_crit0,rho_r_relative_to_rho_crit0,rho_lambda_relative_to_rho_crit0,fraction_matter_at_a,fraction_radiation_at_a,fraction_lambda_at_a,Omega_m_planck,Omega_r_effective,Omega_Lambda_planck,Omega_Lambda_dynamic,effective_ricci_over_6H0sq,scale_factor_margin_component,density_to_bounce_margin_component,curvature_margin_component,boundary_margin_candidate,distance_from_bounce_log_a,is_exact_bounce
0,0,contraction,-3.0553321067580075e+121,3.0553321067580075e+121,1,1,0,0,-67.321780000000004,67.321780000000004,1,1,1,1,4.0279678756494123e-123,2.4826414481738492e+122,1,0.31579669999999999,9.2161799023199995e-05,0.68411113820097691,0.31579669999999999,9.2161799023199995e-05,0.68411113820097691,0.31579669999999999,9.2161799023199995e-05,0.68420329999999996,0.68411113820097691,1.5261206264019536,1,1,0.39586391463195358,0.39586391463195358,72.779167319815031,no
1,1,contraction,-3.8153970695261372e-60,3.8153970695261372e-60,0.9919693400672619,6.940659902858975e-32,-71.745326118943936,1.4407851904515349e+31,-1.3308459364209947e+62,1.3308459364209947e+62,1.9928469369735363e+60,1.9768430609247033e+60,3.90790848752615e+120,3.9714389142048064e+120,0.015996828366520943,2.4826414481738492e+122,0.98400317163347906,9.44507247704515e+92,3.9714389142048201e+120,0.68411113820097691,2.3782494660216419e-28,1.0000000000000036,1.7225775165622941e-121,0.31579669999999999,9.2161799023199995e-05,0.68420329999999996,0.68411113820097691,1.2706085335728868e+119,6.940659902858975e-32,0.98400317163347906,7.8702446392993344e-120,7.8702446392993344e-120,1.0338412008710949,no
2,2,contraction,-2.5833689763778984e-60,2.5833689763778984e-60,0.98400317163347906,5.8481051629056047e-32,-71.916605270810678,1.7099555704691782e+31,-1.8595044115789004e+62,1.8595044115789004e+62,2.80701752786315e+60,2.7621141502481074e+60,7.6292745790008241e+120,7.87934740173095e+120,0.031737758215253931,2.4826414481738492e+122,0.96826224178474607,1.5789270547988654e+93,7.8793474017308927e+120,0.68411113820097691,2.0038804919960803e-28,0.99999999999999267,8.6823324740154253e-122,0.31579669999999999,9.2161799023199995e-05,0.68420329999999996,0.68411113820097691,5.0014564546036189e+119,5.8481051629056047e-32,0.96826224178474607,1.9994175878099354e-120,1.9994175878099354e-120,0.86256204900435085,no
3,3,contraction,-2.0838593294827221e-60,2.0838593294827221e-60,0.97610097678935492,5.2949506228428835e-32,-72.015969322041713,1.8885917381097226e+31,-2.2501008331183432e+62,2.2501008331183432e+62,3.4241410233677652e+60,3.3423073975737766e+60,1.1171018739876393e+121,1.1724741747910045e+121,0.047226883110867202,2.4826414481738492e+122,0.9527731168891328,2.1272662204802541e+93,1.172474174791015e+121,0.68411113820097691,1.8143395105989801e-28,1.0000000000000091,5.8347650883050018e-122,0.31579669999999999,9.2161799023199995e-05,0.68420329999999996,0.68411113820097691,1.1074460160671113e+120,5.2949506228428835e-32,0.9527731168891328,9.0297855199417673e-121,9.0297855199417673e-121,0.76319799777331598,no
4,4,contraction,-1.7921504365918957e-60,1.7921504365918957e-60,0.96826224178474607,4.9373558967143557e-32,-72.085893031483693,2.0253755672453476e+31,-2.5670551078212598e+62,2.5670551078212598e+62,3.9380987774218878e+60,3.8131123505962853e+60,1.4539825798269927e+121,1.550862198073177e+121,0.062468231133977925,2.4826414481738492e+122,0.93753176886602207,2.6237610905760479e+93,1.5508621980731932e+121,0.68411113820097691,1.691808010947628e-28,1.0000000000000104,4.4111665049991585e-122,0.31579669999999999,9.2161799023199995e-05,0.68420329999999996,0.68411113820097691,1.9375923649234044e+120,4.9373558967143557e-32,0.93753176886602207,5.1610442841496814e-121,5.1610442841496814e-121,0.69327428833132609,no
5,5,contraction,-1.5942701220664744e-60,1.5942701220664744e-60,0.96048645699526214,4.6787709061034574e-32,-72.139687527273367,2.1373134527606383e+31,-2.8356899655604116e+62,2.8356899655604116e+62,4.3854272461083604e+60,4.2121434780251082e+60,1.7742152679469458e+121,1.9231972130909558e+121,0.077465765928688479,2.4826414481738492e+122,0.92253423407131152,3.083274885143761e+93,1.9231972130909526e+121,0.68411113820097691,1.6032026586541962e-28,0.99999999999999833,3.5571554157021466e-122,0.31579669999999999,9.2161799023199995e-05,0.68420329999999996,0.68411113820097691,2.9796389028802564e+120,4.6787709061034574e-32,0.92253423407131152,3.3561113698487221e-121,3.3561113698487221e-121,0.63947979254166465,no
6,6,contraction,-1.4483595008399161e-60,1.4483595008399161e-60,0.95277311688912936,4.4791846647038811e-32,-72.183281940431314,2.2325491687807204e+31,-3.0691818527757647e+62,3.0691818527757647e+62,4.7849514613826616e+60,4.5589731180247527e+60,2.0784235890872339e+121,2.289576048778807e+121,0.092223387733373463,2.4826414481738492e+122,0.90777661226662654,3.5140722352851797e+93,2.2895760487788167e+121,0.68411113820097691,1.5348135027702982e-28,1.0000000000000042,2.9879380445382531e-122,0.31579669999999999,9.2161799023199995e-05,0.68420329999999996,0.68411113820097691,4.2230491938312974e+120,4.4791846647038811e-32,0.90777661226662654,2.3679572605043823e-121,2.3679572605043823e-121,0.59588537938371067,no
7,7,contraction,-1.3348427252401365e-60,1.3348427252401365e-60,0.94512171999434125,4.318395521633099e-32,-72.21983904957149,2.3156748727402984e+31,-3.2754726114990274e+62,3.2754726114990274e+62,5.1479063560973168e+60,4.8653981096444973e+60,2.367209876533225e+121,2.6500939851147152e+121,0.10674493439493804,2.4826414481738492e+122,0.89325506560506196,3.9213927081719865e+93,2.6500939851147468e+121,0.68411113820097691,1.4797183534614302e-28,1.000000000000012,2.5814599106429939e-122,0.31579669999999999,9.2161799023199995e-05,0.68420329999999996,0.68411113820097691,5.6576821716293081e+120,4.318395521633099e-32,0.89325506560506196,1.767508265159438e-121,1.767508265159438e-121,0.55932827024353426,no
8,8,contraction,-1.2431517756946959e-60,1.2431517756946959e-60,0.93753176886601874,4.1848724458560205e-32,-72.251246751219966,2.3895590915566096e+31,-3.4598128273409289e+62,3.4598128273409289e+62,5.4816464478296329e+60,5.139217690531844e+60,2.6411558470675461e+121,3.0048447779003231e+121,0.12103418236695396,2.4826414481738492e+122,0.87896581763304604,4.3088453946172852e+93,3.004844777900336e+121,0.68411113820097691,1.4339660491974399e-28,1.0000000000000042,2.2766937687843197e-122,0.31579669999999999,9.2161799023199995e-05,0.68420329999999996,0.68411113820097691,7.2737786166553485e+120,4.1848724458560205e-32,0.87896581763304604,1.3748012590185527e-121,1.3748012590185527e-121,0.52792056859506131,no
9,9,contraction,-1.1670044220664526e-60,1.1670044220664526e-60,0.93000277005411736,4.0714540615430254e-32,-72.278722776879903,2.4561249737422153e+31,-3.625903372318839e+62,3.625903372318839e+62,5.7913044153633444e+60,5.3859291485145503e+60,2.900823279281867e+121,3.3539206831406964e+121,0.13509484769166857,2.4826414481738492e+122,0.86490515230833143,4.6790638381029829e+93,3.3539206831406854e+121,0.68411113820097691,1.3951027111712698e-28,0.99999999999999667,2.0397355895738056e-122,0.31579669999999999,9.2161799023199995e-05,0.68420329999999996,0.68411113820097691,9.0619480771767528e+120,4.0714540615430254e-32,0.86490515230833143,1.1035154819729995e-121,1.1035154819729995e-121,0.50044454293512286,no
