sample_index,time,S
0,0.0,-0.0
1,0.001592356687898089,-0.0
2,0.003184713375796178,-0.0
3,0.004777070063694267,4.612721405214837e-11
4,0.006369426751592356,3.697200316448691e-10
5,0.007961783439490446,1.5212294402309905e-09
6,0.009554140127388535,4.578021288660347e-09
7,0.011146496815286625,1.1378625284212424e-08
8,0.012738853503184712,2.4785907020050313e-08
9,0.014331210191082801,4.897432666765638e-08
10,0.01592356687898089,8.97370769423474e-08
11,0.01751592356687898,1.548092609387117e-07
12,0.01910828025477707,2.542035381260371e-07
13,0.020700636942675158,4.005548791505214e-07
14,0.02229299363057325,6.094712558701881e-07
15,0.023885350318471336,8.998872324497733e-07
16,0.025477707006369425,1.2944175744921146e-06
17,0.027070063694267517,1.8197081113159124e-06
18,0.028662420382165602,2.506781208904365e-06
19,0.030254777070063694,3.391373328638218e-06
20,0.03184713375796178,4.514262253714007e-06
21,0.03343949044585987,5.921581689576586e-06
22,0.03503184713375796,7.665121041278165e-06
23,0.03662420382165605,9.802608294903159e-06
24,0.03821656050955414,1.239797404713124e-05
25,0.03980891719745223,1.552159482913845e-05
26,0.041401273885350316,1.925051399468109e-05
27,0.04299363057324841,2.3668638567868194e-05
28,0.0445859872611465,2.8866910545779175e-05
29,0.04617834394904458,3.494345131464399e-05
30,0.04777070063694267,4.200367791017321e-05
31,0.04936305732484076,5.016038930008991e-05
32,0.05095541401273885,5.953382579256718e-05
33,0.052547770700636945,7.025169088880682e-05
34,0.054140127388535034,8.244914738809493e-05
35,0.055732484076433116,9.62687781065417e-05
36,0.057324840764331204,0.0001118605141920271
37,0.05891719745222929,0.00012938153013162206
38,0.06050955414012739,0.00014899610522385495
39,0.06210191082802548,0.00017087545141397507
40,0.06369426751592357,0.0001951975075275864
41,0.06528662420382166,0.0002221467000438667
42,0.06687898089171974,0.0002519136706924331
43,0.06847133757961783,0.00028469497126871004
44,0.07006369426751592,0.00032069272617842574
45,0.07165605095541401,0.00036011426334868295
46,0.0732484076433121,0.0004031717142459371
47,0.07484076433121019,0.00045008158385992494
48,0.07643312101910828,0.0005010642916122327
49,0.07802547770700637,0.0005563436842564678
50,0.07961783439490445,0.0006161465219334081
51,0.08121019108280254,0.0006807019386416164
52,0.08280254777070063,0.0007502408784717407
53,0.08439490445859872,0.0008249955090389179
54,0.08598726114649682,0.0009051986136326321
55,0.08757961783439491,0.0009910829636747042
56,0.089171974522293,0.0010828806731443636
57,0.09076433121019108,0.0011808225367079222
58,0.09235668789808917,0.0012851373533283562
59,0.09394904458598725,0.0013960512372059512
60,0.09554140127388534,0.0015137869179391564
61,0.09713375796178343,0.001638563031825079
62,0.09872611464968152,0.001770593406293866
63,0.10031847133757961,0.0019100863394457524
64,0.1019108280254777,0.002057243876738218
65,0.1035031847133758,0.0022122610868550298
66,0.10509554140127389,0.0023753253388136123
67,0.10668789808917198,0.0025466155823809034
