sample_index,time,F
0,0.0,1.0
1,0.003690036900369004,0.9990958926298974
2,0.007380073800738008,0.9963883784642423
3,0.01107011070110701,0.9918918395584152
4,0.014760147601476016,0.9856301072261493
5,0.01845018450184502,0.9776362556071698
6,0.02214022140221402,0.9679523161150435
7,0.02583025830258303,0.9566289161479007
8,0.029520295202952032,0.9437248463267645
9,0.033210332103321034,0.9293065613430234
10,0.03690036900369004,0.9134476202374392
11,0.04059040590405904,0.8962280725906564
12,0.04428044280442804,0.8777337976553465
13,0.04797047970479705,0.8580558039389142
14,0.05166051660516606,0.8372894970760043
15,0.055350553505535055,0.8155339240829932
16,0.059040590405904064,0.7928910022104511
17,0.06273062730627307,0.7694647406249956
18,0.06642066420664207,0.7453604630565477
19,0.07011070110701108,0.7206840393346853
20,0.07380073800738007,0.6955411334680095
21,0.07749077490774907,0.6700364755060083
22,0.08118081180811808,0.6442731638468397
23,0.08487084870848709,0.6183520042852121
24,0.08856088560885608,0.5923708913013035
25,0.09225092250922509,0.5664242364804926
26,0.0959409594095941,0.5406024482114274
27,0.09963099630996311,0.5149914660922288
28,0.10332103321033212,0.4896723526110727
29,0.1070110701107011,0.46472094400324565
30,0.11070110701107011,0.44020756133164085
31,0.11439114391143912,0.41619678210876226
32,0.11808118081180813,0.3927472720627147
33,0.12177121771217712,0.3699116759155039
34,0.12546125461254615,0.3477365654323694
35,0.12915129151291513,0.3262624424768914
36,0.13284132841328414,0.30552379403118457
37,0.13653136531365315,0.2855491960035123
38,0.14022140221402216,0.2663614620064086
39,0.14391143911439114,0.24797783292281816
40,0.14760147601476015,0.23041020343242943
41,0.15129151291512916,0.21366538044759975
42,0.15498154981549814,0.19774536870740286
43,0.15867158671586715,0.18264767957907252
44,0.16236162361623616,0.16836565791516842
45,0.16605166051660517,0.1548888225311206
46,0.16974169741697417,0.14220321588468737
47,0.17343173431734316,0.13029175872731857
48,0.17712177121771217,0.11913460573008691
49,0.18081180811808117,0.10870949780237274
50,0.18450184501845018,0.09899211039899507
51,0.1881918819188192,0.08995638938157792
52,0.1918819188191882,0.08157487690904702
53,0.1955719557195572,0.0738190223941646
54,0.19926199261992622,0.06665947698966249
55,0.20295202952029523,0.06006636991308403
56,0.20664206642066424,0.05400956534475196
57,0.2103321033210332,0.04845889879914217
58,0.2140221402214022,0.04338439242584629
59,0.2177121771217712,0.03875644887010482
60,0.22140221402214022,0.03454602360738576
61,0.22509225092250923,0.030724775957133722
62,0.22878228782287824,0.02726519925297292
63,0.23247232472324725,0.024140730830437152
64,0.23616236162361626,0.02132584258911745
65,0.23985239852398524,0.01879611320133916
66,0.24354243542435425,0.016528283032771447
67,0.24723247232472326,0.014500292994023545
68,0.2509225092250923,0.012691308602760461
69,0.25461254612546125,0.01108173057898966
70,0.25830258302583026,0.009653193319528533
71,0.26199261992619927,0.008388552623745466
