id,role,JPR_overall_depth,JPR_fractional_depth,FL_depth,FC_fractional_depth,JPR_FC_fractional_depth_agree,JPR_prefers_fractional_over_parent,FC_fractional_gain_positive
LUO_EE_LOW_N12,MULTICLOCK_BREAKDOWN_LOW,2,2,1,2,True,True,True
LUO_EE_LOW_N32,MULTICLOCK_BREAKDOWN_LOW,2,2,1,2,True,True,True
LUO_EE_DTQC_N12,DTQC_POSITIVE,2,2,2,2,True,True,True
LUO_EE_DTQC_N32,DTQC_POSITIVE,2,2,2,2,True,True,True
LUO_EE_HIGH_N12,MULTICLOCK_DECOUPLED_HIGH,2,2,2,2,True,True,True
LUO_EE_HIGH_N32,MULTICLOCK_DECOUPLED_HIGH,2,2,2,2,True,True,True
ZHU_FIG1_C1,DTQC_POSITIVE,2,2,1,2,True,True,True
ZHU_FIG1_C3,DTQC_POSITIVE,2,2,1,2,True,True,True
MS_M0p6,QP_NON_DTQC_TOPO,1,2,2,2,True,False,False
MS_M0p8,QP_NON_DTQC_TOPO,1,2,2,4,False,False,False
MS_M1p0,QP_NON_DTQC_TOPO,1,2,2,2,True,False,False
MS_M1p2,QP_NON_DTQC_TOPO,1,2,2,2,True,False,False
MS_M1p4,QP_NON_DTQC_TOPO,1,2,2,3,False,False,False
MS_M1p7,QP_NON_DTQC_TOPO,1,2,3,2,True,False,False
MS_M2p3,QP_NON_DTQC_TRIVIAL,1,2,2,2,True,False,False
MS_M2p6,QP_NON_DTQC_TRIVIAL,1,2,2,2,True,False,False
MS_M2p8,QP_NON_DTQC_TRIVIAL,1,2,2,2,True,False,False
MS_M3p0,QP_NON_DTQC_TRIVIAL,1,2,3,2,True,False,False
MS_M3p2,QP_NON_DTQC_TRIVIAL,1,2,3,2,True,False,False
MS_M3p4,QP_NON_DTQC_TRIVIAL,1,2,2,2,True,False,False
