id,source,role,representation,depth,JPR_gain,JPR_mid_contrast,JPR_phase_state_rho,JPR_pairs,JPR_near_pairs,FL_peak_contrast,FL_capture,FL_nodes,FL_df,FC_parent_axis_r2,FC_parent_full_r2,FC_parent_mixed_gain,FC_frac_axis_gain,FC_frac_mixed_gain,FC_frac_total_gain
LUO_EE_LOW_N12,LUO_2026,MULTICLOCK_BREAKDOWN_LOW,JPR,1,0.13232440764387043,0.14696296252025431,0.010656099317618364,80000.0,800.0,,,,,,,,,,
LUO_EE_LOW_N12,LUO_2026,MULTICLOCK_BREAKDOWN_LOW,JPR,2,0.5239872968131586,0.5478410785787815,0.03249741235288417,80000.0,800.0,,,,,,,,,,
LUO_EE_LOW_N12,LUO_2026,MULTICLOCK_BREAKDOWN_LOW,JPR,3,-0.004109865401786372,-0.025319877439945904,-0.002525535341366501,80000.0,800.0,,,,,,,,,,
LUO_EE_LOW_N12,LUO_2026,MULTICLOCK_BREAKDOWN_LOW,JPR,4,-0.03832700533417177,-0.050155753421992966,-0.030157253737030206,80000.0,801.0,,,,,,,,,,
LUO_EE_LOW_N12,LUO_2026,MULTICLOCK_BREAKDOWN_LOW,FL,1,,,,,,1.0751171570306828,0.045838591131575866,12.0,0.01255974880502872,,,,,,
LUO_EE_LOW_N12,LUO_2026,MULTICLOCK_BREAKDOWN_LOW,FL,2,,,,,,0.945680672523813,0.20192171031599315,12.0,0.01255974880502872,,,,,,
LUO_EE_LOW_N12,LUO_2026,MULTICLOCK_BREAKDOWN_LOW,FL,3,,,,,,0.8353484456378881,0.6316531280581165,12.0,0.01255974880502872,,,,,,
LUO_EE_LOW_N12,LUO_2026,MULTICLOCK_BREAKDOWN_LOW,FL,4,,,,,,0.631188190398575,0.4491717616090471,12.0,0.01255974880502872,,,,,,
LUO_EE_LOW_N12,LUO_2026,MULTICLOCK_BREAKDOWN_LOW,FC,2,,,,,,,,,,-0.003655805678970481,0.0018705089199775094,0.00552631459894799,0.07760004400116227,0.053755002052993495,0.13135504605415577
LUO_EE_LOW_N12,LUO_2026,MULTICLOCK_BREAKDOWN_LOW,FC,3,,,,,,,,,,-0.003655805678970481,0.0018705089199775094,0.00552631459894799,-0.03992058137504739,-0.03007957187341282,-0.0700001532484602
LUO_EE_LOW_N12,LUO_2026,MULTICLOCK_BREAKDOWN_LOW,FC,4,,,,,,,,,,-0.003655805678970481,0.0018705089199775094,0.00552631459894799,-0.043777656734501826,-0.12524671790948766,-0.16902437464398948
LUO_EE_LOW_N32,LUO_2026,MULTICLOCK_BREAKDOWN_LOW,JPR,1,0.15301075688545307,0.16640834568852325,0.012888458343111782,80000.0,800.0,,,,,,,,,,
LUO_EE_LOW_N32,LUO_2026,MULTICLOCK_BREAKDOWN_LOW,JPR,2,0.5575299178509611,0.5699201097199913,0.03699540964275398,80000.0,800.0,,,,,,,,,,
LUO_EE_LOW_N32,LUO_2026,MULTICLOCK_BREAKDOWN_LOW,JPR,3,-0.040259044525274845,-0.05074149086720681,-0.006535693159214548,80000.0,801.0,,,,,,,,,,
LUO_EE_LOW_N32,LUO_2026,MULTICLOCK_BREAKDOWN_LOW,JPR,4,0.07070986158655745,0.0708548797996954,-0.024484364579574102,80000.0,800.0,,,,,,,,,,
LUO_EE_LOW_N32,LUO_2026,MULTICLOCK_BREAKDOWN_LOW,FL,1,,,,,,1.087184825232805,0.04638111030190705,12.0,0.01255974880502872,,,,,,
LUO_EE_LOW_N32,LUO_2026,MULTICLOCK_BREAKDOWN_LOW,FL,2,,,,,,0.9263909597902575,0.1989573462954685,12.0,0.01255974880502872,,,,,,
LUO_EE_LOW_N32,LUO_2026,MULTICLOCK_BREAKDOWN_LOW,FL,3,,,,,,0.8151828157650066,0.6364769384277583,12.0,0.01255974880502872,,,,,,
LUO_EE_LOW_N32,LUO_2026,MULTICLOCK_BREAKDOWN_LOW,FL,4,,,,,,0.6348111115201021,0.45207429785952147,12.0,0.01255974880502872,,,,,,
LUO_EE_LOW_N32,LUO_2026,MULTICLOCK_BREAKDOWN_LOW,FC,2,,,,,,,,,,-0.00325063016697813,0.0020715203045512665,0.005322150471529397,0.0768701261243637,0.051774445018282406,0.1286445711426461
LUO_EE_LOW_N32,LUO_2026,MULTICLOCK_BREAKDOWN_LOW,FC,3,,,,,,,,,,-0.00325063016697813,0.0020715203045512665,0.005322150471529397,-0.039047817180824375,-0.030105180287038853,-0.06915299746786323
