id,source,role,n,state_dim,source_ratio,VD_best_single,VD_best_pair,VD_family_contrast,VD_q1,VD_q2,VD_pair_ratio,VD_qmax,JPR_parent_gain,JPR_best_depth,JPR_best_gain,JPR_best_fractional_depth,JPR_best_fractional_gain,JPR_cover_advantage,JPR_best_rho,FL_best_depth,FL_best_peak_contrast,FL_best_capture,FL_best_fractional_depth,FL_fractional_advantage,FC_parent_full_r2,FC_parent_mixed_gain,FC_best_fractional_depth,FC_frac_axis_gain,FC_frac_mixed_gain,FC_frac_total_gain
LUO_EE_LOW_N12,LUO_2026,MULTICLOCK_BREAKDOWN_LOW,50001,1,1.618033988749895,0.9999132405462849,0.9997993588774098,0.0021842760712216247,1,2,2.0,120,0.13232440764387043,2,0.5239872968131586,2,0.5239872968131586,0.39166288916928815,0.03249741235288417,1,1.0751171570306828,0.045838591131575866,2,-0.12943648450686973,0.0018705089199775094,0.00552631459894799,2,0.07760004400116227,0.053755002052993495,0.13135504605415577
LUO_EE_LOW_N32,LUO_2026,MULTICLOCK_BREAKDOWN_LOW,50001,1,1.618033988749895,0.9999137522403243,0.9998002194103852,0.0021822338627190963,1,2,2.0,120,0.15301075688545307,2,0.5575299178509611,2,0.5575299178509611,0.404519160965508,0.03699540964275398,1,1.087184825232805,0.04638111030190705,2,-0.16079386544254737,0.0020715203045512665,0.005322150471529397,2,0.0768701261243637,0.051774445018282406,0.1286445711426461
LUO_EE_DTQC_N12,LUO_2026,DTQC_POSITIVE,50001,1,1.618033988749895,0.9998961886741582,0.9996398924807766,0.006735253429580257,1,2,2.0,120,0.048890217520114576,2,0.8420956708839139,2,0.8420956708839139,0.7932054533637993,0.26609074336653965,2,4.686334567529606,0.9872813121611292,2,0.5233580023864945,0.012515031479827554,0.0017670225722626002,2,0.7177139279822071,0.22436103784965733,0.9420749658318645
LUO_EE_DTQC_N32,LUO_2026,DTQC_POSITIVE,50001,1,1.618033988749895,0.9998961897863747,0.9996398964537138,0.00673518503662629,1,2,2.0,120,0.214637186254087,2,0.8523070969732207,2,0.8523070969732207,0.6376699107191337,0.26920920919608576,2,4.68627385869152,0.9872815281011642,2,0.5233529664805427,0.0125149552392692,0.0017667595331172913,2,0.7177087425008575,0.22436622889521174,0.9420749713960692
LUO_EE_HIGH_N12,LUO_2026,MULTICLOCK_DECOUPLED_HIGH,50001,1,1.618033988749895,0.999797509604373,0.999246022202542,0.01436474470642446,1,2,2.0,120,0.06476692369080905,2,0.6780849206281905,2,0.6780849206281905,0.6133179969373814,0.26310136774065834,2,5.455543470648748,0.9714887643207343,2,0.1790594066923985,0.035786360737174824,-0.0006637022835304374,2,0.5980502144185068,0.10052629677262948,0.6985765111911363
LUO_EE_HIGH_N32,LUO_2026,MULTICLOCK_DECOUPLED_HIGH,50001,1,1.618033988749895,0.9997975095570099,0.9992460217766949,0.014364754362852783,1,2,2.0,120,0.07512660671503768,2,0.6668946626253289,2,0.6668946626253289,0.5917680559102912,0.2559526916198086,2,5.455525369532118,0.9714887488705702,2,0.17904567231964386,0.03578648340028212,-0.0006637024911362102,2,0.5980496468761766,0.10052618262233493,0.6985758294985115
ZHU_FIG1_C1,ZHU_2026,DTQC_POSITIVE,453,1,1.618033988749895,0.7817196132982401,0.5744560350609096,0.2511078910250619,25,51,2.04,120,0.4124092653382033,2,0.49798881131813755,2,0.49798881131813755,0.08557954597993422,-0.04313361286517144,1,1.1049327125149295,0.7851403035525718,3,-0.22527475265610453,0.6004580216654606,0.095452469789568,2,-0.04363974946376292,0.13861066517277854,0.09497091570901561
ZHU_FIG1_C3,ZHU_2026,DTQC_POSITIVE,500,1,1.618033988749895,0.9523264984690811,0.8909414647565258,0.11549397506539061,1,53,53.0,120,0.40296788182680565,2,0.4758097303157608,2,0.4758097303157608,0.07284184848895514,-0.014247543846134358,1,0.937795969251922,0.5877988427128845,4,-0.39169754227725995,0.5223231827691395,0.5002485230667489,2,-0.011397711450767734,0.30053294793471497,0.28913523648394723
MS_M0p6,MALZ_SMITH_2021,QP_NON_DTQC_TOPO,782,3,1.618033988749895,0.9321776663601065,0.9112289133832305,0.2702238842649547,1,2,2.0,120,0.6941801225796823,1,0.6941801225796823,2,0.4147557690041559,-0.2794243535755264,0.5973832570279886,2,1.4081595831788374,0.9802553464306724,2,0.8893739392909028,0.8847832908580304,0.05077611558747108,2,-0.011516559284663996,-0.008296652993634246,-0.019813212278298242
MS_M0p8,MALZ_SMITH_2021,QP_NON_DTQC_TOPO,782,3,1.618033988749895,0.9147774280866269,0.899914645072812,0.269021548009325,1,2,2.0,120,0.6524775143865343,1,0.6524775143865343,2,0.42597729742506674,-0.2265002169614676,0.5376208982972865,2,1.4516573859834085,0.9697978775074187,2,1.0834434316685706,0.8829095045257827,0.07338959099933873,4,-0.0004467778731476191,-0.010181306937218082,-0.010628084810365701
