"gCode","GlassNo","Nd","NdMethod","Colorant","ColorantMW","ColorantWtPct","Thickness","ThickMethod","Density","DensMethod"
320,140392,1.45799994468689,"Priven-2000","SiO2",0,100,2,"Default",2.20099997520447,"Priven-2000"
320,140393,1.45799994468689,"Priven-2000","SiO2",0,100,2,"Default",2.20099997520447,"Priven-2000"
320,88272,1.45799994468689,"Priven-2000","Eu2O3",0,0.100000001490116,2,"Default",2.20300006866455,"Priven-2000"
320,88273,1.45799994468689,"Priven-2000","Eu2O3",0,0.100000001490116,2,"Default",2.20300006866455,"Priven-2000"
321,140958,1.45799994468689,"Priven-2000","SiO2",0,100,2,"Default",2.20099997520447,"Priven-2000"
342,21473,1.51600003242493,"Priven-2000","Cr2O3",0,0.025000000372529,2,"Default",2.2960000038147,"Priven-2000"
342,21474,1.50100004673004,"Priven-2000","Cr2O3",0,0.0230000000447035,2,"Default",2.38899993896484,"Priven-2000"
342,21475,1.51400005817413,"Priven-2000","Cr2O3",0,0.0240000002086163,2,"Default",2.43799996376038,"Priven-2000"
342,21476,1.51499998569489,"Priven-2000","Cr2O3",0,0.025000000372529,2,"Default",2.71600008010864,"Priven-2000"
342,21477,1.53699994087219,"Priven-2000","Cr2O3",0,0.0240000002086163,2,"Default",2.99699997901917,"Priven-2000"
383,76197,2.30999994277954,"Priven-2000","Bi2O3",0,41.9799995422363,2,"Default",8.33699989318848,"Priven-2000"
383,76198,2.27099990844727,"Priven-2000","Bi2O3",0,59.5200004577637,2,"Default",8.03800010681152,"Priven-2000"
383,76199,2.18700003623962,"Priven-2000","Bi2O3",0,6.78000020980835,2,"Default",8.31999969482422,"Priven-2000"
383,76200,2.19199991226196,"Priven-2000","PbO",0,78.129997253418,2,"Default",8.45600032806396,"Priven-2000"
384,149006,2.30999994277954,"Priven-2000","Bi2O3",0,41.9799995422363,2,"Default",8.33699989318848,"Priven-2000"
484,151678,1.51699995994568,"Priven-2000","CeO2",0,1.28999996185303,2,"Default",2.40899991989136,"Priven-2000"
484,151679,1.51800000667572,"Priven-2000","CeO2",0,0.860000014305115,2,"Default",2.40100002288818,"Priven-2000"
484,151680,1.51800000667572,"Priven-2000","CeO2",0,0.430000007152557,2,"Default",2.39199995994568,"Priven-2000"
485,149007,1.51699995994568,"Priven-2000","CeO2",0,1.28999996185303,2,"Default",2.40899991989136,"Priven-2000"
485,149008,1.51800000667572,"Priven-2000","CeO2",0,0.860000014305115,2,"Default",2.40100002288818,"Priven-2000"
485,149009,1.51800000667572,"Priven-2000","CeO2",0,0.430000007152557,2,"Default",2.39199995994568,"Priven-2000"
571,99015,1.61000001430511,"Priven-2000","GeO2",0,100,2,"Default",3.59500002861023,"Priven-2000"
571,99016,1.61000001430511,"Priven-2000","GeO2",0,100,2,"Default",3.59500002861023,"Priven-2000"
571,99017,1.61000001430511,"Priven-2000","GeO2",0,100,2,"Default",3.59500002861023,"Priven-2000"
592,160539,1.49500000476837,"Priven-2000","SiO2",0,76.4300003051758,2,"Default",2.40799999237061,"Priven-2000"
592,160540,1.49500000476837,"Priven-2000","SiO2",0,76.3499984741211,2,"Default",2.40199995040894,"Priven-2000"
592,160541,1.49100005626678,"Priven-2000","SiO2",0,78.9700012207031,2,"Default",2.38599991798401,"Priven-2000"
592,160542,1.49100005626678,"Priven-2000","SiO2",0,78.9100036621094,2,"Default",2.38199996948242,"Priven-2000"
592,141248,1.48800003528595,"Priven-2000","SiO2",0,81.5400009155273,2,"Default",2.3659999370575,"Priven-2000"
592,160543,1.48800003528595,"Priven-2000","SiO2",0,81.5299987792969,2,"Default",2.36500000953674,"Priven-2000"
592,160544,1.48800003528595,"Priven-2000","SiO2",0,81.4199981689453,2,"Default",2.35700011253357,"Priven-2000"
592,141249,1.48399996757507,"Priven-2000","SiO2",0,84.0699996948242,2,"Default",2.34200000762939,"Priven-2000"
592,141250,1.48399996757507,"Priven-2000","SiO2",0,84.0199966430664,2,"Default",2.33800005912781,"Priven-2000"
592,141251,1.48000001907349,"Priven-2000","SiO2",0,86.629997253418,2,"Default",2.31900000572205,"Priven-2000"
592,141252,1.48000001907349,"Priven-2000","SiO2",0,86.5500030517578,2,"Default",2.31399989128113,"Priven-2000"
611,145444,1.54499995708466,"Rough","CeO2",0,4.76000022888184,2,"Default",2.63299989700317,"Priven-2000"
611,145445,1.55299997329712,"Rough","CeO2",0,9.09000015258789,2,"Default",2.71099996566772,"Priven-2000"
611,145446,1.56099998950958,"Rough","CeO2",0,13.039999961853,2,"Default",2.78600001335144,"Priven-2000"
611,145447,1.56900000572205,"Rough","CeO2",0,16.6700000762939,2,"Default",2.85800004005432,"Priven-2000"
611,145448,1.57599997520447,"Rough","CeO2",0,20,2,"Default",2.92700004577637,"Priven-2000"
1441,77429,1.70700001716614,"Priven-2000","ZnO",0,29.2099990844727,2,"Default",3.88499999046326,"Priven-2000"
1577,101504,1.52499997615814,"Rough","LaF3",0,3.11999988555908,2,"Default",4.94999980926514,"Rough"
1577,101505,1.52199995517731,"Rough","LaF3",0,3.17000007629395,2,"Default",4.90999984741211,"Rough"
1577,101506,1.52300000190735,"Rough","LaF3",0,3.16000008583069,2,"Default",4.92000007629395,"Rough"
1577,101507,1.58899998664856,"Rough","CdCl2",0,22.3400001525879,2,"Default",5.34999990463257,"Rough"
1577,101508,1.58500003814697,"Rough","CdCl2",0,22.5699996948242,2,"Default",5.30000019073486,"Rough"
1577,101509,1.59599995613098,"Rough","CdCl2",0,32.1599998474121,2,"Default",5.42999982833862,"Rough"
1577,101510,1.59899997711182,"Rough","CdCl2",0,36.2599983215332,2,"Default",5.46999979019165,"Rough"
1577,101511,1.59700000286102,"Rough","CdCl2",0,29.1200008392334,2,"Default",5.44999980926514,"Rough"
1577,101512,1.60199999809265,"Rough","CdCl2",0,28.7999992370605,2,"Default",5.51000022888184,"Rough"
1577,101513,1.52699995040894,"Rough","CdF2",0,12.5600004196167,2,"Default",4.88000011444092,"Rough"
1579,76205,1.44900000095367,"Rough","P2O5",0,41.3300018310547,2,"Default",2.50999999046326,"Rough"
1579,76206,1.44599997997284,"Rough","P2O5",0,37.0200004577637,2,"Default",2.57999992370605,"Rough"
1579,76207,1.43499994277954,"Rough","P2O5",0,32.310001373291,2,"Default",2.54999995231628,"Rough"
1579,76208,1.442999958992,"Rough","P2O5",0,33.5299987792969,2,"Default",2.63000011444092,"Rough"
1579,76209,1.432000041008,"Rough","P2O5",0,29.0100002288818,2,"Default",2.61999988555908,"Rough"
1579,76210,1.4190000295639,"Rough","P2O5",0,23.6900005340576,2,"Default",2.59999990463257,"Rough"
1579,76211,1.44000005722046,"Rough","P2O5",0,30.6299991607666,2,"Default",2.69000005722046,"Rough"
1579,76212,1.42999994754791,"Rough","P2O5",0,26.3199996948242,2,"Default",2.67000007629395,"Rough"
1579,76213,1.40299999713898,"Rough","P2O5",0,23.1900005340576,2,"Default",2.5,"Rough"
1579,76214,1.41199994087219,"Rough","P2O5",0,26.2399997711182,2,"Default",2.54999995231628,"Rough"
1623,142574,1.54100000858307,"Rough","Eu2O3",0,5.51000022888184,2,"Default",2.78999996185303,"Rough"
1623,142575,1.5440000295639,"Rough","Eu2O3",0,5.46000003814697,2,"Default",2.67000007629395,"Rough"
1648,142891,1.90199995040894,"Priven-2000","Fe2O3",0,0.00100000004749745,2,"Default",5.95800018310547,"Priven-2000"
1648,142892,1.90199995040894,"Priven-2000","Fe2O3",0,0.00600000005215406,2,"Default",5.95800018310547,"Priven-2000"
1648,142893,1.90199995040894,"Priven-2000","Fe2O3",0,0.00100000004749745,2,"Default",5.95800018310547,"Priven-2000"
1688,25517,1.68799996376038,"Priven-2000","Ta2O5",0,11.8699998855591,2,"Default",3.98699998855591,"Priven-2000"
1688,25518,1.74800002574921,"Rough","Ta2O5",0,11.8199996948242,2,"Default",4.51999998092651,"Rough"
1688,25519,1.7389999628067,"Rough","Ta2O5",0,11.7600002288818,2,"Default",4.51999998092651,"Rough"
1688,25520,1.73099994659424,"Rough","Ta2O5",0,11.7200002670288,2,"Default",4.51999998092651,"Rough"
1689,25521,1.75699996948242,"Priven-2000","TiO2",0,22.6000003814697,2,"Default",3.7720000743866,"Priven-2000"
1689,25522,1.90600001811981,"Rough","TiO2",0,22.4899997711182,2,"Default",3.97000002861023,"Rough"
1689,25523,1.89900004863739,"Rough","TiO2",0,22.3799991607666,2,"Default",3.97000002861023,"Rough"
1689,25524,1.89199995994568,"Rough","TiO2",0,22.2700004577637,2,"Default",3.97000002861023,"Rough"
1689,25525,1.65799999237061,"Priven-2000","La2O3",0,19.5,2,"Default",3.75699996948242,"Priven-2000"
1689,25526,1.71899998188019,"Rough","La2O3",0,19.4099998474121,2,"Default",4.26000022888184,"Rough"
1689,25527,1.71300005912781,"Rough","La2O3",0,19.3299999237061,2,"Default",4.26000022888184,"Rough"
1689,25528,1.70700001716614,"Rough","La2O3",0,19.2399997711182,2,"Default",4.25,"Rough"
1690,25530,1.7039999961853,"Rough","La2O3",0,19.2399997711182,2,"Default",4.25,"Rough"
1690,25531,1.69599997997284,"Rough","La2O3",0,19.1499996185303,2,"Default",4.25,"Rough"
1690,25532,1.68900001049042,"Rough","La2O3",0,19.0599994659424,2,"Default",4.25,"Rough"
1690,25533,1.68099999427795,"Rough","La2O3",0,18.9699993133545,2,"Default",4.25,"Rough"
1690,25534,1.67299997806549,"Rough","La2O3",0,18.8799991607666,2,"Default",4.25,"Rough"
1721,26026,1.51400005817413,"Priven-2000","Nd2O3",0,2.71000003814697,2,"Default",2.54299998283386,"Priven-2000"
1721,26027,1.50999999046326,"Priven-2000","Nd2O3",0,2.71000003814697,2,"Default",2.51699995994568,"Priven-2000"
1721,26028,1.50800001621246,"Priven-2000","Nd2O3",0,2.71000003814697,2,"Default",2.49600005149841,"Priven-2000"
1721,26029,1.54100000858307,"Priven-2000","Nd2O3",0,3.26999998092651,2,"Default",2.39499998092651,"Priven-2000"
1721,26030,1.51499998569489,"Priven-2000","Nd2O3",0,2.30999994277954,2,"Default",2.51399993896484,"Priven-2000"
1721,26031,1.50999999046326,"Priven-2000","Nd2O3",0,2.35999989509583,2,"Default",2.48600006103516,"Priven-2000"
1721,26032,1.50499999523163,"Priven-2000","Nd2O3",0,2.41000008583069,2,"Default",2.45799994468689,"Priven-2000"
1721,142291,1.52199995517731,"Priven-2000","Nd2O3",0,9.11999988555908,2,"Default",2.56900000572205,"Priven-2000"
1721,26033,1.49699997901917,"Priven-2000","Nd2O3",0,2.47000002861023,2,"Default",2.41899991035461,"Priven-2000"
1721,26034,1.49300003051758,"Priven-2000","Nd2O3",0,2.50999999046326,2,"Default",2.39400005340576,"Priven-2000"
1721,26035,1.4889999628067,"Priven-2000","Nd2O3",0,2.53999996185303,2,"Default",2.37199997901917,"Priven-2000"
1721,26036,1.48500001430511,"Priven-2000","Nd2O3",0,2.5699999332428,2,"Default",2.34999990463257,"Priven-2000"
1721,26037,1.51400005817413,"Priven-2000","Nd2O3",0,2.63000011444092,2,"Default",2.54399991035461,"Priven-2000"
