Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
"=""3p6.4s2""","=""1S""","=""0""",1,"=""""","=""0.000""","=""""","=""0""","=""L7185"""
"=""3p6.4s.4p""","=""3P*""","=""0""",1,"=""""","=""15157.901""","=""""","=""""","=""L7185"""
"=""3p6.4s.4p""","=""3P*""","=""1""",3,"=""""","=""15210.063""","=""""","=""""","=""L7185"""
"=""3p6.4s.4p""","=""3P*""","=""2""",5,"=""""","=""15315.943""","=""""","=""""","=""L7185"""
"=""3p6.3d.4s""","=""3D""","=""1""",3,"=""""","=""20335.360""","=""""","=""""","=""L7185"""
"=""3p6.3d.4s""","=""3D""","=""2""",5,"=""""","=""20349.260""","=""""","=""""","=""L7185"""
"=""3p6.3d.4s""","=""3D""","=""3""",7,"=""""","=""20371.000""","=""""","=""""","=""L7185"""
"=""3p6.3d.4s""","=""1D""","=""2""",5,"=""""","=""21849.634""","=""""","=""""","=""L7185"""
"=""3p6.4s.4p""","=""1P*""","=""1""",3,"=""""","=""23652.304""","=""""","=""""","=""L7185"""
"=""3p6.4s.5s""","=""3S""","=""1""",3,"=""""","=""31539.495""","=""""","=""""","=""L7185"""
"=""3p6.4s.5s""","=""1S""","=""0""",1,"=""""","=""33317.264""","=""""","=""""","=""L7185"""
"=""3p6.3d.4p""","=""3F*""","=""2""",5,"=""""","=""35730.454""","=""""","=""""","=""L7185"""
"=""3p6.3d.4p""","=""3F*""","=""3""",7,"=""""","=""35818.713""","=""""","=""""","=""L7185"""
"=""3p6.3d.4p""","=""3F*""","=""4""",9,"=""""","=""35896.889""","=""""","=""""","=""L7185"""
"=""3p6.3d.4p""","=""1D*""","=""2""",5,"=""""","=""35835.413""","=""""","=""""","=""L7185"""
"=""3p6.4s.5p""","=""3P*""","=""0""",1,"=""""","=""36547.688""","=""""","=""""","=""L7185"""
"=""3p6.4s.5p""","=""3P*""","=""1""",3,"=""""","=""36554.749""","=""""","=""""","=""L7185"""
"=""3p6.4s.5p""","=""3P*""","=""2""",5,"=""""","=""36575.119""","=""""","=""""","=""L7185"""
"=""3p6.4s.5p""","=""1P*""","=""1""",3,"=""""","=""36731.615""","=""""","=""""","=""L7185"""
"=""3p6.4s.4d""","=""1D""","=""2""",5,"=""""","=""37298.287""","=""""","=""""","=""L7185"""
"=""3p6.4s.4d""","=""3D""","=""1""",3,"=""""","=""37748.197""","=""""","=""""","=""L7185"""
"=""3p6.4s.4d""","=""3D""","=""2""",5,"=""""","=""37751.867""","=""""","=""""","=""L7185"""
"=""3p6.4s.4d""","=""3D""","=""3""",7,"=""""","=""37757.449""","=""""","=""""","=""L7185"""
"=""3p6.3d.4p""","=""3D*""","=""1""",3,"=""""","=""38192.392""","=""""","=""""","=""L7185"""
"=""3p6.3d.4p""","=""3D*""","=""2""",5,"=""""","=""38219.118""","=""""","=""""","=""L7185"""
"=""3p6.3d.4p""","=""3D*""","=""3""",7,"=""""","=""38259.124""","=""""","=""""","=""L7185"""
"=""3p6.4p2""","=""3P""","=""0""",1,"=""""","=""38417.543""","=""""","=""""","=""L7185"""
"=""3p6.4p2""","=""3P""","=""1""",3,"=""""","=""38464.808""","=""""","=""""","=""L7185"""
"=""3p6.4p2""","=""3P""","=""2""",5,"=""""","=""38551.558""","=""""","=""""","=""L7185"""
