label,q,closure,similarity,support,n_pairs
signflip_sine,1,1.1179945857964146e-13,1.1179945857975326e-13,0.9999999999989997,50
signflip_sine,2,0.9999999999989997,1.0,0.9999999999989997,49
signflip_sine,3,1.1179945857964145e-13,1.1179945857975326e-13,0.9999999999989998,48
signflip_sine,4,0.9999999999989995,1.0,0.9999999999989995,47
signflip_sine,5,1.1179945857964149e-13,1.1179945857975326e-13,0.9999999999989996,46
signflip_sine,6,0.9999999999989996,1.0,0.9999999999989996,45
signflip_sine,7,1.1179945857964147e-13,1.1179945857975326e-13,0.9999999999989996,44
signflip_sine,8,0.9999999999989996,1.0,0.9999999999989996,43
signflip_sine,9,1.1179945857964146e-13,1.1179945857975326e-13,0.9999999999989997,42
signflip_sine,10,0.9999999999989997,1.0,0.9999999999989997,41
signflip_polynomial,1,1.1179945857964146e-13,1.1179945857975326e-13,0.9999999999989997,50
signflip_polynomial,2,0.9999999999989997,1.0,0.9999999999989997,49
signflip_polynomial,3,1.1179945857964145e-13,1.1179945857975326e-13,0.9999999999989998,48
signflip_polynomial,4,0.9999999999989995,1.0,0.9999999999989995,47
signflip_polynomial,5,1.1179945857964149e-13,1.1179945857975326e-13,0.9999999999989996,46
signflip_polynomial,6,0.9999999999989996,1.0,0.9999999999989996,45
signflip_polynomial,7,1.1179945857964147e-13,1.1179945857975326e-13,0.9999999999989996,44
signflip_polynomial,8,0.9999999999989996,1.0,0.9999999999989996,43
signflip_polynomial,9,1.1179945857964146e-13,1.1179945857975326e-13,0.9999999999989997,42
signflip_polynomial,10,0.9999999999989997,1.0,0.9999999999989997,41
signflip_mixed,1,1.1179945857964146e-13,1.1179945857975326e-13,0.9999999999989997,50
signflip_mixed,2,0.9999999999989997,1.0,0.9999999999989997,49
signflip_mixed,3,1.1179945857964145e-13,1.1179945857975326e-13,0.9999999999989998,48
signflip_mixed,4,0.9999999999989995,1.0,0.9999999999989995,47
signflip_mixed,5,1.1179945857964149e-13,1.1179945857975326e-13,0.9999999999989996,46
signflip_mixed,6,0.9999999999989996,1.0,0.9999999999989996,45
signflip_mixed,7,1.1179945857964147e-13,1.1179945857975326e-13,0.9999999999989996,44
signflip_mixed,8,0.9999999999989996,1.0,0.9999999999989996,43
signflip_mixed,9,1.1179945857964146e-13,1.1179945857975326e-13,0.9999999999989997,42
signflip_mixed,10,0.9999999999989997,1.0,0.9999999999989997,41
