label,class,C,F,S,U,q0,source
Mi_MBL_site,MBL-DTC,0.95404668877447,0.9474533525643904,0.9950248756218906,,2,TC_EXT_MI_v001
Mi_thermal_site,thermal control,0.2896731211153218,0.2451860009285134,0.7014925373134329,,2,TC_EXT_MI_v001
Mi_MBL_initial,MBL-DTC,0.448274319495837,0.39511316570505334,0.9950248756218906,0.9860360809516849,2,TC_EXT_MI_v001
Mi_prethermal_initial,prethermal DTC-like,0.29255360476848785,0.2310312593133872,0.9154228855721394,0.8443704840937643,2,TC_EXT_MI_v001
perfect_2T,synthetic exact period-2,0.9999999999989997,0.9999999999988878,0.9950248756218906,,2,TC_CTRL_v001
noisy_2T_sigma_0p20,synthetic noisy period-2,0.8266094759227094,0.4554576798810187,0.9950248756218906,,8,TC_CTRL_v001
damped_2T_gamma_0p10,synthetic transient/damped period-2,0.19164358251183403,0.11797598827799069,0.945273631840796,,2,TC_CTRL_v001
logistic_period2_r3p20,classical nonlinear period-2,0.9999999999985113,0.2132007163552574,0.9950248756218906,,2,TC_CTRL_v001
logistic_period4_r3p50,classical nonlinear period-4,0.987293469461536,0.22232140576836146,0.9950248756218906,,4,TC_CTRL_v001
logistic_chaos_r4p00,classical chaotic control,0.535276942725265,0.0195593699980261,0.6069651741293532,,8,TC_CTRL_v001
iid_random,aperiodic random negative control,0.26008152990408184,0.008826711840108137,0.5024875621890548,,8,TC_CTRL_v001
classical_signflip_family,ordinary classical exact 2-cycle across initial states,0.9999999999989996,0.9999999999988877,0.9950248756218906,0.9999999999999999,2,TC_RIGIDITY_v001 generated with frozen metric
