system,value
event_time,0.91
event_time,1.071
event_time,1.948
event_time,0.874
event_time,0.89
event_time,0.814
event_time,1.651
event_time,0.868
event_time,0.886
event_time,0.869
event_time,0.913
event_time,0.906
event_time,0.893
event_time,0.894
event_time,0.856
event_time,0.863
event_time,1.21
event_time,1.046
event_time,1.053
event_time,1.905
event_time,1.112
event_time,1.909
event_time,1.102
event_time,1.921
event_time,1.112
event_time,1.93
event_time,1.121
event_time,1.925
event_time,1.128
event_time,1.931
event_time,1.159
event_time,1.13
event_time,1.93
event_time,1.126
event_time,1.913
event_time,1.112
event_time,1.112
event_time,1.878
event_time,1.019
event_time,1.75
event_time,1.006
event_time,1.814
event_time,0.996
event_time,0.987
event_time,1.757
event_time,0.976
event_time,1.718
event_time,0.99
event_time,1.71
event_time,0.986
event_time,1.766
event_time,1.004
event_time,1.91
event_time,1.016
event_time,0.907
event_time,0.924
event_time,0.932
event_time,1.677
event_time,0.915
event_time,0.858
event_time,1.101
event_time,1.763
event_time,1.064
event_time,1.871
event_time,0.872
event_time,1.777
event_time,1.669
event_time,1.152
event_time,1.872
event_time,1.863
event_time,1.917
event_time,1.174
event_time,1.206
event_time,1.838
event_time,1.117
event_time,1.134
event_time,1.074
event_time,0.971
event_time,1.394
event_time,0.872
event_time,0.88
event_time,1.079
event_time,1.816
event_time,1.135
P_LH_candidate_MW,0.2734280816138769
P_LH_candidate_MW,0.3683724396296148
P_LH_candidate_MW,0.3945632743465842
P_LH_candidate_MW,0.2793690645480604
P_LH_candidate_MW,0.2782236602608063
P_LH_candidate_MW,0.2879089197605736
P_LH_candidate_MW,0.4263783911454198
P_LH_candidate_MW,0.2924621101932902
P_LH_candidate_MW,0.3648966793703586
P_LH_candidate_MW,0.2775838289069017
P_LH_candidate_MW,0.2938090486022912
P_LH_candidate_MW,0.294728685892613
P_LH_candidate_MW,0.292233201659608
P_LH_candidate_MW,0.2830802882812503
P_LH_candidate_MW,0.3911851919316508
P_LH_candidate_MW,0.2983009544937542
P_LH_candidate_MW,0.2803847996547617
P_LH_candidate_MW,0.3088652861809893
P_LH_candidate_MW,0.3169697605797882
P_LH_candidate_MW,0.3592460885650826
P_LH_candidate_MW,0.3304246543136325
P_LH_candidate_MW,0.3628894525610993
P_LH_candidate_MW,0.3218489157965735
P_LH_candidate_MW,0.3618126411791721
P_LH_candidate_MW,0.3170445888945852
P_LH_candidate_MW,0.3624080554784216
P_LH_candidate_MW,0.3212697903528761
P_LH_candidate_MW,0.3615497435322321
P_LH_candidate_MW,0.3139165226491437
P_LH_candidate_MW,0.3491575615835388
P_LH_candidate_MW,0.3236220702892572
P_LH_candidate_MW,0.3248119222689872
P_LH_candidate_MW,0.3587853771564313
P_LH_candidate_MW,0.3206233257662348
P_LH_candidate_MW,0.3618832583237047
P_LH_candidate_MW,0.3277260713691301
P_LH_candidate_MW,0.3215363513112551
P_LH_candidate_MW,0.355028854861892
P_LH_candidate_MW,0.3210512811060433
P_LH_candidate_MW,0.3291717499793938
P_LH_candidate_MW,0.3185780504243357
P_LH_candidate_MW,0.4557068663880789
P_LH_candidate_MW,0.3294239902851499
P_LH_candidate_MW,0.3388520696993896
P_LH_candidate_MW,0.4049392063879954
P_LH_candidate_MW,0.3395750099176361
P_LH_candidate_MW,0.3488882746824522
P_LH_candidate_MW,0.340822303074152
P_LH_candidate_MW,0.344266499561892
P_LH_candidate_MW,0.3392437003539029
P_LH_candidate_MW,0.4074080961734411
P_LH_candidate_MW,0.3553903818032688
P_LH_candidate_MW,0.4853756266645462
P_LH_candidate_MW,0.3712731832075314
P_LH_candidate_MW,0.3358593716804159
P_LH_candidate_MW,0.3437352047847158
P_LH_candidate_MW,0.356637399159776
P_LH_candidate_MW,0.373604761501676
P_LH_candidate_MW,0.3407375624071636
P_LH_candidate_MW,0.3317196836031567
P_LH_candidate_MW,0.2815612227788786
P_LH_candidate_MW,0.3474918194515639
P_LH_candidate_MW,0.3319891744998709
P_LH_candidate_MW,0.3653339882373507
P_LH_candidate_MW,0.3678521255875032
P_LH_candidate_MW,0.4117816165768649
P_LH_candidate_MW,0.4770397908999141
P_LH_candidate_MW,0.3030774355504974
P_LH_candidate_MW,0.2952184131078275
P_LH_candidate_MW,0.2828190723541219
P_LH_candidate_MW,0.4487334703496437
P_LH_candidate_MW,0.3526320417768785
P_LH_candidate_MW,0.3636346264566306
P_LH_candidate_MW,0.383412921612993
P_LH_candidate_MW,0.3326493778484777
P_LH_candidate_MW,0.3676723739291641
P_LH_candidate_MW,0.2929281783679592
P_LH_candidate_MW,0.2686006291528971
P_LH_candidate_MW,0.272318371085628
P_LH_candidate_MW,0.2739486137869634
P_LH_candidate_MW,0.2896584455701917
P_LH_candidate_MW,0.2904091095829157
P_LH_candidate_MW,0.2910627104914657
P_LH_candidate_MW,0.2850100529009494
P_loss_candidate_MW,0.3100770507999996
P_loss_candidate_MW,0.4813607002000001
P_loss_candidate_MW,0.70790774255
P_loss_candidate_MW,0.3539526459999998
P_loss_candidate_MW,0.3362392855999999
P_loss_candidate_MW,0.3016160989999988
P_loss_candidate_MW,0.4247982424999998
P_loss_candidate_MW,0.3159054998000001
P_loss_candidate_MW,0.3890076112
P_loss_candidate_MW,0.2532235331
P_loss_candidate_MW,0.3194171617999999
P_loss_candidate_MW,0.2783755686500001
P_loss_candidate_MW,0.3334169268999999
P_loss_candidate_MW,0.3319894395499999
P_loss_candidate_MW,0.3784741245
P_loss_candidate_MW,0.3303351800999999
P_loss_candidate_MW,0.6534431989999996
P_loss_candidate_MW,0.5774385175999998
P_loss_candidate_MW,0.570794322
P_loss_candidate_MW,0.7416850730000002
P_loss_candidate_MW,0.7548280758999998
P_loss_candidate_MW,0.8011461528999999
P_loss_candidate_MW,0.5861086558999999
P_loss_candidate_MW,0.8407685629999999
P_loss_candidate_MW,0.7227531687000002
P_loss_candidate_MW,0.8813865763999998
P_loss_candidate_MW,0.6610812645999999
P_loss_candidate_MW,0.8361401193999997
P_loss_candidate_MW,0.6742501122999999
P_loss_candidate_MW,0.8223386891999998
P_loss_candidate_MW,0.7119746347999998
P_loss_candidate_MW,0.7052126697999999
P_loss_candidate_MW,0.8654308417
P_loss_candidate_MW,0.6908777804999998
P_loss_candidate_MW,0.8560133043999999
