dataset_id,dataset_name,interval_index,sample_index_left,sample_index_right,branch_left,branch_right,route_phase,crosses_turning_surface,route_coordinate_left,route_coordinate_right,route_coordinate_mid,signed_route_step,route_direction,time_left,time_right,time_mid,scale_factor_left,scale_factor_right,scale_factor_mid,signed_delta_ln_a,normalized_signed_delta_ln_a,H_signed_left,H_signed_right,signed_H_flow,normalized_signed_H_flow,density_left,density_right,signed_density_flow,normalized_signed_density_flow,curvature_left,curvature_right,signed_curvature_flow,normalized_signed_curvature_flow,margin_left,margin_right,signed_margin_flow,normalized_signed_margin_flow,margin_flow_direction,rho_over_rho_c_left,rho_over_rho_c_right,rho_over_rho_c_mid,x_bounce_distance_left,x_bounce_distance_right,x_bounce_distance_mid,is_exact_bounce_left,is_exact_bounce_right
A,Classical Friedmann contraction,0,0,1,contraction,contraction,terminal_approach,no,-1,-0.99975,-0.999875,0.000249999999974,toward_positive_route,0,0.0668129750292,0.0334064875146,1,0.995405417352,0.997700063823,-0.00460517018551,-0.499999999863,-67.32178,-67.4695534936,-0.1477734936,-9.91889026596e-14,1,1.00439488312,0.00438525382396,0.192294053031,1.5261206264,1.52831721126,0.000869170843064,0.0591889479425,0.395863914632,0.395519990746,-0.000343923886,-0.674558000882,margin_decreasing,0,0,0,0,0,0,no,no
A,Classical Friedmann contraction,1,1,2,contraction,contraction,terminal_approach,no,-0.99975,-0.9995,-0.999625,0.000250000000013,toward_positive_route,0.0668129750292,0.133478924288,0.100145949659,0.995405417352,0.990831944893,0.993116048421,-0.00460517018623,-0.499999999902,-67.4695534936,-67.6190532791,-0.1494997855,-1.00347628728e-13,1.00439488312,1.00885091318,0.00442671962343,0.1937600244,1.52831721126,1.53054435365,0.000880491590967,0.0599136814201,0.395519990746,0.395171891992,-0.000348098754,-0.677201210492,margin_decreasing,0,0,0,0,0,0,no,no
A,Classical Friedmann contraction,2,2,3,contraction,contraction,terminal_approach,no,-0.9995,-0.99925,-0.999375,0.000250000000024,toward_positive_route,0.133478924288,0.199996788771,0.16673785653,0.990831944893,0.986279485631,0.988553094657,-0.00460517018644,-0.499999999913,-67.6190532791,-67.7702963807,-0.1512431016,-1.01517781823e-13,1.00885091318,1.01336894096,0.00446839179053,0.195227940185,1.53054435365,1.53280247868,0.000891949635087,0.060646068275,0.395171891992,0.394819575714,-0.000352316278,-0.679828185355,margin_decreasing,0,0,0,0,0,0,no,no
A,Classical Friedmann contraction,3,3,4,contraction,contraction,terminal_approach,no,-0.99925,-0.999,-0.999125,0.000249999999988,toward_positive_route,0.199996788771,0.266365511168,0.23318114997,0.986279485631,0.98174794302,0.984011105761,-0.00460517018576,-0.499999999877,-67.7702963807,-67.9232999328,-0.1530035521,-1.02699435914e-13,1.01336894096,1.01794982908,0.00451026786453,0.196697663946,1.53280247868,1.53509201736,0.000903546369228,0.0613861590202,0.394819575714,0.394462999036,-0.000356576678,-0.682438808928,margin_decreasing,0,0,0,0,0,0,no,no
A,Classical Friedmann contraction,4,4,5,contraction,contraction,terminal_approach,no,-0.999,-0.99875,-0.998875,0.00024999999999,toward_positive_route,0.266365511168,0.332584036052,0.29947477361,0.98174794302,0.977237220956,0.979489985409,-0.00460517018581,-0.49999999988,-67.9232999328,-68.0780811792,-0.1547812464,-1.03892664433e-13,1.01794982908,1.02259445218,0.00455234533635,0.198169059079,1.53509201736,1.53741340669,0.000915283197551,0.0621340039561,0.394462999036,0.39410211886,-0.000360880176,-0.685032973225,margin_decreasing,0,0,0,0,0,0,no,no
A,Classical Friedmann contraction,5,5,6,contraction,contraction,terminal_approach,no,-0.99875,-0.9985,-0.998625,0.000250000000009,toward_positive_route,0.332584036052,0.398651310073,0.365617673062,0.977237220956,0.972747223777,0.974989637717,-0.00460517018615,-0.499999999898,-68.0780811792,-68.2346574738,-0.1565762946,-1.05097541281e-13,1.02259445218,1.02730369706,0.00459462160723,0.199641987413,1.53741340669,1.53976708977,0.000927161541824,0.0628896536176,0.39410211886,0.39373689187,-0.00036522699,-0.687610575054,margin_decreasing,0,0,0,0,0,0,no,no
A,Classical Friedmann contraction,6,6,7,contraction,contraction,terminal_approach,no,-0.9985,-0.99825,-0.998375,0.000250000000016,toward_positive_route,0.398651310073,0.464566282149,0.431608796111,0.972747223777,0.968277856261,0.970509967245,-0.00460517018628,-0.499999999905,-68.2346574738,-68.3930462798,-0.158388806,-1.06314139823e-13,1.02730369706,1.03207846285,0.00463709401663,0.201116310231,1.53976708977,1.54215351584,0.000939182813199,0.0636531569652,0.39373689187,0.393367274545,-0.000369617325,-0.690171510859,margin_decreasing,0,0,0,0,0,0,no,no
A,Classical Friedmann contraction,7,7,8,contraction,contraction,terminal_approach,no,-0.99825,-0.998,-0.998125,0.000249999999984,toward_positive_route,0.464566282149,0.530327903665,0.497447092907,0.968277856261,0.963829023624,0.96605087899,-0.0046051701857,-0.499999999874,-68.3930462798,-68.5532651697,-0.1602188899,-1.07542533423e-13,1.03207846285,1.03691966121,0.00467975986923,0.202591889241,1.54215351584,1.5445731404,0.000951348443119,0.0644245633399,0.393367274545,0.392993223155,-0.00037405139,-0.692715686875,margin_decreasing,0,0,0,0,0,0,no,no
A,Classical Friedmann contraction,8,8,9,contraction,contraction,terminal_approach,no,-0.998,-0.99775,-0.997875,0.000249999999998,toward_positive_route,0.530327903665,0.595935128664,0.563131516165,0.963829023624,0.959400631516,0.961612278384,-0.00460517018595,-0.499999999887,-68.5532651697,-68.7153318252,-0.1620666555,-1.08782795379e-13,1.03691966121,1.04182821646,0.0047226163651,0.204068584195,1.5445731404,1.5470264253,0.000963659870811,0.0652039216532,0.392993223155,0.392614693773,-0.000378529382,-0.695243009811,margin_decreasing,0,0,0,0,0,0,no,no
A,Classical Friedmann contraction,9,9,10,contraction,contraction,terminal_approach,no,-0.99775,-0.9975,-0.997625,0.000250000000029,toward_positive_route,0.595935128664,0.661386914047,0.628661021355,0.959400631516,0.954992586021,0.957194071295,-0.00460517018651,-0.499999999918,-68.7153318252,-68.8792640371,-0.1639322119,-1.10034998922e-13,1.04182821646,1.04680506582,0.0047656607041,0.20554625653,1.5470264253,1.54951383878,0.000976118523004,0.0659912790935,0.392614693773,0.392231642279,-0.000383051494,-0.697753391658,margin_decreasing,0,0,0,0,0,0,no,no
