profile_phase,dataset_id,dataset_name,route_phase,profile_bin_index,profile_bin_label,n_intervals,route_coordinate_min,route_coordinate_max,route_coordinate_mid_mean,fraction_margin_decreasing,fraction_margin_increasing,fraction_crossing_surface,mean_signed_route_step,mean_abs_signed_route_step,mean_signed_delta_ln_a,mean_abs_signed_delta_ln_a,mean_normalized_signed_delta_ln_a,mean_abs_normalized_signed_delta_ln_a,mean_signed_H_flow,mean_abs_signed_H_flow,mean_normalized_signed_H_flow,mean_abs_normalized_signed_H_flow,mean_signed_density_flow,mean_abs_signed_density_flow,mean_normalized_signed_density_flow,mean_abs_normalized_signed_density_flow,mean_signed_curvature_flow,mean_abs_signed_curvature_flow,mean_normalized_signed_curvature_flow,mean_abs_normalized_signed_curvature_flow,mean_signed_margin_flow,mean_abs_signed_margin_flow,mean_normalized_signed_margin_flow,mean_abs_normalized_signed_margin_flow,mean_rho_over_rho_c_mid,mean_abs_rho_over_rho_c_mid,mean_x_bounce_distance_mid,mean_abs_x_bounce_distance_mid
A_terminal_approach,A,Classical Friedmann contraction,terminal_approach,0,"(-1.001, -0.98]",80,-1.0,-0.98,-0.9899999999999999,1.0,0.0,0.0,0.00024999999999995,0.00024999999999995,-0.00460517018598725,0.00460517018598725,-0.49999999988913746,0.49999999988913746,-0.23556187348749996,0.23556187348749996,-1.58114443737145e-13,1.58114443737145e-13,0.006170008225849124,0.006170008225849124,0.24948866470213749,0.24948866470213749,0.0014862759527818625,0.0014862759527818625,0.09646123401113,0.09646123401113,-0.000554730326,0.000554730326,-0.7612077697968374,0.7612077697968374,0.0,0.0,0.0,0.0
A_terminal_approach,A,Classical Friedmann contraction,terminal_approach,1,"(-0.98, -0.96]",80,-0.98,-0.96,-0.9700000000000001,1.0,0.0,0.0,0.0002499999999996,0.0002499999999996,-0.0046051701859796245,0.0046051701859796245,-0.49999999988873745,0.49999999988873745,-0.512027068275,0.512027068275,-3.4368411950565e-13,3.4368411950565e-13,0.009722933920770376,0.009722933920770376,0.344803994041925,0.344803994041925,0.003644859752956875,0.003644859752956875,0.2069088714128875,0.2069088714128875,-0.0016559231177125002,0.0016559231177125002,-0.8984735461524501,0.8984735461524501,0.0,0.0,0.0,0.0
A_terminal_approach,A,Classical Friedmann contraction,terminal_approach,2,"(-0.96, -0.94]",80,-0.96,-0.94,-0.95,1.0,0.0,0.0,0.00024999999999964997,0.00024999999999964997,-0.004605170185982125,0.004605170185982125,-0.4999999998889125,0.4999999998889125,-0.9895112951374999,0.9895112951374999,-6.641823045719751e-13,6.641823045719751e-13,0.012102011887498751,0.012102011887498751,0.3963587869949,0.3963587869949,0.007093518366032625,0.007093518366032625,0.33746860625213754,0.33746860625213754,-0.00153451235861375,0.00153451235861375,-0.9004467990608624,0.9004467990608624,0.0,0.0,0.0,0.0
A_terminal_approach,A,Classical Friedmann contraction,terminal_approach,3,"(-0.94, -0.92]",80,-0.94,-0.92,-0.93,1.0,0.0,0.0,0.000250000000000175,0.000250000000000175,-0.004605170185991251,0.004605170185991251,-0.49999999988931254,0.49999999988931254,-1.7927918670499998,1.7927918670499998,-1.2033623463681627e-12,1.2033623463681627e-12,0.013195781774742501,0.013195781774742501,0.41736294646816247,0.41736294646816247,0.010453604982064376,0.010453604982064376,0.4301124028492625,0.4301124028492625,-0.00075645567165,0.00075645567165,-0.8123318303423375,0.8123318303423375,0.0,0.0,0.0,0.0
A_terminal_approach,A,Classical Friedmann contraction,terminal_approach,4,"(-0.92, -0.9]",80,-0.92,-0.9,-0.9099999999999999,1.0,0.0,0.0,0.00025000000000115,0.00025000000000115,-0.0046051701860087505,0.0046051701860087505,-0.49999999989036253,0.49999999989036253,-3.1626644814750002,3.1626644814750002,-2.122851749356e-12,2.122851749356e-12,0.013608749140889997,0.013608749140889997,0.4248933458022625,0.4248933458022625,0.01246812393717125,0.01246812393717125,0.47425595120266256,0.47425595120266256,-0.00029265068585374997,0.00029265068585374997,-0.625574275475725,0.625574275475725,0.0,0.0,0.0,0.0
A_terminal_approach,A,Classical Friedmann contraction,terminal_approach,5,"(-0.9, -0.88]",80,-0.9,-0.88,-0.89,1.0,0.0,0.0,0.00025000000000152494,0.00025000000000152494,-0.004605170186016125,0.004605170186016125,-0.499999999890675,0.499999999890675,-5.526552794075,5.526552794075,-3.709546913848375e-12,3.709546913848375e-12,0.013754147829352498,0.013754147829352498,0.4274945625019876,0.4274945625019876,0.013335308267872497,0.013335308267872497,0.49114195825686247,0.49114195825686247,-0.000102347829600125,0.000102347829600125,-0.373119638112,0.373119638112,0.0,0.0,0.0,0.0
A_terminal_approach,A,Classical Friedmann contraction,terminal_approach,6,"(-0.88, -0.86]",80,-0.88,-0.86,-0.8699999999999999,1.0,0.0,0.0,0.00024999999999818754,0.00024999999999818754,-0.004605170185955125,0.004605170185955125,-0.4999999998873751,0.4999999998873751,-9.627966197000001,9.627966197000001,-6.462508117340125e-12,6.462508117340125e-12,0.013806500338918748,0.013806500338918748,0.4284248784743875,0.4284248784743875,0.013652346587216252,0.013652346587216252,0.49702818139208754,0.49702818139208754,-3.450662761025e-05,3.450662761025e-05,-0.1697861846208375,0.1697861846208375,0.0,0.0,0.0,0.0
A_terminal_approach,A,Classical Friedmann contraction,terminal_approach,7,"(-0.86, -0.84]",80,-0.86,-0.84,-0.85,1.0,0.0,0.0,0.00024999999999960004,0.00024999999999960004,-0.0046051701859795,0.0046051701859795,-0.49999999988875005,0.49999999988875005,-16.760873648125,16.760873648125,-1.12502765161265e-11,1.12502765161265e-11,0.01382895374888625,0.01382895374888625,0.42882287565337496,0.42882287565337496,0.01376100908489375,0.01376100908489375,0.4990116200600376,0.4990116200600376,-1.14869127162e-05,1.14869127162e-05,-0.06435946997737874,0.06435946997737874,0.0,0.0,0.0,0.0
A_terminal_approach,A,Classical Friedmann contraction,terminal_approach,8,"(-0.84, -0.82]",80,-0.84,-0.82,-0.8300000000000001,1.0,0.0,0.0,0.0002500000000005125,0.0002500000000005125,-0.004605170185997124,0.004605170185997124,-0.49999999988969995,0.49999999988969995,-29.183083226125,29.183083226125,-1.9588343828425e-11,1.9588343828425e-11,0.013843658265752502,0.013843658265752502,0.42908320167375,0.42908320167375,0.013797410925408751,0.013797410925408751,0.4996722401324501,0.4996722401324501,-3.8064514992125e-06,3.8064514992125e-06,-0.02237710538450375,0.02237710538450375,0.0,0.0,0.0,0.0
A_terminal_approach,A,Classical Friedmann contraction,terminal_approach,9,"(-0.82, -0.8]",80,-0.82,-0.8,-0.8100000000000002,1.0,0.0,0.0,0.00024999999999968754,0.00024999999999968754,-0.004605170185982376,0.004605170185982376,-0.4999999998888625,0.4999999998888625,-50.844665510875,50.844665510875,-3.4128086540287496e-11,3.4128086540287496e-11,0.013858968671799999,0.013858968671799999,0.429353994566,0.429353994566,0.013809511425808751,0.013809511425808751,0.49989141613764987,0.49989141613764987,-1.25886917125625e-06,1.25886917125625e-06,-0.007524137003073125,0.007524137003073125,0.0,0.0,0.0,0.0
