dataset_id,dataset_name,interval_index,sample_index_left,sample_index_right,branch_left,branch_right,route_phase,crosses_turning_surface,time_left,time_right,time_mid,scale_factor_left,scale_factor_right,scale_factor_mid,signed_delta_ln_a,H_signed_left,H_signed_right,signed_H_flow,density_left,density_right,signed_density_flow,curvature_left,curvature_right,signed_curvature_flow,margin_left,margin_right,signed_margin_flow,margin_flow_direction,distance_to_surface_left,distance_to_surface_right,distance_to_surface_mid,signed_surface_approach,surface_relation,rho_over_rho_c_left,rho_over_rho_c_right,rho_over_rho_c_mid,x_bounce_distance_left,x_bounce_distance_right,x_bounce_distance_mid,is_exact_bounce_left,is_exact_bounce_right
A,Classical Friedmann contraction,0,0,1,contraction,contraction,terminal_approach,no,0,0.0668129750292,0.0334064875146,1,0.995405417352,0.997700063823,-0.00460517018551,-67.32178,-67.4695534936,-0.1477734936,1,1.00439488312,0.00438525382396,1.5261206264,1.52831721126,0.000869170843064,0.395863914632,0.395519990746,-0.000343923886,margin_decreasing,18.420680744,18.4160755738,18.4183781589,-0.0046051702,approaching_surface,0,0,0,0,0,0,no,no
A,Classical Friedmann contraction,1,1,2,contraction,contraction,terminal_approach,no,0.0668129750292,0.133478924288,0.100145949659,0.995405417352,0.990831944893,0.993116048421,-0.00460517018623,-67.4695534936,-67.6190532791,-0.1494997855,1.00439488312,1.00885091318,0.00442671962343,1.52831721126,1.53054435365,0.000880491590967,0.395519990746,0.395171891992,-0.000348098754,margin_decreasing,18.4160755738,18.4114704036,18.4137729887,-0.0046051702,approaching_surface,0,0,0,0,0,0,no,no
A,Classical Friedmann contraction,2,2,3,contraction,contraction,terminal_approach,no,0.133478924288,0.199996788771,0.16673785653,0.990831944893,0.986279485631,0.988553094657,-0.00460517018644,-67.6190532791,-67.7702963807,-0.1512431016,1.00885091318,1.01336894096,0.00446839179053,1.53054435365,1.53280247868,0.000891949635087,0.395171891992,0.394819575714,-0.000352316278,margin_decreasing,18.4114704036,18.4068652334,18.4091678185,-0.0046051702,approaching_surface,0,0,0,0,0,0,no,no
A,Classical Friedmann contraction,3,3,4,contraction,contraction,terminal_approach,no,0.199996788771,0.266365511168,0.23318114997,0.986279485631,0.98174794302,0.984011105761,-0.00460517018576,-67.7702963807,-67.9232999328,-0.1530035521,1.01336894096,1.01794982908,0.00451026786453,1.53280247868,1.53509201736,0.000903546369228,0.394819575714,0.394462999036,-0.000356576678,margin_decreasing,18.4068652334,18.4022600632,18.4045626483,-0.0046051702,approaching_surface,0,0,0,0,0,0,no,no
A,Classical Friedmann contraction,4,4,5,contraction,contraction,terminal_approach,no,0.266365511168,0.332584036052,0.29947477361,0.98174794302,0.977237220956,0.979489985409,-0.00460517018581,-67.9232999328,-68.0780811792,-0.1547812464,1.01794982908,1.02259445218,0.00455234533635,1.53509201736,1.53741340669,0.000915283197551,0.394462999036,0.39410211886,-0.000360880176,margin_decreasing,18.4022600632,18.397654893,18.3999574781,-0.0046051702,approaching_surface,0,0,0,0,0,0,no,no
A,Classical Friedmann contraction,5,5,6,contraction,contraction,terminal_approach,no,0.332584036052,0.398651310073,0.365617673062,0.977237220956,0.972747223777,0.974989637717,-0.00460517018615,-68.0780811792,-68.2346574738,-0.1565762946,1.02259445218,1.02730369706,0.00459462160723,1.53741340669,1.53976708977,0.000927161541824,0.39410211886,0.39373689187,-0.00036522699,margin_decreasing,18.397654893,18.3930497228,18.3953523079,-0.0046051702,approaching_surface,0,0,0,0,0,0,no,no
A,Classical Friedmann contraction,6,6,7,contraction,contraction,terminal_approach,no,0.398651310073,0.464566282149,0.431608796111,0.972747223777,0.968277856261,0.970509967245,-0.00460517018628,-68.2346574738,-68.3930462798,-0.158388806,1.02730369706,1.03207846285,0.00463709401663,1.53976708977,1.54215351584,0.000939182813199,0.39373689187,0.393367274545,-0.000369617325,margin_decreasing,18.3930497228,18.3884445527,18.3907471378,-0.0046051701,approaching_surface,0,0,0,0,0,0,no,no
A,Classical Friedmann contraction,7,7,8,contraction,contraction,terminal_approach,no,0.464566282149,0.530327903665,0.497447092907,0.968277856261,0.963829023624,0.96605087899,-0.0046051701857,-68.3930462798,-68.5532651697,-0.1602188899,1.03207846285,1.03691966121,0.00467975986923,1.54215351584,1.5445731404,0.000951348443119,0.393367274545,0.392993223155,-0.00037405139,margin_decreasing,18.3884445527,18.3838393825,18.3861419676,-0.0046051702,approaching_surface,0,0,0,0,0,0,no,no
A,Classical Friedmann contraction,8,8,9,contraction,contraction,terminal_approach,no,0.530327903665,0.595935128664,0.563131516165,0.963829023624,0.959400631516,0.961612278384,-0.00460517018595,-68.5532651697,-68.7153318252,-0.1620666555,1.03691966121,1.04182821646,0.0047226163651,1.5445731404,1.5470264253,0.000963659870811,0.392993223155,0.392614693773,-0.000378529382,margin_decreasing,18.3838393825,18.3792342123,18.3815367974,-0.0046051702,approaching_surface,0,0,0,0,0,0,no,no
A,Classical Friedmann contraction,9,9,10,contraction,contraction,terminal_approach,no,0.595935128664,0.661386914047,0.628661021355,0.959400631516,0.954992586021,0.957194071295,-0.00460517018651,-68.7153318252,-68.8792640371,-0.1639322119,1.04182821646,1.04680506582,0.0047656607041,1.5470264253,1.54951383878,0.000976118523004,0.392614693773,0.392231642279,-0.000383051494,margin_decreasing,18.3792342123,18.3746290421,18.3769316272,-0.0046051702,approaching_surface,0,0,0,0,0,0,no,no
A,Classical Friedmann contraction,10,10,11,contraction,contraction,terminal_approach,no,0.661386914047,0.726682219769,0.694034566908,0.954992586021,0.950604793656,0.952796164023,-0.00460517018583,-68.8792640371,-69.0450797048,-0.1658156677,1.04680506582,1.0518511595,0.0048088899397,1.54951383878,1.55203585564,0.000988725864305,0.392231642279,0.391844024366,-0.000387617913,margin_decreasing,18.3746290421,18.3700238719,18.372326457,-0.0046051702,approaching_surface,0,0,0,0,0,0,no,no
A,Classical Friedmann contraction,11,11,12,contraction,contraction,terminal_approach,no,0.726682219769,0.791820009041,0.759251114405,0.950604793656,0.946237161366,0.948418463301,-0.00460517018547,-69.0450797048,-69.2127968363,-0.1677171315,1.0518511595,1.05696746099,0.00485230116883,1.55203585564,1.55459295724,0.00100148332978,0.391844024366,0.391451795545,-0.000392228821,margin_decreasing,18.3700238719,18.3654187017,18.3677212868,-0.0046051702,approaching_surface,0,0,0,0,0,0,no,no
A,Classical Friedmann contraction,12,12,13,contraction,contraction,terminal_approach,no,0.791820009041,0.856799248524,0.824309628783,0.946237161366,0.941889596523,0.944060876286,-0.00460517018604,-69.2127968363,-69.3824335483,-0.169636712,1.05696746099,1.06215494714,0.00489589132935,1.55459295724,1.55718563167,0.00101439239092,0.391451795545,0.391054911155,-0.00039688439,margin_decreasing,18.3654187017,18.3608135315,18.3631161166,-0.0046051702,approaching_surface,0,0,0,0,0,0,no,no
A,Classical Friedmann contraction,13,13,14,contraction,contraction,terminal_approach,no,0.856799248524,0.921618908537,0.889209078531,0.941889596523,0.937562006926,0.939723310565,-0.00460517018603,-69.3824335483,-69.5540080652,-0.1715745169,1.06215494714,1.06741460841,0.00493965736036,1.55718563167,1.5598143738,0.00102745450789,0.391054911155,0.390653326364,-0.000401584791,margin_decreasing,18.3608135315,18.3562083613,18.3585109464,-0.0046051702,approaching_surface,0,0,0,0,0,0,no,no
A,Classical Friedmann contraction,14,14,15,contraction,contraction,terminal_approach,no,0.921618908537,0.98627796325,0.953948435893,0.937562006926,0.933254300797,0.935405674148,-0.00460517018611,-69.5540080652,-69.7275387199,-0.1735306547,1.06741460841,1.07274744905,0.00498359613349,1.5598143738,1.56247968537,0.00104067114451,0.390653326364,0.390246996185,-0.000406330179,margin_decreasing,18.3562083613,18.3516031912,18.3539057762,-0.0046051701,approaching_surface,0,0,0,0,0,0,no,no
A,Classical Friedmann contraction,15,15,16,contraction,contraction,terminal_approach,no,0.98627796325,1.05077539089,1.01852667707,0.933254300797,0.92896638678,0.931107875468,-0.00460517018593,-69.7275387199,-69.9030439526,-0.1755052327,1.07274744905,1.07815448727,0.00502770444206,1.56247968537,1.56518207512,0.00105404378308,0.390246996185,0.389835875472,-0.000411120713,margin_decreasing,18.3516031912,18.346998021,18.3493006061,-0.0046051702,approaching_surface,0,0,0,0,0,0,no,no
A,Classical Friedmann contraction,16,16,17,contraction,contraction,terminal_approach,no,1.05077539089,1.11511017395,1.08294278242,0.92896638678,0.924698173938,0.926829823379,-0.0046051701863,-69.9030439526,-70.0805423113,-0.1774983587,1.07815448727,1.08363675545,0.00507197903688,1.56518207512,1.56792205885,0.00106757389631,0.389835875472,0.389419918939,-0.000415956533,margin_decreasing,18.346998021,18.3423928508,18.3446954359,-0.0046051702,approaching_surface,0,0,0,0,0,0,no,no
A,Classical Friedmann contraction,17,17,18,contraction,contraction,terminal_approach,no,1.11511017395,1.17928129938,1.14719573667,0.924698173938,0.920449571753,0.922571427155,-0.00460517018593,-70.0805423113,-70.2600524514,-0.1795101401,1.08363675545,1.08919530035,0.00511641662409,1.56792205885,1.57070015956,0.00108126297773,0.389419918939,0.388999081158,-0.000420837781,margin_decreasing,18.3423928508,18.3377876806,18.3400902657,-0.0046051702,approaching_surface,0,0,0,0,0,0,no,no
A,Classical Friedmann contraction,18,18,19,contraction,contraction,terminal_approach,no,1.17928129938,1.24328775879,1.21128452908,0.920449571753,0.916220490122,0.918332596483,-0.0046051701858,-70.2600524514,-70.4415931352,-0.1815406838,1.08919530035,1.09483118328,0.00516101382657,1.57070015956,1.57351690749,0.00109511250198,0.388999081158,0.388573316572,-0.000425764586,margin_decreasing,18.3377876806,18.3331825104,18.3354850955,-0.0046051702,approaching_surface,0,0,0,0,0,0,no,no
A,Classical Friedmann contraction,19,19,20,contraction,contraction,terminal_approach,no,1.24328775879,1.30712854867,1.27520815373,0.916220490122,0.912010839356,0.91411324147,-0.00460517018589,-70.4415931352,-70.6251832319,-0.1835900967,1.09483118328,1.10054548032,0.0052057672285,1.57351690749,1.5763728403,0.00110912397843,0.388573316572,0.388142579505,-0.000430737067,margin_decreasing,18.3331825104,18.3285773402,18.3308799253,-0.0046051702,approaching_surface,0,0,0,0,0,0,no,no
A,Classical Friedmann contraction,20,20,21,contraction,contraction,terminal_approach,no,1.30712854867,1.37080267056,1.33896560961,0.912010839356,0.907820530178,0.909913272632,-0.00460517018629,-70.6251832319,-70.8108417175,-0.1856584856,1.10054548032,1.10633928253,0.00525067336417,1.5763728403,1.57926850308,0.00112329888432,0.388142579505,0.387706824165,-0.00043575534,margin_decreasing,18.3285773402,18.32397217,18.3262747551,-0.0046051702,approaching_surface,0,0,0,0,0,0,no,no
A,Classical Friedmann contraction,21,21,22,contraction,contraction,terminal_approach,no,1.37080267056,1.4343091313,1.40255590093,0.907820530178,0.903649473722,0.905732600898,-0.00460517018612,-70.8108417175,-70.9985876744,-0.1877459569,1.10633928253,1.11221369615,0.00529572870724,1.57926850308,1.58220444855,0.00113763873769,0.387706824165,0.387266004658,-0.000440819507,margin_decreasing,18.32397217,18.3193669999,18.321669585,-0.0046051701,approaching_surface,0,0,0,0,0,0,no,no
A,Classical Friedmann contraction,22,22,23,contraction,contraction,terminal_approach,no,1.4343091313,1.49764694319,1.46597803724,0.903649473722,0.89949758153,0.901571137606,-0.00460517018569,-70.9985876744,-71.1884402909,-0.1898526165,1.11221369615,1.11816984281,0.00534092967821,1.58220444855,1.58518123709,0.00115214503054,0.387266004658,0.386820074993,-0.000445929665,margin_decreasing,18.3193669999,18.3147618297,18.3170644148,-0.0046051702,approaching_surface,0,0,0,0,0,0,no,no
A,Classical Friedmann contraction,23,23,24,contraction,contraction,terminal_approach,no,1.49764694319,1.56081512422,1.5292310337,0.89949758153,0.89536476555,0.897428794501,-0.0046051701855,-71.1884402909,-71.3804188615,-0.1919785706,1.11816984281,1.12420885975,0.0053862726518,1.58518123709,1.58819943688,0.00116681927066,0.386820074993,0.386368989094,-0.000451085899,margin_decreasing,18.3147618297,18.3101566595,18.3124592446,-0.0046051702,approaching_surface,0,0,0,0,0,0,no,no
A,Classical Friedmann contraction,24,24,25,contraction,contraction,terminal_approach,no,1.56081512422,1.62381269827,1.59231391124,0.89536476555,0.891250938134,0.893305483734,-0.00460517018616,-71.3804188615,-71.5745427865,-0.194123925,1.12420885975,1.13033190003,0.00543175394627,1.58819943688,1.59125962401,0.00118166296909,0.386368989094,0.385912700809,-0.000456288285,margin_decreasing,18.3101566595,18.3055514893,18.3078540744,-0.0046051702,approaching_surface,0,0,0,0,0,0,no,no
A,Classical Friedmann contraction,25,25,26,contraction,contraction,terminal_approach,no,1.62381269827,1.68663869528,1.65522569678,0.891250938134,0.887156012038,0.889201117858,-0.00460517018623,-71.5745427865,-71.7708315715,-0.196288785,1.13033190003,1.13654013276,0.00547736983966,1.59125962401,1.59436238259,0.00119667763918,0.385912700809,0.385451163921,-0.000461536888,margin_decreasing,18.3055514893,18.3009463191,18.3032489042,-0.0046051702,approaching_surface,0,0,0,0,0,0,no,no
A,Classical Friedmann contraction,26,26,27,contraction,contraction,terminal_approach,no,1.68663869528,1.74929215152,1.7179654234,0.887156012038,0.883079900419,0.885115609831,-0.00460517018554,-71.7708315715,-71.9693048273,-0.1984732558,1.13654013276,1.14283474332,0.00552311655917,1.59436238259,1.59750830483,0.00121186478417,0.385451163921,0.384984332153,-0.000466831768,margin_decreasing,18.3009463191,18.2963411489,18.298643734,-0.0046051702,approaching_surface,0,0,0,0,0,0,no,no
A,Classical Friedmann contraction,27,27,28,contraction,contraction,terminal_approach,no,1.74929215152,1.8117721097,1.78053213061,0.883079900419,0.879022516831,0.881048873008,-0.00460517018635,-71.9693048273,-72.16998227,-0.2006774427,1.14283474332,1.14921693359,0.00556899028837,1.59750830483,1.60069799122,0.00122722593474,0.384984332153,0.384512159188,-0.000472172965,margin_decreasing,18.2963411489,18.2917359787,18.2940385638,-0.0046051702,approaching_surface,0,0,0,0,0,0,no,no
A,Classical Friedmann contraction,28,28,29,contraction,contraction,terminal_approach,no,1.8117721097,1.87407761928,1.84292486449,0.879022516831,0.874983775227,0.877000821143,-0.00460517018662,-72.16998227,-72.3728837201,-0.2029014501,1.14921693359,1.15568792215,0.00561498713959,1.60069799122,1.60393205056,0.00124276259034,0.384512159188,0.384034598669,-0.000477560519,margin_decreasing,18.2917359787,18.2871308086,18.2894333937,-0.0046051701,approaching_surface,0,0,0,0,0,0,no,no
