K,value
0,0.40535
0,0.411895
0,0.41432
0,0.40567
0,0.451445
0,0.372405
0,0.359205
0,0.41419
0,0.376075
0,0.41245
0,0.401865
0,0.43829
0,0.44156
0,0.41384
0,0.401705
0,0.401445
0,0.399915
0,0.379715
0,0.38122
0,0.37975
0,0.443215
0,0.436065
0,0.404625
0,0.405665
0,0.45374
0,0.399295
0,0.37742
0,0.424755
0,0.417295
0,0.451305
0,0.376755
0,0.394765
0,0.432435
0,0.409385
0,0.376465
0,0.41321
0,0.413375
0,0.424
0,0.40723
0,0.409155
0,0.445865
0,0.449375
0,0.412955
0,0.37848
0,0.38838
0,0.451825
0,0.45177
0,0.43673
0,0.412595
0,0.408915
0,0.43186
0,0.369665
0,0.40739
0,0.43995
0,0.420545
0,0.38337
0,0.431295
0,0.408925
0,0.40794
0,0.3775
0,0.441315
0,0.396765
0,0.44286
0,0.40371
0,0.39812
0,0.406385
0,0.362
0,0.38215
0,0.451865
0,0.41917
0,0.42093
0,0.43551
0,0.38636
0,0.422485
0,0.37024
0,0.396565
0,0.46915
0,0.41769
0,0.416735
0,0.418075
0,0.47337
0,0.389265
0,0.40657
0,0.408895
0,0.396195
0,0.37779
0,0.403605
0,0.382535
0,0.423985
0,0.415615
0,0.426085
0,0.399445
0,0.395055
0,0.36066
0,0.399095
0,0.40859
0,0.431395
0,0.41779
0,0.41396
0,0.43271
0,0.40176
0,0.41383
0,0.4013
0,0.38444
0,0.449005
0,0.404665
0,0.44316
0,0.41373
0,0.40052
0,0.41587
0,0.413745
0,0.41479
0,0.42427
0,0.424375
0,0.41978
0,0.369185
0,0.371265
0,0.408405
0,0.366335
0,0.415165
0,0.427975
0,0.365885
0,0.42156
0,0.382785
0,0.41714
0,0.37361
0,0.424905
0,0.420745
0,0.426845
0,0.410535
0,0.416975
0,0.392015
0,0.41855
0,0.41608
0,0.402275
0,0.36157
0,0.431305
0,0.38024
0,0.40009
0,0.372425
0,0.421495
0,0.4149
0,0.41402
0,0.371285
0,0.40876
0,0.447435
0,0.43296
0,0.401965
0,0.440375
0,0.454195
0,0.410105
0,0.41762
0,0.424135
0,0.420405
0,0.43878
0,0.401805
0,0.409375
0,0.390735
0,0.40199
0,0.369505
0,0.3605
0,0.40016
0,0.41764
0,0.411515
0,0.400775
0,0.36421
0,0.421395
0,0.393155
0,0.42415
0,0.4002
0,0.364075
0,0.44368
0,0.373485
0,0.35825
0,0.421655
0,0.351335
0,0.381585
0,0.42354
0,0.396205
0,0.39936
0,0.407475
0,0.36232
0,0.39856
0,0.37679
0,0.433125
0,0.41274
0,0.365955
0,0.38551
0,0.380895
0,0.41877
0,0.37878
0,0.35764
0,0.376595
0,0.40509
0,0.35095
0,0.414445
0,0.42055
0,0.40693
0,0.396105
0,0.372045
0,0.427705
0,0.399065
0,0.38733
0,0.355785
0,0.414155
0,0.38737
0,0.361822222
0,0.41401
0,0.373445
0,0.44088
0,0.351935
0,0.369115
0,0.377575
0,0.40227
0,0.38885
0,0.36978
0,0.404985
0,0.348745
0,0.396515
0,0.40362
0,0.403722222
0,0.391185
0,0.41621
0,0.39991
0,0.38574
0,0.412565
0,0.36539
0,0.41019
0,0.409915
0,0.396555
0,0.383444444
0,0.37658
0,0.38182
0,0.38389
0,0.41981
0,0.410935
0,0.406245
0,0.42071
0,0.348685
0,0.41463
0,0.406735
0,0.407205
0,0.400825
0,0.376625
0,0.41717
0,0.39381
0,0.39098
0,0.37238
0,0.39624
0,0.372635
0,0.41528
0,0.39947
0,0.38777
0,0.393
0,0.3735
0,0.399185
0,0.383715
0,0.36308
0,0.413635
0,0.400865
0,0.398285
0,0.40427
0,0.445115
0,0.38835
0,0.355345
0,0.39523
0,0.43368
0,0.423895
0,0.39541
0,0.366915
0,0.35875
0,0.39232
0,0.35979
0,0.428175
0,0.43962
0,0.39294
0,0.428115
0,0.354225
0,0.38485
0,0.41271
0,0.364695
0,0.43
0,0.395855
0,0.33928
0,0.39024
0,0.395655
0,0.42085
0,0.404595
0,0.400275
0,0.41865
0,0.426085
0,0.37769
0,0.396795
0,0.440935
0,0.410735
0,0.38674
0,0.37682
0,0.407345
0,0.42284
0,0.414766667
0,0.39209
0,0.381305556
0,0.463533333
0,0.425694444
0,0.37659
0,0.399083333
0,0.391615
0,0.412675
0,0.38656
0,0.432435
0,0.402327778
0,0.421783333
0,0.407838889
0,0.43768
0,0.414995
0,0.391555556
0,0.385825
0,0.38792
0,0.397122222
0,0.4078
0,0.38204
0,0.398216667
0,0.416866667
0,0.364588889
0,0.448322222
0,0.458466667
0,0.408461111
0,0.413522222
0,0.419338889
0,0.393683333
0,0.37465
0,0.414977778
0,0.418683333
0,0.417516667
0,0.406411111
0,0.408588889
0,0.425133333
0,0.378472222
0,0.372866667
0,0.413711111
0,0.416494444
0,0.395733333
0,0.422183333
0,0.428072222
0,0.364172222
0,0.455566667
0,0.404777778
0,0.398283333
0,0.4453
0,0.401322222
0,0.415583333
0,0.435733333
0,0.411133333
0,0.405944444
0,0.422833333
0,0.397688889
0,0.384144444
0,0.433438889
0,0.410222222
0,0.424572222
0,0.383705556
0,0.408977778
0,0.410388889
0,0.417527778
0,0.441105556
0,0.452505556
0,0.443627778
0,0.4534
0,0.410633333
0,0.407738889
0,0.429844444
0,0.405672222
0,0.385472222
0,0.436305556
0,0.416483333
0,0.427966667
0,0.440366667
0,0.392405556
0,0.387272222
0,0.379872222
0,0.40605
0,0.406966667
0,0.437727778
0,0.384133333
0,0.4047
0,0.370238889
0,0.4607
0,0.451188889
0,0.438616667
0,0.433011111
0,0.443711111
0,0.377177778
0,0.401094444
0,0.411177778
0,0.439638889
0,0.352666667
0,0.435594444
0,0.447127778
0,0.408127778
0,0.386755556
0,0.363555556
0,0.438855556
0,0.441694444
0,0.424394444
0,0.3906
0,0.416433333
0,0.37475
0,0.374494444
0,0.364433333
0,0.390327778
0,0.440783333
0,0.386527778
0,0.384666667
0,0.380372222
0,0.427211111
0,0.442827778
0,0.411016667
0,0.3822
0,0.380255556
0,0.442794444
0,0.401783333
0,0.39325
0,0.431255556
0,0.419822222
0,0.454494444
0,0.41175
0,0.453955556
0,0.437983333
0,0.417644444
0,0.368088889
0,0.422022222
0,0.41195
0,0.388427778
0,0.374311111
0,0.444716667
0,0.403972222
0,0.420994444
0,0.391066667
0,0.3868
0,0.425922222
0,0.416127778
0,0.418444444
0,0.413066667
0,0.42695
0,0.401172222
0,0.388022222
0,0.411105556
0,0.407833333
0,0.391494444
0,0.3587
0,0.435327778
0,0.408927778
0,0.424194444
0,0.419661111
0,0.436994444
0,0.433483333
0,0.35215
0,0.434755556
0,0.41754
0,0.411155556
0,0.413055556
0,0.383215
0,0.420472222
0,0.399705556
0,0.379433333
0,0.387165
0,0.414416667
0,0.405305
0,0.427316667
0,0.418455556
0,0.415633333
0,0.436138889
0,0.434183333
0,0.404516667
0,0.440683333
0,0.39066
0,0.34326
0,0.38697
0,0.350572222
0,0.404033333
0,0.415116667
0,0.375061111
0,0.40985
0,0.38619
0,0.394865
0,0.404933333
0,0.34436
0,0.36565
0,0.336161111
0,0.409833333
0,0.410066667
0,0.38335
0,0.425288889
0,0.400372222
0,0.42379
0,0.429611111
0,0.410188889
0,0.373916667
0,0.381305556
0,0.402438889
2,0.401515
2,0.38741
2,0.382835
2,0.38294
2,0.403405
2,0.38598
2,0.386905
2,0.384385
2,0.3962
2,0.407175
2,0.405675
2,0.40034
2,0.39086
2,0.394605
2,0.393635
2,0.403595
2,0.38444
2,0.385145
2,0.38277
2,0.39174
2,0.38149
2,0.400355
2,0.40079
2,0.401355
2,0.389795
2,0.385865
2,0.387615
2,0.378315
