id,source,role,observable,regime,n,f1,f2,f2_rel_power,spectral_concentration_top10,lattice_1d_resid_bins,lattice_2d_resid_bins,lattice_gain_bins,lattice_weighted_coverage_2bins,basis_ratio,ratio_rational_distance_q8,nearest_rational_q8,torus_r2_f1,torus_r2_f2,torus_r2_2d,torus_gain_over_best_1d,torus_shuffle_mean,torus_excess_over_shuffle,rec_min_lag,rec_qmax,rec_best_single,rec_best_pair,rec_q1,rec_q2,rec_pair_ratio
HUANG_LC,HUANG_2025,PERIODIC_CONTROL,Intensity,Limit cycle,5001,17.996400724373494,157.9684063583896,9.46879753445953e-07,0.5136746409481839,9.456542196510821e-05,2.4731711588777486e-05,6.983371037633072e-05,0.9999990508422123,8.777777777777779,0.11111111111111249,26/3,0.38123603778341597,-0.32129720891641234,0.17783635253663632,-0.20339968524677965,-0.1260934960794128,0.3039298486160491,69,1000,0.9714941096339575,0.9497459221101887,142,285,2.007042253521127
HUANG_QP,HUANG_2025,ADJACENT_QUASIPERIODIC,Intensity,Quasi-periodic,100001,17.49982497132655,17.24982747173617,1.395881328518739e-06,0.44528004017174494,2.0651509353418082e-05,1.752975130484439e-05,3.1217580485736935e-06,0.9999979539257113,1.0144927536231882,0.014492753623188248,1/1,0.8689394296851242,-0.24460861108676646,0.2378749578247089,-0.6310644718604153,-0.1272932095953795,0.3651681674200884,71,5000,0.9994404257881506,0.9990569959232823,143,285,1.993006993006993
HUANG_CHAOS,HUANG_2025,CHAOTIC_CONTROL,Intensity,Chaos,30001,17.499416690503175,70.6643112073652,1.5540256859641067e-08,0.45014044760788186,4.46245310480983e-06,7.473330681355544e-07,3.715120036674275e-06,0.9999998443050845,4.038095238095238,0.03809523809523796,4/1,0.5440851111334709,-0.25783886556989377,0.34406116353224825,-0.20002394760122266,-0.1272046502165697,0.47126581374881793,71,5000,0.9996586835821837,0.9989657813547518,143,285,1.993006993006993
LUO_M_N12,LUO_2026,DTQC_DEVELOPMENT,m,DTQC order-parameter dynamics,50001,1.3082138357236457,0.3128337433252196,0.8174323293558936,0.5638530864147416,25.06836400196594,0.311150078714887,24.75721392325105,0.9678090064705557,4.181818181818182,0.015151515151514694,25/6,0.4359477430758463,0.11472004095665034,0.578595640133779,0.14264789705793268,-0.12342452230143057,0.7020201624352095,91,5000,0.8668201640113504,0.7651448285064884,1449,2898,2.0
LUO_M_N32,LUO_2026,DTQC_DEVELOPMENT,m,DTQC order-parameter dynamics,50001,1.3082138357236457,0.3128337433252196,0.8075004408519653,0.5802618753686274,23.72960724586209,0.06607125520976667,23.663535990652324,0.9955695892499858,4.181818181818182,0.015151515151514694,25/6,0.4682952828272722,0.08358365403793644,0.6295429310663823,0.1612476482391101,-0.12393181230347898,0.7534747433698612,91,5000,0.9205378258514232,0.8067607865062834,1451,2902,2.0
LUO_F_N12,LUO_2026,DTQC_DEVELOPMENT_SECONDARY,F,DTQC fidelity dynamics,50001,0.49863002739984885,0.8129837403258405,0.9731035361929681,0.5899099093766704,22.69175707514224,0.22635110083742338,22.46540597430482,0.9999999999999999,1.6304347826086958,0.005434782608695787,13/8,0.38367649991187913,-0.08423609452754799,0.5241570286812577,0.14048052876937855,-0.12583634185928713,0.6499933705405448,136,5000,0.9112788137821236,0.8463089534164032,1658,2682,1.6176115802171291
LUO_F_N40,LUO_2026,DTQC_DEVELOPMENT_SECONDARY,F,DTQC fidelity dynamics,50001,0.49863002739984885,0.8129837403258405,0.9635021949670906,0.47708201112664295,24.20920347270211,0.44652284113139623,23.762680631570714,1.0,1.6304347826086958,0.005434782608695787,13/8,0.15818816556492576,-0.18126330879240515,0.2692330534309836,0.11104488786605782,-0.12301381047419298,0.39224686390517655,136,5000,0.9083258195358668,0.7192640593350434,1657,2682,1.6185878092939046
LUO_EE_LOW_N12,LUO_2026,LOW_FREQ_APERIODIC_CONTROL,S,low-frequency aperiodic/strong-entanglement regime,50001,0.11303773924525848,0.5023899522011488,0.15442517506663267,0.4739918757664753,3.2245886769292893,0.47222871793888854,2.7523599589904006,0.9543868985433024,4.444444444444445,0.015873015873015817,31/7,0.06722463522541255,-0.24461901518005202,0.9251088819005255,0.857884246675113,-0.12576557827090676,1.0508744601714324,1389,5000,0.5028545453141903,0.43603026357206465,2302,2672,1.160729800173762
LUO_EE_LOW_N32,LUO_2026,LOW_FREQ_APERIODIC_CONTROL,S,low-frequency aperiodic/strong-entanglement regime,50001,0.11303773924525848,0.5023899522011488,0.15129014008213937,0.47318154950192953,3.0637063453414775,0.4690363724394923,2.5946699729019853,0.954041237396531,4.444444444444445,0.015873015873015817,31/7,0.07022981065038547,-0.24614456314379107,0.9253674952476799,0.8551376845972944,-0.1257965363684098,1.0511640316160897,1389,5000,0.5046685586131757,0.4432791158321507,2301,2663,1.157322903085615
LUO_EE_DTQC_N12,LUO_2026,DTQC_DEVELOPMENT,S,intermediate-frequency DTQC regime,50001,0.5023899522011488,0.8101037979243524,0.8692457278294741,0.5908896826594506,19.120731814645094,0.07435030825575889,19.046381506389334,0.9994465074340085,1.6124999999999998,0.012499999999999734,8/5,0.26100395465407655,0.28838217725359927,0.7170581923795494,0.4286760151259501,-0.12382938089238849,0.8408875732719379,156,5000,0.8923261522979354,0.7152728176549054,1189,3114,2.6190075693860386
