name,n,base_verdict,verdict,giantRatio,kappa_connect,kappa_connect_exact,iqr_raw,eps_scale,scale_mode,iqr_effective_zero,kappa_plateau_marker,exact_probe_attempted,exact_probe_connected,isolated,isolatedFraction,tailDominance,runStatus
"AFF01.csv",127,HARD_FRAGMENTATION,FULL_PERCOLATION,1.000000,9.89897949,9.89897949,3.210808201585e-2,3.210808201585e-2,IQR,false,,true,true,0,0.000000,0.000000,COMPLETE
"AFF02.csv",127,HARD_FRAGMENTATION,FULL_PERCOLATION,1.000000,1.81649658,1.81649658,1.749726636058e-1,1.749726636058e-1,IQR,false,,true,true,0,0.000000,0.000000,COMPLETE
"AFF03.csv",127,HARD_FRAGMENTATION,FULL_PERCOLATION,1.000000,1.81649658,1.81649658,1.749726636058e-1,1.749726636058e-1,IQR,false,,true,true,0,0.000000,0.000000,COMPLETE
"AFF04.csv",127,TAIL_FRAGMENTATION,FULL_PERCOLATION,1.000000,4.44948974,4.44948974,1.065814103640e-14,3.178372451958e-1,MEDIAN_FALLBACK,true,,true,true,0,0.000000,0.000000,COMPLETE
"AFF05.csv",127,TAIL_FRAGMENTATION,FULL_PERCOLATION,1.000000,15.07364562,15.07364562,5.452260427448e-2,5.452260427448e-2,IQR,false,,true,true,0,0.000000,0.148583,COMPLETE
"AFF06.csv",127,HARD_FRAGMENTATION,FULL_PERCOLATION,1.000000,1.70715100,1.70715100,1.861799247351e-1,1.861799247351e-1,IQR,false,,true,true,0,0.000000,0.182286,COMPLETE
"AFN01.csv",127,TAIL_FRAGMENTATION,FULL_PERCOLATION,1.000000,2.22474487,2.22474487,2.857291631799e-1,2.857291631799e-1,IQR,false,,true,true,0,0.000000,0.000000,COMPLETE
"AFN02.csv",127,HARD_FRAGMENTATION,FULL_PERCOLATION,1.000000,1.81649658,1.81649658,1.749726636058e-1,1.749726636058e-1,IQR,false,,true,true,0,0.000000,0.000000,COMPLETE
"AFN03.csv",127,HARD_FRAGMENTATION,FULL_PERCOLATION,1.000000,8.40016003,8.40016003,9.783794741964e-2,9.783794741964e-2,IQR,false,,true,true,0,0.000000,0.164938,COMPLETE
"AFN04.csv",127,HARD_FRAGMENTATION,FULL_PERCOLATION,1.000000,2.72474487,2.72474487,2.857291631799e-1,2.857291631799e-1,IQR,false,,true,true,0,0.000000,0.000000,COMPLETE
"AFN05.csv",127,HARD_FRAGMENTATION,FULL_PERCOLATION,1.000000,1.11237244,1.11237244,8.571874895398e-1,8.571874895398e-1,IQR,false,,true,true,0,0.000000,0.000000,COMPLETE
"AFN06.csv",127,HARD_FRAGMENTATION,FULL_PERCOLATION,1.000000,3.06969385,3.06969385,2.070807456217e-1,2.070807456217e-1,IQR,false,,true,true,0,0.000000,0.000000,COMPLETE
"INT01.csv",127,HARD_FRAGMENTATION,FULL_PERCOLATION,1.000000,4.38092072,4.38092072,6.566703451737e-2,6.566703451737e-2,IQR,false,,true,true,0,0.000000,0.053051,COMPLETE
"INT02.csv",127,HARD_FRAGMENTATION,FULL_PERCOLATION,1.000000,1.26995002,1.26995002,1.757104980796e-1,1.757104980796e-1,IQR,false,,true,true,0,0.000000,0.000000,COMPLETE
"INT03.csv",127,HARD_FRAGMENTATION,FULL_PERCOLATION,1.000000,10.41239526,10.41239526,4.905937694922e-2,4.905937694922e-2,IQR,false,10.00000000,true,true,0,0.000000,0.055204,COMPLETE
"INT04.csv",127,HARD_FRAGMENTATION,FULL_PERCOLATION,1.000000,7.04723216,7.04723216,4.082199452025e-2,4.082199452025e-2,IQR,false,,true,true,0,0.000000,0.085319,COMPLETE
"INT05.csv",127,HARD_FRAGMENTATION,FULL_PERCOLATION,1.000000,3.53350966,3.53350966,8.141539148551e-2,8.141539148551e-2,IQR,false,,true,true,0,0.000000,0.080695,COMPLETE
"INT06.csv",127,TAIL_FRAGMENTATION,FULL_PERCOLATION,1.000000,5.89631286,5.89631286,4.879016416943e-2,4.879016416943e-2,IQR,false,,true,true,0,0.000000,0.208015,COMPLETE
"R1F01.csv",127,FULL_PERCOLATION,FULL_PERCOLATION,1.000000,0.01000000,0.00000000,0.000000000000e+0,1.000000000000e+0,MEDIAN_FALLBACK,true,,false,false,0,0.000000,0.000000,COMPLETE
