file,class,length,smooth_kernel,seed,path
randomwalk_0000_n98.csv,R3_randomwalk,98,5,3324115916,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0000_n98.csv
randomwalk_0001_n658.csv,R3_randomwalk,658,5,1884968544,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0001_n658.csv
randomwalk_0002_n439.csv,R3_randomwalk,439,5,3687649985,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0002_n439.csv
randomwalk_0003_n95.csv,R3_randomwalk,95,5,2995172877,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0003_n95.csv
randomwalk_0004_n209.csv,R3_randomwalk,209,5,404488628,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0004_n209.csv
randomwalk_0005_n531.csv,R3_randomwalk,531,5,4190266092,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0005_n531.csv
randomwalk_0006_n739.csv,R3_randomwalk,739,5,3269070126,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0006_n739.csv
randomwalk_0007_n721.csv,R3_randomwalk,721,5,3376120482,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0007_n721.csv
randomwalk_0008_n518.csv,R3_randomwalk,518,5,550243861,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0008_n518.csv
randomwalk_0009_n842.csv,R3_randomwalk,842,5,1934392872,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0009_n842.csv
randomwalk_0010_n505.csv,R3_randomwalk,505,5,1592565386,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0010_n505.csv
randomwalk_0011_n190.csv,R3_randomwalk,190,5,3980425317,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0011_n190.csv
randomwalk_0012_n784.csv,R3_randomwalk,784,5,2765379632,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0012_n784.csv
randomwalk_0013_n408.csv,R3_randomwalk,408,5,3533734220,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0013_n408.csv
randomwalk_0014_n550.csv,R3_randomwalk,550,5,1904449481,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0014_n550.csv
randomwalk_0015_n456.csv,R3_randomwalk,456,5,975982877,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0015_n456.csv
randomwalk_0016_n101.csv,R3_randomwalk,101,5,2381923522,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0016_n101.csv
randomwalk_0017_n889.csv,R3_randomwalk,889,5,274093026,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0017_n889.csv
randomwalk_0018_n860.csv,R3_randomwalk,860,5,3554648815,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0018_n860.csv
randomwalk_0019_n284.csv,R3_randomwalk,284,5,2712977935,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0019_n284.csv
randomwalk_0020_n173.csv,R3_randomwalk,173,5,3255962050,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0020_n173.csv
randomwalk_0021_n704.csv,R3_randomwalk,704,5,1522677437,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0021_n704.csv
randomwalk_0022_n77.csv,R3_randomwalk,77,5,4169116268,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0022_n77.csv
randomwalk_0023_n451.csv,R3_randomwalk,451,5,3835926006,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0023_n451.csv
randomwalk_0024_n681.csv,R3_randomwalk,681,5,3343131662,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0024_n681.csv
randomwalk_0025_n763.csv,R3_randomwalk,763,5,835966883,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0025_n763.csv
randomwalk_0026_n370.csv,R3_randomwalk,370,5,2004551446,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0026_n370.csv
randomwalk_0027_n503.csv,R3_randomwalk,503,5,188135740,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0027_n503.csv
randomwalk_0028_n551.csv,R3_randomwalk,551,5,662668321,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0028_n551.csv
randomwalk_0029_n746.csv,R3_randomwalk,746,5,2933672914,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0029_n746.csv
randomwalk_0030_n924.csv,R3_randomwalk,924,5,3198729101,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0030_n924.csv
randomwalk_0031_n373.csv,R3_randomwalk,373,5,4155422658,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0031_n373.csv
randomwalk_0032_n417.csv,R3_randomwalk,417,5,1399409256,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0032_n417.csv
randomwalk_0033_n907.csv,R3_randomwalk,907,5,1591112320,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0033_n907.csv
