domain,object_count,feature,centroid_value_normalized,raw_mean,raw_min,raw_max
A,2,mean_GR,2.07084041481e-15,0.31537764993,0.309081702579,0.321673597282
A,2,var_GR,3.13614363472e-31,0.0897411310524,0.0760766815908,0.103405580514
A,2,anisotropic_persistence_bounded,0.492649954703,0.629141661093,0.269028667002,0.989254655183
A,2,admissibility_persistence,0.593094944514,0.811011904762,0.712797619048,0.909226190476
A,2,collapse_onset_radius,0,0.05,0.05,0.05
A,2,kappa_connect_reference,0.000331190814963,1.5,1,2
A,2,tail_dominance_reference,0,0,0,0
B,6,mean_GR,7.08377536882e-15,0.423653426367,0.2706489918,0.6364994726
B,6,var_GR,9.24972710446e-30,0.47909530342,0.09124561202,1.665098313
B,6,anisotropic_persistence_bounded,0.797719362454,0.852138652733,0.4959160318,1
B,6,admissibility_persistence,0.548557109466,0.800261849933,0.6766334441,0.880952381
B,6,collapse_onset_radius,0.25,0.075,0.05,0.15
B,6,kappa_connect_reference,0.000236733087964,1.12290811897,0.177827941,4.4
B,6,tail_dominance_reference,0.0571547535514,0.0548359118667,0,0.3290154712
C,2,mean_GR,0.5,1.07996390767e+13,1.23921843745,2.15992781533e+13
C,2,var_GR,0.5,2.17854330878e+28,31.8600680676,4.35708661756e+28
C,2,anisotropic_persistence_bounded,0.863397620017,0.900147576213,0.800295152426,1
C,2,admissibility_persistence,0.0328152141633,0.675777719847,0.667857142857,0.683698296837
C,2,collapse_onset_radius,0,0.05,0.05,0.05
C,2,kappa_connect_reference,0.525202672116,2096.87938792,201.404838946,3992.35393689
C,2,tail_dominance_reference,0.797075548862,0.764737171147,0.570045625357,0.959428716937
