kappa,eps,giant_ratio,n_components,mean_degree,edge_density,is_connected,in_chain
0.01000000,0.00041200,0.06349206,45,0.698413,0.01126472,false,true
0.01333521,0.00054941,0.06349206,42,0.825397,0.01331285,false,true
0.01778279,0.00073265,0.06349206,38,1.047619,0.01689708,false,true
0.02371374,0.00097701,0.06349206,37,1.111111,0.01792115,false,true
0.03162278,0.00130286,0.09523810,31,1.365079,0.02201741,false,true
0.04216965,0.00173739,0.15873016,26,2.031746,0.03277010,false,true
0.05623413,0.00231685,0.23809524,20,2.888889,0.04659498,false,true
0.07498942,0.00308956,0.28571429,16,4.063492,0.06554019,false,true
0.10000000,0.00412000,0.49206349,13,5.079365,0.08192524,false,true
0.13335214,0.00549411,0.80952381,10,6.793651,0.10957501,false,true
0.17782794,0.00732651,0.80952381,10,8.793651,0.14183308,false,true
0.23713737,0.00977006,0.80952381,7,11.523810,0.18586790,false,true
0.31622777,0.01302858,0.90476190,5,15.269841,0.24628776,false,true
0.42169650,0.01737390,0.95238095,4,19.777778,0.31899642,false,true
0.56234133,0.02316846,0.95238095,4,25.047619,0.40399386,false,true
0.74989421,0.03089564,0.95238095,4,30.634921,0.49411162,false,true
1.00000000,0.04120000,0.95238095,4,38.444444,0.62007168,false,true
2.00000000,0.08240000,0.98412698,2,,,false,ext
5.88992514,0.24266492,0.98412698,2,,,false,ext
10.00000000,0.41200000,0.98412698,2,,,false,ext
