id,role,case,fixed_depth,n,axis_r2_cv,full_r2_cv,mixed_interaction_gain,mean_S
LUO_EE_LOW_N12,LOW_FREQ_APERIODIC_CONTROL,BASE,2,50001,0.07008967967334019,0.12360741189143384,0.05351773221809365,0.5861592394497759
LUO_EE_LOW_N12,LOW_FREQ_APERIODIC_CONTROL,DOWNSAMPLE_5,2,10001,0.07011715605535895,0.1236981377718785,0.05358098171651955,0.586146594685736
LUO_EE_LOW_N12,LOW_FREQ_APERIODIC_CONTROL,DOWNSAMPLE_10,2,5001,0.07014578177434268,0.12380664354428297,0.053660861769940296,0.5861314855987025
LUO_EE_LOW_N12,LOW_FREQ_APERIODIC_CONTROL,PREFIX_0.75,2,37501,0.05176058808264257,0.10724177689457515,0.05548118881193258,0.5829139110294639
LUO_EE_LOW_N12,LOW_FREQ_APERIODIC_CONTROL,NOISE_0.020SD,2,50001,0.07004563098824002,0.12352871362296777,0.05348308263472776,0.5861417168600046
LUO_EE_LOW_N32,LOW_FREQ_APERIODIC_CONTROL,BASE,2,50001,0.06970827476483801,0.12125237544454759,0.051544100679709576,0.5853257482984802
LUO_EE_LOW_N32,LOW_FREQ_APERIODIC_CONTROL,DOWNSAMPLE_5,2,10001,0.06973452893589098,0.12134113648349576,0.05160660754760478,0.5853131699062685
LUO_EE_LOW_N32,LOW_FREQ_APERIODIC_CONTROL,DOWNSAMPLE_10,2,5001,0.06976182227812315,0.1214476904514308,0.051685868173307656,0.5852980979518064
LUO_EE_LOW_N32,LOW_FREQ_APERIODIC_CONTROL,PREFIX_0.75,2,37501,0.051012515127238076,0.1045320543040629,0.053519539176824824,0.5819165903495509
LUO_EE_LOW_N32,LOW_FREQ_APERIODIC_CONTROL,NOISE_0.020SD,2,50001,0.06966617519324476,0.12117726840906203,0.05151109321581726,0.5853081788367692
LUO_EE_DTQC_N12,DTQC_DEVELOPMENT,BASE,2,50001,0.7166841009091848,0.9408877137343323,0.22420361282514756,0.24248066247437713
LUO_EE_DTQC_N12,DTQC_DEVELOPMENT,DOWNSAMPLE_5,2,10001,0.716680369136253,0.9408938468002696,0.22421347766401656,0.24248255079654157
LUO_EE_DTQC_N12,DTQC_DEVELOPMENT,DOWNSAMPLE_10,2,5001,0.7166703053536373,0.9408943230653316,0.2242240177116943,0.2424857462928524
LUO_EE_DTQC_N12,DTQC_DEVELOPMENT,PREFIX_0.75,2,37501,0.7142737973108056,0.9429317719420274,0.22865797463122173,0.24371364147135374
LUO_EE_DTQC_N12,DTQC_DEVELOPMENT,NOISE_0.020SD,2,50001,0.7163793025496441,0.9405856005359514,0.2242062979863073,0.24246472585354453
LUO_EE_DTQC_N32,DTQC_DEVELOPMENT,BASE,2,50001,0.7166790166324915,0.9408878227344543,0.2242088061019628,0.24248076064742197
LUO_EE_DTQC_N32,DTQC_DEVELOPMENT,DOWNSAMPLE_5,2,10001,0.7166752880471426,0.9408939565371461,0.2242186684900035,0.2424826489311863
LUO_EE_DTQC_N32,DTQC_DEVELOPMENT,DOWNSAMPLE_10,2,5001,0.71666522433034,0.9408944332838057,0.22422920895346576,0.24248584559670494
LUO_EE_DTQC_N32,DTQC_DEVELOPMENT,PREFIX_0.75,2,37501,0.7142694840131776,0.9429318617081623,0.22866237769498476,0.24371363864353615
LUO_EE_DTQC_N32,DTQC_DEVELOPMENT,NOISE_0.020SD,2,50001,0.7163742182085806,0.9405857092266453,0.2242114910180647,0.242464824081746
LUO_EE_HIGH_N12,HIGH_FREQ_DECOUPLED_CONTROL,BASE,2,50001,0.597212165922669,0.697629305545348,0.10041713962267895,0.07188137904467742
LUO_EE_HIGH_N12,HIGH_FREQ_DECOUPLED_CONTROL,DOWNSAMPLE_5,2,10001,0.5972199352456814,0.6976185391061316,0.10039860386045019,0.07187780335102585
LUO_EE_HIGH_N12,HIGH_FREQ_DECOUPLED_CONTROL,DOWNSAMPLE_10,2,5001,0.5971931606105308,0.6975249850030584,0.10033182439252752,0.07187522295642705
LUO_EE_HIGH_N12,HIGH_FREQ_DECOUPLED_CONTROL,PREFIX_0.75,2,37501,0.6124048017501267,0.760365742618529,0.14796094086840228,0.07204975251695916
LUO_EE_HIGH_N12,HIGH_FREQ_DECOUPLED_CONTROL,NOISE_0.020SD,2,50001,0.597045174139513,0.6974846720005551,0.10043949786104212,0.07187707270232577
LUO_EE_HIGH_N32,HIGH_FREQ_DECOUPLED_CONTROL,BASE,2,50001,0.5972114986955899,0.6976285249943031,0.10041702629871319,0.07188137687615213
LUO_EE_HIGH_N32,HIGH_FREQ_DECOUPLED_CONTROL,DOWNSAMPLE_5,2,10001,0.5972192670964448,0.6976177575197944,0.10039849042334958,0.07187780123216289
LUO_EE_HIGH_N32,HIGH_FREQ_DECOUPLED_CONTROL,DOWNSAMPLE_10,2,5001,0.5971924902310353,0.6975242009776206,0.10033171074658531,0.07187522089549907
LUO_EE_HIGH_N32,HIGH_FREQ_DECOUPLED_CONTROL,PREFIX_0.75,2,37501,0.6124045075479349,0.7603653894973386,0.1479608819494037,0.07204961281411608
LUO_EE_HIGH_N32,HIGH_FREQ_DECOUPLED_CONTROL,NOISE_0.020SD,2,50001,0.5970445061559587,0.6974838905050031,0.10043938434904442,0.0718770705371085
