id,role,regime,depth,axis_r2_cv,axis_r2_cv_sd,full_r2_cv,full_r2_cv_sd,mixed_interaction_gain
LUO_EE_LOW_N12,LOW_FREQ_APERIODIC_CONTROL,low-frequency aperiodic/strong-entanglement regime,1,-0.003655805678970481,0.006291761377612873,0.0018705089199775094,0.010067190037705818,0.00552631459894799
LUO_EE_LOW_N12,LOW_FREQ_APERIODIC_CONTROL,low-frequency aperiodic/strong-entanglement regime,2,0.07008967967334019,0.030099071444150607,0.12360741189143384,0.01958365032508311,0.05351773221809365
LUO_EE_LOW_N12,LOW_FREQ_APERIODIC_CONTROL,low-frequency aperiodic/strong-entanglement regime,3,-0.04637683076096977,0.03350682090904698,-0.07614643544983304,0.04754775792319124,-0.029769604688863277
LUO_EE_LOW_N12,LOW_FREQ_APERIODIC_CONTROL,low-frequency aperiodic/strong-entanglement regime,4,-0.04970208863108785,0.013530590965812269,-0.17465427272616502,0.08803022700203338,-0.12495218409507716
LUO_EE_LOW_N32,LOW_FREQ_APERIODIC_CONTROL,low-frequency aperiodic/strong-entanglement regime,1,-0.00325063016697813,0.0060657701717412565,0.0020715203045512665,0.009713561968641078,0.005322150471529397
LUO_EE_LOW_N32,LOW_FREQ_APERIODIC_CONTROL,low-frequency aperiodic/strong-entanglement regime,2,0.06970827476483801,0.030142730484332,0.12125237544454759,0.01947925179024828,0.051544100679709576
LUO_EE_LOW_N32,LOW_FREQ_APERIODIC_CONTROL,low-frequency aperiodic/strong-entanglement regime,3,-0.04517164639551903,0.03338065759842866,-0.07497401924245709,0.04781422149776758,-0.029802372846938055
LUO_EE_LOW_N32,LOW_FREQ_APERIODIC_CONTROL,low-frequency aperiodic/strong-entanglement regime,4,-0.04991806794946827,0.013569435920132985,-0.17633122609739008,0.08942671212166735,-0.1264131581479218
LUO_EE_DTQC_N12,DTQC_DEVELOPMENT,intermediate-frequency DTQC regime,1,0.010748008907564954,0.001185094349250788,0.012515031479827554,0.002161991932924304,0.0017670225722626002
LUO_EE_DTQC_N12,DTQC_DEVELOPMENT,intermediate-frequency DTQC regime,2,0.7166841009091848,0.006169789299138037,0.9408877137343323,0.004731051578945122,0.22420361282514756
LUO_EE_DTQC_N12,DTQC_DEVELOPMENT,intermediate-frequency DTQC regime,3,-0.01556715173736647,0.010729749009559532,-0.02484135330222781,0.01671492078464642,-0.00927420156486134
LUO_EE_DTQC_N12,DTQC_DEVELOPMENT,intermediate-frequency DTQC regime,4,-0.0005849717998786863,0.0005598796271050269,-0.0003577508201589419,0.0007854033112846011,0.0002272209797197444
LUO_EE_DTQC_N32,DTQC_DEVELOPMENT,intermediate-frequency DTQC regime,1,0.010748195706151908,0.0011849123010472334,0.0125149552392692,0.0021616799424650944,0.0017667595331172913
LUO_EE_DTQC_N32,DTQC_DEVELOPMENT,intermediate-frequency DTQC regime,2,0.7166790166324915,0.006170500580401301,0.9408878227344543,0.0047312320984304835,0.2242088061019628
LUO_EE_DTQC_N32,DTQC_DEVELOPMENT,intermediate-frequency DTQC regime,3,-0.015567349739098058,0.010730012297051271,-0.024841591781832095,0.01671522824642297,-0.009274242042734037
LUO_EE_DTQC_N32,DTQC_DEVELOPMENT,intermediate-frequency DTQC regime,4,-0.0005849690586619439,0.000559885451781169,-0.0003577524973590762,0.0007854325571298983,0.00022721656130286766
LUO_EE_HIGH_N12,HIGH_FREQ_DECOUPLED_CONTROL,high-frequency decoupling regime,1,0.03645006302070526,0.0025512167743479554,0.035786360737174824,0.0022971704521971416,-0.0006637022835304374
LUO_EE_HIGH_N12,HIGH_FREQ_DECOUPLED_CONTROL,high-frequency decoupling regime,2,0.597212165922669,0.03246131125086441,0.697629305545348,0.12635274992988757,0.10041713962267895
LUO_EE_HIGH_N12,HIGH_FREQ_DECOUPLED_CONTROL,high-frequency decoupling regime,3,-0.003818208067947859,0.002098509837247927,-0.005097716853834866,0.001864940131267099,-0.001279508785887007
LUO_EE_HIGH_N12,HIGH_FREQ_DECOUPLED_CONTROL,high-frequency decoupling regime,4,-0.0010564530177424203,0.0003315368415233414,-0.0015296955969977156,0.0006113091944067036,-0.0004732425792552952
LUO_EE_HIGH_N32,HIGH_FREQ_DECOUPLED_CONTROL,high-frequency decoupling regime,1,0.03645018589141833,0.002551441404409109,0.03578648340028212,0.0022973618495647176,-0.0006637024911362102
LUO_EE_HIGH_N32,HIGH_FREQ_DECOUPLED_CONTROL,high-frequency decoupling regime,2,0.5972114986955899,0.0324617098426235,0.6976285249943031,0.12635315811893896,0.10041702629871319
LUO_EE_HIGH_N32,HIGH_FREQ_DECOUPLED_CONTROL,high-frequency decoupling regime,3,-0.003818305822272672,0.0020984296324185934,-0.005097805739599925,0.001864832174837619,-0.0012794999173272531
LUO_EE_HIGH_N32,HIGH_FREQ_DECOUPLED_CONTROL,high-frequency decoupling regime,4,-0.0010565525818117649,0.00033140346477198503,-0.0015297956457012596,0.0006112406708309116,-0.00047324306388949475
