ladder_id,source_id,source_name,object_name,alias_names,supernova_type,classification_source,ra_deg,dec_deg,redshift,host_galaxy,band,stage_index,phase_name,time_mjd,time_since_discovery_days,time_since_peak_days,brightness_value,brightness_unit,brightness_error,detection_flag,quality_flag,slope_local,curvature_local,transition_marker,boundary_role,support_regime_proxy,struc_perc_role,unns_interpretation,raw_reference
B_SN2012aw_B,B1,Open Supernova Catalog / AstroCats,SN2012aw,"SN2012aw; PSN J10435372+1140177; PTF12bvh; <a id=""PSNJ10435372+1140177"">PSN J10435372+1140177</a>",II P,Open Supernova Catalog / AstroCats,10:43:53.735,+11:40:17.63,0.002595,NGC 3351,B,1,rise,56003.91,1.9100000000034925,-6.94999999999709,13.79,mag,,detection,usable,,,rise_onset,boundary_response_rise,shock_cooling,observable_ladder_state,observed post-collapse brightness-time ladder state,SN2012aw_OSC_raw.json::SN2012aw::photometry
B_SN2012aw_B,B1,Open Supernova Catalog / AstroCats,SN2012aw,"SN2012aw; PSN J10435372+1140177; PTF12bvh; <a id=""PSNJ10435372+1140177"">PSN J10435372+1140177</a>",II P,Open Supernova Catalog / AstroCats,10:43:53.735,+11:40:17.63,0.002595,NGC 3351,B,1,rise,56003.9127,1.9127000000007683,-6.947299999999814,13.792,mag,,detection,usable,0.7407407414883458,-23.022301342338864,rise_onset,boundary_response_rise,shock_cooling,observable_ladder_state,observed post-collapse brightness-time ladder state,SN2012aw_OSC_raw.json::SN2012aw::photometry
B_SN2012aw_B,B1,Open Supernova Catalog / AstroCats,SN2012aw,"SN2012aw; PSN J10435372+1140177; PTF12bvh; <a id=""PSNJ10435372+1140177"">PSN J10435372+1140177</a>",II P,Open Supernova Catalog / AstroCats,10:43:53.735,+11:40:17.63,0.002595,NGC 3351,B,1,rise,56003.983,1.9830000000001746,-6.8770000000004075,13.785,mag,,detection,usable,-0.09957325746883061,-0.2492300888645481,rise_onset,boundary_response_rise,shock_cooling,observable_ladder_state,observed post-collapse brightness-time ladder state,SN2012aw_OSC_raw.json::SN2012aw::photometry
B_SN2012aw_B,B1,Open Supernova Catalog / AstroCats,SN2012aw,"SN2012aw; PSN J10435372+1140177; PTF12bvh; <a id=""PSNJ10435372+1140177"">PSN J10435372+1140177</a>",II P,Open Supernova Catalog / AstroCats,10:43:53.735,+11:40:17.63,0.002595,NGC 3351,B,1,rise,56005.07,3.069999999999709,-5.790000000000873,13.52,mag,,detection,usable,-0.24379024839016936,0.21119592886457159,rise_onset,boundary_response_rise,shock_cooling,observable_ladder_state,observed post-collapse brightness-time ladder state,SN2012aw_OSC_raw.json::SN2012aw::photometry
B_SN2012aw_B,B1,Open Supernova Catalog / AstroCats,SN2012aw,"SN2012aw; PSN J10435372+1140177; PTF12bvh; <a id=""PSNJ10435372+1140177"">PSN J10435372+1140177</a>",II P,Open Supernova Catalog / AstroCats,10:43:53.735,+11:40:17.63,0.002595,NGC 3351,B,1,rise,56005.7424,3.7424000000028173,-5.117599999997765,13.481,mag,,detection,usable,-0.058001189767726676,0.9450478462851047,rise_onset,boundary_response_rise,shock_cooling,observable_ladder_state,observed post-collapse brightness-time ladder state,SN2012aw_OSC_raw.json::SN2012aw::photometry
B_SN2012aw_B,B1,Open Supernova Catalog / AstroCats,SN2012aw,"SN2012aw; PSN J10435372+1140177; PTF12bvh; <a id=""PSNJ10435372+1140177"">PSN J10435372+1140177</a>",II P,Open Supernova Catalog / AstroCats,10:43:53.735,+11:40:17.63,0.002595,NGC 3351,B,1,rise,56005.82,3.819999999999709,-5.040000000000873,13.504,mag,,detection,usable,0.2963917525891876,10.375164335820799,rise_onset,boundary_response_rise,shock_cooling,observable_ladder_state,observed post-collapse brightness-time ladder state,SN2012aw_OSC_raw.json::SN2012aw::photometry
B_SN2012aw_B,B1,Open Supernova Catalog / AstroCats,SN2012aw,"SN2012aw; PSN J10435372+1140177; PTF12bvh; <a id=""PSNJ10435372+1140177"">PSN J10435372+1140177</a>",II P,Open Supernova Catalog / AstroCats,10:43:53.735,+11:40:17.63,0.002595,NGC 3351,B,2,peak,56005.9057,3.9057000000029802,-4.954299999997602,13.602,mag,,detection,usable,1.1435239206098013,-35.74755999014873,peak,maximum_observable_response,ejecta_cooling,transition_state,observed post-collapse brightness-time ladder state,SN2012aw_OSC_raw.json::SN2012aw::photometry
B_SN2012aw_B,B1,Open Supernova Catalog / AstroCats,SN2012aw,"SN2012aw; PSN J10435372+1140177; PTF12bvh; <a id=""PSNJ10435372+1140177"">PSN J10435372+1140177</a>",II P,Open Supernova Catalog / AstroCats,10:43:53.735,+11:40:17.63,0.002595,NGC 3351,B,2,peak,56005.91,3.9100000000034925,-4.94999999999709,13.6,mag,,detection,usable,-0.4651162790145169,-89.4975930666054,peak,maximum_observable_response,ejecta_cooling,transition_state,observed post-collapse brightness-time ladder state,SN2012aw_OSC_raw.json::SN2012aw::photometry
B_SN2012aw_B,B1,Open Supernova Catalog / AstroCats,SN2012aw,"SN2012aw; PSN J10435372+1140177; PTF12bvh; <a id=""PSNJ10435372+1140177"">PSN J10435372+1140177</a>",II P,Open Supernova Catalog / AstroCats,10:43:53.735,+11:40:17.63,0.002595,NGC 3351,B,2,peak,56005.94,3.9400000000023283,-4.919999999998254,13.54,mag,,detection,usable,-2.000000000077627,631.8628396622954,peak,maximum_observable_response,ejecta_cooling,transition_state,observed post-collapse brightness-time ladder state,SN2012aw_OSC_raw.json::SN2012aw::photometry
B_SN2012aw_B,B1,Open Supernova Catalog / AstroCats,SN2012aw,"SN2012aw; PSN J10435372+1140177; PTF12bvh; <a id=""PSNJ10435372+1140177"">PSN J10435372+1140177</a>",II P,Open Supernova Catalog / AstroCats,10:43:53.735,+11:40:17.63,0.002595,NGC 3351,B,2,peak,56005.9458,3.945800000001327,-4.914199999999255,13.594,mag,,detection,usable,9.310344829193367,-72.44212027657373,peak,maximum_observable_response,ejecta_cooling,transition_state,observed post-collapse brightness-time ladder state,SN2012aw_OSC_raw.json::SN2012aw::photometry
