ladder_id,source_id,source_name,object_name,alias_names,supernova_type,classification_source,ra_deg,dec_deg,redshift,host_galaxy,band,stage_index,phase_name,time_mjd,time_since_discovery_days,time_since_peak_days,brightness_value,brightness_unit,brightness_error,detection_flag,quality_flag,slope_local,curvature_local,transition_marker,boundary_role,support_regime_proxy,struc_perc_role,unns_interpretation,raw_reference
B_SN2011dh_B,B1,Open Supernova Catalog / AstroCats,SN2011dh,"SN2011dh; PSN J13303600+4706330; PTF11eon; J133005+471010; <a id=""PSNJ13303600+4706330"">PSN J13303600+4706330</a>",IIb,Open Supernova Catalog / AstroCats,13:30:05.1055,+47:10:10.922,0.001638,NGC 5194,B,1,rise,55715.5799,2.5798999999969965,-15.240100000002712,15.355,mag,,detection,usable,,,rise_onset,boundary_response_rise,shock_cooling,observable_ladder_state,observed post-collapse brightness-time ladder state,SN2011dh_OSC_raw.json::SN2011dh::photometry
B_SN2011dh_B,B1,Open Supernova Catalog / AstroCats,SN2011dh,"SN2011dh; PSN J13303600+4706330; PTF11eon; J133005+471010; <a id=""PSNJ13303600+4706330"">PSN J13303600+4706330</a>",IIb,Open Supernova Catalog / AstroCats,13:30:05.1055,+47:10:10.922,0.001638,NGC 5194,B,1,rise,55715.7,2.6999999999970896,-15.12000000000262,15.379,mag,,detection,usable,0.19983347210641567,-0.9251837321722582,rise_onset,boundary_response_rise,shock_cooling,observable_ladder_state,observed post-collapse brightness-time ladder state,SN2011dh_OSC_raw.json::SN2011dh::photometry
B_SN2011dh_B,B1,Open Supernova Catalog / AstroCats,SN2011dh,"SN2011dh; PSN J13303600+4706330; PTF11eon; J133005+471010; <a id=""PSNJ13303600+4706330"">PSN J13303600+4706330</a>",IIb,Open Supernova Catalog / AstroCats,13:30:05.1055,+47:10:10.922,0.001638,NGC 5194,B,1,rise,55716.2484,3.2483999999967637,-14.571600000002945,15.319,mag,,detection,usable,-0.10940919037205395,-0.14992051843807142,rise_onset,boundary_response_rise,shock_cooling,observable_ladder_state,observed post-collapse brightness-time ladder state,SN2011dh_OSC_raw.json::SN2011dh::photometry
B_SN2011dh_B,B1,Open Supernova Catalog / AstroCats,SN2011dh,"SN2011dh; PSN J13303600+4706330; PTF11eon; J133005+471010; <a id=""PSNJ13303600+4706330"">PSN J13303600+4706330</a>",IIb,Open Supernova Catalog / AstroCats,13:30:05.1055,+47:10:10.922,0.001638,NGC 5194,B,1,rise,55717.3188,4.31880000000092,-13.50119999999879,15.072,mag,,detection,usable,-0.23075485799611606,-0.02513914823846874,rise_onset,boundary_response_rise,shock_cooling,observable_ladder_state,observed post-collapse brightness-time ladder state,SN2011dh_OSC_raw.json::SN2011dh::photometry
B_SN2011dh_B,B1,Open Supernova Catalog / AstroCats,SN2011dh,"SN2011dh; PSN J13303600+4706330; PTF11eon; J133005+471010; <a id=""PSNJ13303600+4706330"">PSN J13303600+4706330</a>",IIb,Open Supernova Catalog / AstroCats,13:30:05.1055,+47:10:10.922,0.001638,NGC 5194,B,1,rise,55717.72,4.720000000001164,-13.099999999998545,14.972,mag,,detection,usable,-0.24925224327003667,-0.1443045128743044,rise_onset,boundary_response_rise,shock_cooling,observable_ladder_state,observed post-collapse brightness-time ladder state,SN2011dh_OSC_raw.json::SN2011dh::photometry
B_SN2011dh_B,B1,Open Supernova Catalog / AstroCats,SN2011dh,"SN2011dh; PSN J13303600+4706330; PTF11eon; J133005+471010; <a id=""PSNJ13303600+4706330"">PSN J13303600+4706330</a>",IIb,Open Supernova Catalog / AstroCats,13:30:05.1055,+47:10:10.922,0.001638,NGC 5194,B,1,rise,55718.5884,5.588400000000547,-12.231599999999162,14.676,mag,,detection,usable,-0.34085674804261823,0.5297378121953747,rise_onset,boundary_response_rise,shock_cooling,observable_ladder_state,observed post-collapse brightness-time ladder state,SN2011dh_OSC_raw.json::SN2011dh::photometry
B_SN2011dh_B,B1,Open Supernova Catalog / AstroCats,SN2011dh,"SN2011dh; PSN J13303600+4706330; PTF11eon; J133005+471010; <a id=""PSNJ13303600+4706330"">PSN J13303600+4706330</a>",IIb,Open Supernova Catalog / AstroCats,13:30:05.1055,+47:10:10.922,0.001638,NGC 5194,B,1,rise,55718.72,5.720000000001164,-12.099999999998545,14.666,mag,,detection,usable,-0.07598784194493087,-7.742544977038657,rise_onset,boundary_response_rise,shock_cooling,observable_ladder_state,observed post-collapse brightness-time ladder state,SN2011dh_OSC_raw.json::SN2011dh::photometry
B_SN2011dh_B,B1,Open Supernova Catalog / AstroCats,SN2011dh,"SN2011dh; PSN J13303600+4706330; PTF11eon; J133005+471010; <a id=""PSNJ13303600+4706330"">PSN J13303600+4706330</a>",IIb,Open Supernova Catalog / AstroCats,13:30:05.1055,+47:10:10.922,0.001638,NGC 5194,B,1,rise,55718.84,5.8399999999965075,-11.980000000003201,14.54,mag,,detection,usable,-1.0500000000407554,0.9721780924682041,rise_onset,boundary_response_rise,shock_cooling,observable_ladder_state,observed post-collapse brightness-time ladder state,SN2011dh_OSC_raw.json::SN2011dh::photometry
B_SN2011dh_B,B1,Open Supernova Catalog / AstroCats,SN2011dh,"SN2011dh; PSN J13303600+4706330; PTF11eon; J133005+471010; <a id=""PSNJ13303600+4706330"">PSN J13303600+4706330</a>",IIb,Open Supernova Catalog / AstroCats,13:30:05.1055,+47:10:10.922,0.001638,NGC 5194,B,1,rise,55720.3331,7.333100000003469,-10.48689999999624,14.143,mag,,detection,usable,-0.2658897595594049,0.05963891611121016,rise_onset,boundary_response_rise,shock_cooling,observable_ladder_state,observed post-collapse brightness-time ladder state,SN2011dh_OSC_raw.json::SN2011dh::photometry
B_SN2011dh_B,B1,Open Supernova Catalog / AstroCats,SN2011dh,"SN2011dh; PSN J13303600+4706330; PTF11eon; J133005+471010; <a id=""PSNJ13303600+4706330"">PSN J13303600+4706330</a>",IIb,Open Supernova Catalog / AstroCats,13:30:05.1055,+47:10:10.922,0.001638,NGC 5194,B,1,rise,55721.3421,8.342100000001665,-9.477899999998044,13.95,mag,,detection,usable,-0.19127849355832166,0.03240341275057961,rise_onset,boundary_response_rise,shock_cooling,observable_ladder_state,observed post-collapse brightness-time ladder state,SN2011dh_OSC_raw.json::SN2011dh::photometry
