label,array_path,source,values_shape,values_dtype,time_shape,time_min,time_max,time_count,finite_count,total_count,finite_fraction,min,p05,median,mean,p95,max,std,chunks,total_chunks,downloaded_chunks,missing_chunks
summary_power_nbi,summary/power_nbi,summary,"(1980,)",float64,"(1980,)",-0.06680000573396683,0.42794999426603364,1980,1752,1980,0.8848484848484849,-27.176559448242188,-11.661662101745605,0.05125267803668976,-0.6485296249661816,8.103865623474121,29.908714294433594,5.7406457316977155,[1980],1,1,0
summary_ip,summary/ip,summary,"(1980,)",float64,"(1980,)",-0.06680000573396683,0.42794999426603364,1980,1980,1980,1.0,-47670.94921875,-5994.401025390624,520622.0,356740.4716034894,560010.3625,577357.75,235125.68611687512,[1980],1,1,0
dalpha_voltage,spectrometer_visible/filter_spectrometer_dalpha_voltage,spectrometer_visible,"(3, 24741)",float64,"(24741,)",-0.06680000573396683,0.4279999942661847,24741,65700,74223,0.8851703649812053,-0.01220703125,-0.0048828125,0.34912109375,0.4808713404918189,1.0400390625,3.25927734375,0.3926833422099818,"[2, 12371]",4,4,0
soft_x_lower,soft_x_rays/horizontal_cam_lower,soft_x_rays,"(18, 24741)",float64,"(24741,)",-0.06680000573396683,0.4279999942661847,24741,394200,445338,0.8851703649812053,-0.00896453857421875,-0.00179290771484375,0.00011444091796875,0.004421965329553922,0.02410888671875,0.1287841796875,0.011882474605004186,"[5, 12371]",8,8,0
soft_x_upper,soft_x_rays/horizontal_cam_upper,soft_x_rays,"(18, 24741)",float64,"(24741,)",-0.06680000573396683,0.4279999942661847,24741,394200,445338,0.8851703649812053,-0.07808685302734375,-0.0063323974609375,0.00019073486328125,0.0029473670057570613,0.0234222412109375,0.1116943359375,0.012672622047273948,"[5, 12371]",8,8,0
equilibrium_q95,equilibrium/q95,equilibrium,"(99,)",float64,"(99,)",-0.06680000573396683,0.42319999426603294,99,64,99,0.6464646464646465,6.111296653747559,6.363991618156433,8.873861312866211,8.68124170601368,12.146446943283081,12.958671569824219,1.7986444818216818,[99],1,1,0
equilibrium_elongation,equilibrium/elongation,equilibrium,"(99,)",float64,"(99,)",-0.06680000573396683,0.42319999426603294,99,64,99,0.6464646464646465,1.547338604927063,1.5703294813632964,1.7196590304374695,1.7544606793671846,1.983958727121353,2.0064992904663086,0.11970473868584056,[99],1,1,0
equilibrium_triangularity_upper,equilibrium/triangularity_upper,equilibrium,"(99,)",float64,"(99,)",-0.06680000573396683,0.42319999426603294,99,64,99,0.6464646464646465,0.21787430346012115,0.271064393222332,0.36061182618141174,0.34887486626394093,0.39332387000322344,0.4081402122974396,0.039874541401730114,[99],1,1,0
equilibrium_triangularity_lower,equilibrium/triangularity_lower,equilibrium,"(99,)",float64,"(99,)",-0.06680000573396683,0.42319999426603294,99,64,99,0.6464646464646465,0.21787430346012115,0.25415882617235186,0.4214593470096588,0.3922415147535503,0.4483040615916252,0.44964122772216797,0.061404691386732664,[99],1,1,0
equilibrium_minor_radius,equilibrium/minor_radius,equilibrium,"(99,)",float64,"(99,)",-0.06680000573396683,0.42319999426603294,99,64,99,0.6464646464646465,0.4847400486469269,0.5646019279956818,0.5964210629463196,0.5936024938710034,0.6126288771629333,0.625259280204773,0.020140961064538398,[99],1,1,0
equilibrium_beta_normal,equilibrium/beta_normal,equilibrium,"(99,)",float64,"(99,)",-0.06680000573396683,0.42319999426603294,99,64,99,0.6464646464646465,0.1403762549161911,0.1632115826010704,0.8105432689189911,0.7466333876363933,1.113945800065994,1.2416270971298218,0.29582300673701595,[99],1,1,0
equilibrium_beta_pol,equilibrium/beta_pol,equilibrium,"(99,)",float64,"(99,)",-0.06680000573396683,0.42319999426603294,99,64,99,0.6464646464646465,0.0416388101875782,0.051838469691574574,0.21339694410562515,0.1898661648738198,0.2680076479911803,0.3273226320743561,0.06695781942251477,[99],1,1,0
equilibrium_whmd,equilibrium/whmd,equilibrium,"(99,)",float64,"(99,)",-0.06680000573396683,0.42319999426603294,99,64,99,0.6464646464646465,23032.65234375,54648.790820312504,84007.9375,83747.88958740234,104936.67578125,109859.5234375,16145.80036214851,[99],1,1,0
