soft_x_lower_proxy,soft_x_lower_time,soft_x_upper_proxy,soft_x_upper_time
,-0.06940000504255295,,-0.06940000504255295
,-0.06938000504255294,,-0.06938000504255294
,-0.06936000504255294,,-0.06936000504255294
,-0.06934000504255293,,-0.06934000504255293
,-0.06932000504255292,,-0.06932000504255292
,-0.06930000504255292,,-0.06930000504255292
,-0.06928000504255291,,-0.06928000504255291
,-0.0692600050425529,,-0.0692600050425529
,-0.0692400050425529,,-0.0692400050425529
,-0.06922000504255289,,-0.06922000504255289
,-0.06920000504255289,,-0.06920000504255289
,-0.06918000504255288,,-0.06918000504255288
,-0.06916000504255287,,-0.06916000504255287
,-0.06914000504255287,,-0.06914000504255287
,-0.06912000504255286,,-0.06912000504255286
,-0.06910000504255286,,-0.06910000504255286
,-0.06908000504255285,,-0.06908000504255285
,-0.06906000504255284,,-0.06906000504255284
,-0.06904000504255284,,-0.06904000504255284
,-0.06902000504255283,,-0.06902000504255283
,-0.06900000504255283,,-0.06900000504255283
,-0.06898000504255282,,-0.06898000504255282
,-0.06896000504255281,,-0.06896000504255281
,-0.06894000504255281,,-0.06894000504255281
,-0.0689200050425528,,-0.0689200050425528
,-0.0689000050425528,,-0.0689000050425528
,-0.06888000504255279,,-0.06888000504255279
,-0.06886000504255278,,-0.06886000504255278
,-0.06884000504255278,,-0.06884000504255278
,-0.06882000504255277,,-0.06882000504255277
,-0.06880000504255276,,-0.06880000504255276
,-0.06878000504255276,,-0.06878000504255276
,-0.06876000504255275,,-0.06876000504255275
,-0.06874000504255275,,-0.06874000504255275
,-0.06872000504255274,,-0.06872000504255274
,-0.06870000504255273,,-0.06870000504255273
,-0.06868000504255273,,-0.06868000504255273
,-0.06866000504255272,,-0.06866000504255272
,-0.06864000504255272,,-0.06864000504255272
,-0.06862000504255271,,-0.06862000504255271
,-0.0686000050425527,,-0.0686000050425527
,-0.0685800050425527,,-0.0685800050425527
,-0.06856000504255269,,-0.06856000504255269
,-0.06854000504255268,,-0.06854000504255268
,-0.06852000504255268,,-0.06852000504255268
,-0.06850000504255267,,-0.06850000504255267
