time_s,dalpha_proxy,softx_lower_proxy,softx_upper_proxy,softx_combined_proxy,te_profile_gradient_proxy,ne_profile_gradient_proxy,profile_gradient_proxy,nbi_proxy,density_proxy,m_edge_raw,m_edge_conf,Q_diag,P_missing_critical,m_edge_conf_state
-0.0590000078082084,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0580000078082084,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0570000078082084,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0560000078082084,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0550000078082084,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0540000078082084,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0530000078082084,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0520000078082084,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0510000078082084,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0500000078082084,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0490000078082084,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0480000078082084,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0460000078082084,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0450000078082084,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0440000078082084,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0430000078082084,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0420000078082084,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0410000078082084,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0400000078082084,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0390000078082084,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0380000078082084,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0370000078082084,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0360000078082084,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0350000078082084,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0340000078082084,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0330000078082084,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0320000078082084,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0310000078082084,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0300000078082084,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0290000078082084,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0280000078082084,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0270000078082084,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0260000078082084,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0250000078082084,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0240000078082084,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0230000078082084,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0210000078082084,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0200000078082084,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0190000078082084,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0180000078082084,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0170000078082084,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0160000078082084,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0150000078082084,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0140000078082084,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0130000078082084,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0120000078082084,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0110000078082084,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0100000078082084,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0090000078082084,-0.0048828125,1.9073486357903504e-05,3.814697263639766e-05,2.8610229497150585e-05,,,,-0.1903820633888244,3.936982115475784e+17,0.1853163073093194,-0.2616966411239174,0.6277777777777778,0.4222222222222222,confidence_negative_leakage_margin
-0.0080000078082084,-0.0048828125,-0.0006103515624352,0.0004577636717717,-7.629394533174998e-05,,,,-6.19366455078125,-4.096989919497421e+17,0.1727951920098889,-0.2694671511572937,0.6277777777777778,0.4222222222222222,confidence_negative_leakage_margin
-0.0070000078082084,-0.0048828124997357,-7.629394529495053e-05,7.629394531456465e-05,9.807055883527538e-15,,,,0.6883044242858887,-3.128837633086587e+17,0.1796756357618586,-0.2650388939920081,0.6277777777777778,0.4222222222222222,confidence_negative_leakage_margin
-0.0060000078082084,-0.0048828125002693,1.907348640809021e-05,3.4721733392527303e-14,9.536743221405972e-06,,,,-0.1903820633888244,-2.5983315190218752e+17,0.1809741838381717,-0.264219222691707,0.6277777777777778,0.4222222222222222,confidence_negative_leakage_margin
-0.0050000078082084,-0.0048828125,0.0001144409179687,-1.9073486343133367e-05,4.768371581278332e-05,,,,1.7131413221359253,5.188897737172582e+16,0.1846821104575342,-0.2619519632116897,0.6277777777777778,0.4222222222222222,confidence_negative_leakage_margin
