summary_power_nbi_value,summary_power_nbi_time,summary_ip_value,summary_ip_time,dalpha_voltage_proxy,dalpha_voltage_time,soft_x_lower_proxy,soft_x_lower_time,soft_x_upper_proxy,soft_x_upper_time
,-0.057200007140636444,4168.47705078125,-0.057200007140636444,,-0.057200007140636444,,-0.057200007140636444,,-0.057200007140636444
,-0.056950007140636444,3025.277587890625,-0.056950007140636444,,-0.057180007140636445,,-0.057180007140636445,,-0.057180007140636445
,-0.056700007140636444,2797.31298828125,-0.056700007140636444,,-0.057160007140636446,,-0.057160007140636446,,-0.057160007140636446
,-0.05645000714063644,3021.280517578125,-0.05645000714063644,,-0.05714000714063645,,-0.05714000714063645,,-0.05714000714063645
,-0.05620000714063644,3174.50244140625,-0.05620000714063644,,-0.05712000714063645,,-0.05712000714063645,,-0.05712000714063645
,-0.05595000714063644,1512.244873046875,-0.05595000714063644,,-0.05710000714063645,,-0.05710000714063645,,-0.05710000714063645
,-0.05570000714063644,-700.401611328125,-0.05570000714063644,,-0.05708000714063645,,-0.05708000714063645,,-0.05708000714063645
,-0.05545000714063644,-548.37060546875,-0.05545000714063644,,-0.05706000714063645,,-0.05706000714063645,,-0.05706000714063645
,-0.05520000714063644,-1638.795166015625,-0.05520000714063644,,-0.05704000714063645,,-0.05704000714063645,,-0.05704000714063645
,-0.05495000714063644,397.16326904296875,-0.05495000714063644,,-0.05702000714063645,,-0.05702000714063645,,-0.05702000714063645
,-0.05470000714063644,925.5771484375,-0.05470000714063644,,-0.05700000714063645,,-0.05700000714063645,,-0.05700000714063645
,-0.05445000714063644,1411.14208984375,-0.05445000714063644,,-0.05698000714063645,,-0.05698000714063645,,-0.05698000714063645
,-0.05420000714063644,1675.5462646484375,-0.05420000714063644,,-0.056960007140636454,,-0.056960007140636454,,-0.056960007140636454
,-0.05395000714063644,715.1384887695312,-0.05395000714063644,,-0.056940007140636455,,-0.056940007140636455,,-0.056940007140636455
,-0.05370000714063644,134.30099487304688,-0.05370000714063644,,-0.056920007140636456,,-0.056920007140636456,,-0.056920007140636456
,-0.05345000714063644,-460.51849365234375,-0.05345000714063644,,-0.056900007140636456,,-0.056900007140636456,,-0.056900007140636456
,-0.05320000714063644,1505.0089111328125,-0.05320000714063644,,-0.05688000714063646,,-0.05688000714063646,,-0.05688000714063646
