label,array_path,source,values_shape,values_dtype,time_shape,time_min,time_max,time_count,finite_count,total_count,finite_fraction,min,p05,median,mean,p95,max,std,chunks,total_chunks,downloaded_chunks,missing_chunks
summary_power_nbi,summary/power_nbi,summary,"(1377,)",float64,"(1377,)",-0.050400011241436005,0.2935999887585643,1377,1215,1377,0.8823529411764706,-4597.32470703125,-569.0080688476561,4.033559322357178,174380.42244747444,1133446.8249999997,1249714.375,390758.8818821906,[1377],1,1,0
summary_ip,summary/ip,summary,"(1377,)",float64,"(1377,)",-0.050400011241436005,0.2935999887585643,1377,1377,1377,1.0,-31100.576171875,-3179.5075195312506,170894.71875,158326.86652733298,327700.40625,334097.9375,137098.97019148184,[1377],1,1,0
interferometer_n_e_line,interferometer/n_e_line,interferometer,"(1377,)",float64,"(1377,)",-0.050400011241436005,0.2935999887585643,1377,1215,1377,0.8823529411764706,-3.976103426386821e+17,4.7254843723905766e+17,6.673635798172461e+19,5.551783758919369e+19,9.578982244775204e+19,1.0099733821531777e+20,3.6075862604604195e+19,[1377],1,1,0
dalpha_voltage,spectrometer_visible/filter_spectrometer_dalpha_voltage,spectrometer_visible,"(3, 17211)",float64,"(17211,)",-0.050400011241436005,0.29379998875854996,17211,45570,51633,0.8825750973214804,-0.01220703125,-0.009765625,0.3369140625,0.36227425698101823,0.85205078125,3.24462890625,0.30577936605033823,"[2, 17211]",2,2,0
soft_x_lower,soft_x_rays/horizontal_cam_lower,soft_x_rays,"(18, 17211)",float64,"(17211,)",-0.050400011241436005,0.29379998875854996,17211,273420,309798,0.8825750973214804,-0.010089874267578125,-0.00141143798828125,0.0,0.0021228278950254603,0.015106201171875,0.119781494140625,0.007306523821658972,"[5, 8606]",8,8,0
soft_x_upper,soft_x_rays/horizontal_cam_upper,soft_x_rays,"(18, 17211)",float64,"(17211,)",-0.050400011241436005,0.29379998875854996,17211,273420,309798,0.8825750973214804,-0.07808685302734375,-0.0269317626953125,0.0,-0.00017147958518452325,0.01888275146484375,0.113983154296875,0.015800503288596886,"[5, 8606]",8,8,0
thomson_t_e,thomson_scattering/t_e,thomson_scattering,"(120, 69)",float64,"(69,)",-0.050400011241436005,0.28959998875856385,69,2965,8280,0.3580917874396135,4.765315427873684,34.652319457765316,240.0072955233508,238.24700272077376,436.3247368463901,1613.192517331401,135.92403746486087,"[120, 69]",1,1,0
thomson_n_e,thomson_scattering/n_e,thomson_scattering,"(120, 69)",float64,"(69,)",-0.050400011241436005,0.28959998875856385,69,2965,8280,0.3580917874396135,1.1815867891092378e+17,7.34555122496452e+18,1.6513355208151253e+19,1.7411931854900238e+19,3.0906330175138415e+19,3.697289247845391e+19,7.197850833182457e+18,"[120, 69]",1,1,0
equilibrium_q95,equilibrium/q95,equilibrium,"(69,)",float64,"(69,)",-0.050400011241436005,0.28959998875856385,69,41,69,0.5942028985507246,6.81131649017334,7.356081008911133,10.060917854309082,10.376857141169106,15.417617797851562,15.576396942138672,2.295908051649008,[69],1,1,0
equilibrium_elongation,equilibrium/elongation,equilibrium,"(69,)",float64,"(69,)",-0.050400011241436005,0.28959998875856385,69,41,69,0.5942028985507246,1.1602585315704346,1.1932833194732666,1.505529522895813,1.486536947692313,1.684051275253296,1.8617935180664062,0.15937207535590592,[69],1,1,0
equilibrium_triangularity_upper,equilibrium/triangularity_upper,equilibrium,"(69,)",float64,"(69,)",-0.050400011241436005,0.28959998875856385,69,41,69,0.5942028985507246,0.15216553211212158,0.18708842992782593,0.29033634066581726,0.27529771407929865,0.3624338209629059,0.3841472268104553,0.06587300118707347,[69],1,1,0
equilibrium_triangularity_lower,equilibrium/triangularity_lower,equilibrium,"(69,)",float64,"(69,)",-0.050400011241436005,0.28959998875856385,69,41,69,0.5942028985507246,0.18708842992782593,0.19479134678840637,0.31710803508758545,0.32287757898249275,0.4505797028541565,0.47255057096481323,0.08889901878898504,[69],1,1,0
equilibrium_minor_radius,equilibrium/minor_radius,equilibrium,"(69,)",float64,"(69,)",-0.050400011241436005,0.28959998875856385,69,41,69,0.5942028985507246,0.4007558822631836,0.41362398862838745,0.5374181270599365,0.5273516345314864,0.6237805485725403,0.6384254097938538,0.0712463566405913,[69],1,1,0
equilibrium_beta_normal,equilibrium/beta_normal,equilibrium,"(69,)",float64,"(69,)",-0.050400011241436005,0.28959998875856385,69,41,69,0.5942028985507246,-2.171013116836548,-1.6924694776535034,0.5716001391410828,0.3146275355503326,0.9042049646377563,1.241370677947998,0.79901008898543,[69],1,1,0
equilibrium_beta_pol,equilibrium/beta_pol,equilibrium,"(69,)",float64,"(69,)",-0.050400011241436005,0.28959998875856385,69,41,69,0.5942028985507246,-1.9808239936828613,-1.3178179264068604,0.21258442103862762,0.04722169505023375,0.3578551113605499,0.6977673172950745,0.5420575543843068,[69],1,1,0
equilibrium_whmd,equilibrium/whmd,equilibrium,"(69,)",float64,"(69,)",-0.050400011241436005,0.28959998875856385,69,41,69,0.5942028985507246,3887.79443359375,4034.7353515625,20594.447265625,22154.01161156631,35368.83984375,35991.1171875,10964.952060310758,[69],1,1,0
