window_label,state,start_time,end_time,duration,start_index,end_index,point_count,interpretability_flag,interpretability_notes,m_edge__during_median,m_edge__before_median,m_edge__after_median,m_edge__delta_vs_before,m_edge__delta_vs_after,m_edge__trend,m_edge__slope_per_s,C_edge_capacity__during_median,C_edge_capacity__before_median,C_edge_capacity__after_median,C_edge_capacity__delta_vs_before,C_edge_capacity__delta_vs_after,C_edge_capacity__trend,C_edge_capacity__slope_per_s,F_route_fragmentation__during_median,F_route_fragmentation__before_median,F_route_fragmentation__after_median,F_route_fragmentation__delta_vs_before,F_route_fragmentation__delta_vs_after,F_route_fragmentation__trend,F_route_fragmentation__slope_per_s,S_edge_response__during_median,S_edge_response__before_median,S_edge_response__after_median,S_edge_response__delta_vs_before,S_edge_response__delta_vs_after,S_edge_response__trend,S_edge_response__slope_per_s,S_power_balance__during_median,S_power_balance__before_median,S_power_balance__after_median,S_power_balance__delta_vs_before,S_power_balance__delta_vs_after,S_power_balance__trend,S_power_balance__slope_per_s,S_transport__during_median,S_transport__before_median,S_transport__after_median,S_transport__delta_vs_before,S_transport__delta_vs_after,S_transport__trend,S_transport__slope_per_s,density_support__during_median,density_support__before_median,density_support__after_median,density_support__delta_vs_before,density_support__delta_vs_after,density_support__trend,density_support__slope_per_s,geometry_stability__during_median,geometry_stability__before_median,geometry_stability__after_median,geometry_stability__delta_vs_before,geometry_stability__delta_vs_after,geometry_stability__trend,geometry_stability__slope_per_s,missingness_pressure__during_median,missingness_pressure__before_median,missingness_pressure__after_median,missingness_pressure__delta_vs_before,missingness_pressure__delta_vs_after,missingness_pressure__trend,missingness_pressure__slope_per_s,nbi_proxy__during_median,nbi_proxy__before_median,nbi_proxy__after_median,nbi_proxy__delta_vs_before,nbi_proxy__delta_vs_after,nbi_proxy__trend,nbi_proxy__slope_per_s,density_proxy__during_median,density_proxy__before_median,density_proxy__after_median,density_proxy__delta_vs_before,density_proxy__delta_vs_after,density_proxy__trend,density_proxy__slope_per_s,dalpha_proxy__during_median,dalpha_proxy__before_median,dalpha_proxy__after_median,dalpha_proxy__delta_vs_before,dalpha_proxy__delta_vs_after,dalpha_proxy__trend,dalpha_proxy__slope_per_s,softx_lower_proxy__during_median,softx_lower_proxy__before_median,softx_lower_proxy__after_median,softx_lower_proxy__delta_vs_before,softx_lower_proxy__delta_vs_after,softx_lower_proxy__trend,softx_lower_proxy__slope_per_s,softx_upper_proxy__during_median,softx_upper_proxy__before_median,softx_upper_proxy__after_median,softx_upper_proxy__delta_vs_before,softx_upper_proxy__delta_vs_after,softx_upper_proxy__trend,softx_upper_proxy__slope_per_s,te_profile_gradient_proxy__during_median,te_profile_gradient_proxy__before_median,te_profile_gradient_proxy__after_median,te_profile_gradient_proxy__delta_vs_before,te_profile_gradient_proxy__delta_vs_after,te_profile_gradient_proxy__trend,te_profile_gradient_proxy__slope_per_s,ne_profile_gradient_proxy__during_median,ne_profile_gradient_proxy__before_median,ne_profile_gradient_proxy__after_median,ne_profile_gradient_proxy__delta_vs_before,ne_profile_gradient_proxy__delta_vs_after,ne_profile_gradient_proxy__trend,ne_profile_gradient_proxy__slope_per_s,te_edge_median_proxy__during_median,te_edge_median_proxy__before_median,te_edge_median_proxy__after_median,te_edge_median_proxy__delta_vs_before,te_edge_median_proxy__delta_vs_after,te_edge_median_proxy__trend,te_edge_median_proxy__slope_per_s,te_core_median_proxy__during_median,te_core_median_proxy__before_median,te_core_median_proxy__after_median,te_core_median_proxy__delta_vs_before,te_core_median_proxy__delta_vs_after,te_core_median_proxy__trend,te_core_median_proxy__slope_per_s,ne_edge_median_proxy__during_median,ne_edge_median_proxy__before_median,ne_edge_median_proxy__after_median,ne_edge_median_proxy__delta_vs_before,ne_edge_median_proxy__delta_vs_after,ne_edge_median_proxy__trend,ne_edge_median_proxy__slope_per_s,ne_core_median_proxy__during_median,ne_core_median_proxy__before_median,ne_core_median_proxy__after_median,ne_core_median_proxy__delta_vs_before,ne_core_median_proxy__delta_vs_after,ne_core_median_proxy__trend,ne_core_median_proxy__slope_per_s
negative_001,negative_leakage_margin,-0.0054000050425528,-0.0014000050425528,0.004,64,68,5,interpretable_negative_candidate,fragmentation_exceeds_capacity;power_balance_pressure_high;m_edge_lower_than_before,-0.2751394585375779,-0.2364277967747376,-0.2142997428563021,-0.03871166176284027,-0.060839715681275774,increase,5.532013479608875,0.4413844953543602,0.4411300322094902,0.382995580416877,0.00025446314486998745,0.058388914937483216,decrease,-5.310622437599638,0.718287554188732,0.8446901130308262,0.5736582048363709,-0.12640255884209417,0.14462934935236116,decrease,-10.84263591720852,0.6620767430315403,0.6616950483142354,0.4832813500530646,0.00038169471730487015,0.1787953929784757,decrease,-7.965933656399443,0.7791415785763515,0.7217208281086119,0.6023723738123545,0.057420750467739534,0.17676920476399693,decrease,-13.252110565477064,,,,,,na,,0.0,0.0,0.0456233777029432,0.0,-0.0456233777029432,flat,0.0,,,,,,na,,0.4444444444444444,0.7222222222222222,0.4444444444444444,-0.2777777777777778,0.0,flat,0.0,2.379222631454468,0.4759249687194824,-0.9884595274925232,1.9032976627349858,3.3676821589469914,decrease,-439.261257648468,2.518937158769705e+17,2.8866028519817216e+17,1.1268379002122795e+19,-3.676656932120166e+16,-1.1016485286245825e+19,increase,1.944025893227725e+19,-0.0048828124975029,-0.0048828125,0.310058593758721,2.4970997491990943e-12,-0.3149414062562239,increase,6.103515623732825,9.536743179436148e-05,0.0001049041749039,2.655448289642232e-13,-9.536743109538515e-06,9.536743152881665e-05,decrease,-0.07629394549649654,0.0002288818358798,0.000133514404026,-0.0003814697265846,9.536743185380002e-05,0.0006103515624644,decrease,-0.02861022930059999,,,,,,na,,,,,,,na,,,,,,,na,,,,,,,na,,,,,,,na,,,,,,,na,
peak_negative,peak_negative_window,-0.0004000050425528,0.0075999949574471,0.0079999999999999,69,77,9,interpretable_negative_candidate,fragmentation_exceeds_capacity;power_balance_pressure_high;m_edge_lower_than_before,-0.2819802013518369,-0.240254808444742,-0.1481898781864703,-0.04172539290709487,-0.13379032316536657,decrease,-19.761234829194912,0.3212282988825588,0.4412572637819252,0.3793309881975382,-0.12002896489936637,-0.05810268931497936,decrease,-4.828016726191852,0.5736582048363709,0.6893802260616525,0.5106570830625593,-0.11572202122528163,0.06300112177381156,increase,14.933218103003062,0.4818424483238382,0.6618858956728879,0.4406875346800741,-0.1800434473490497,0.04115491364376411,decrease,-18.643527660819295,0.6023723738123545,0.7327656139314886,0.5257851723932168,-0.1303932401191341,0.07658720141913777,increase,18.251711014781506,,,,,,na,,0.0456233777029432,0.0,0.2479073094208705,0.0456233777029432,-0.2022839317179273,increase,22.803005143062997,,,0.3328548720952005,,,na,,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.0,0.0,flat,0.0,-0.2562672793865204,0.842021107673645,-0.9884595274925232,-1.0982883870601654,0.7321922481060028,increase,1317.390382289903,1.1268379002122795e+19,2.66229148479914e+17,5.406726163895471e+19,1.1002149853642881e+19,-4.279888263683192e+19,increase,4.99458891557588e+21,0.319824218761479,-0.00488281249875145,0.4125976562798155,0.3247070312602304,-0.0927734375183365,increase,36.92626953268534,2.655448289642232e-13,0.00010013580334913074,0.0002479553222037,-0.00010013580308358591,-0.0002479553219381551,increase,0.03218650804627541,-0.0004005432129337,0.0001621246335619,-0.0001907348633948,-0.0005626678464956,-0.00020980834953890002,decrease,-0.04768371572546028,,,,,,na,,,,,,,na,,,,,,,na,,,,,,,na,,,,,,,na,,,,,,,na,
negative_002,negative_leakage_margin,0.0025999949574471,0.0065999949574471,0.004,72,76,5,interpretable_negative_candidate,fragmentation_exceeds_capacity;power_balance_pressure_high;m_edge_lower_than_before,-0.3970592553061732,-0.2142997428563021,-0.1481898781864703,-0.1827595124498711,-0.2488693771197029,increase,28.76976348858408,0.2916780034845339,0.4411300322094902,0.3793309881975382,-0.14945202872495633,-0.08765298471300431,decrease,-7.3875738495062375,0.718287554188732,0.6532336550133266,0.5106570830625593,0.06505389917540538,0.20763047112617272,decrease,-36.15733733809029,0.3585001799935053,0.6616950483142354,0.4406875346800741,-0.3031948683207301,-0.08218735468656879,decrease,-30.835567082583225,0.7791415785763515,0.6996312573619672,0.5257851723932168,0.07951032121438428,0.2533564061831347,decrease,-44.19230119099923,,,,,,na,,0.1154105174041368,0.0,0.2479073094208705,0.1154105174041368,-0.1324967920167337,increase,39.508412616647774,,,0.33564688223853845,,,na,,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.0,0.0,flat,0.0,2.379222631454468,-0.2562672793865204,-0.9884595274925232,2.6354899108409886,3.3676821589469914,decrease,-658.8724777102472,2.603382070708483e+19,2.518937158769705e+17,5.406726163895471e+19,2.578192699120786e+19,-2.8033440931869884e+19,increase,8.77216352601899e+21,0.5322265625113299,-0.0024414062523479,0.4125976562798155,0.5346679687636778,0.11962890623151445,increase,61.64550781734504,-9.536743240493984e-06,9.536743179436148e-05,0.0002288818360568,-0.00010490417503485546,-0.00023841857929729398,increase,0.0429153442941612,-0.0004005432129337,0.000133514404026,-0.0002098083496332,-0.0005340576169597,-0.00019073486330050004,increase,0.014305114745799999,,,,,,na,,,,,,,na,,,,,,,na,,,,,,,na,,,,,,,na,,,,,,,na,
positive_001,positive_boundary_margin,0.1245999949574472,0.1275999949574472,0.0030000000000000027,194,197,4,interpretable_positive_candidate,capacity_exceeds_fragmentation;edge_response_high;low_power_balance_pressure;m_edge_higher_than_before,0.2729973536329928,-0.0073553538048334,0.1285561109336749,0.2803527074378262,0.14444124269931793,increase,5.707653330192227,0.5115875137805386,0.4997207055483721,0.5142342810185065,0.01186680823216646,-0.002646767237967973,increase,3.7682543563459756,0.2407247494650931,0.5142004530189477,0.3856781700848316,-0.2734757035538546,-0.14495342061973848,decrease,-1.9393989738462978,0.5799991972758429,0.5622048927251178,0.5654103496839686,0.01779430455072517,0.014588847591874288,increase,3.856275112107766,0.2448364221857311,0.579084504307109,0.4220017140543004,-0.3342480821213779,-0.17716529186856933,decrease,-2.370376523589936,,,,,,na,,0.41885783843280255,0.4130172520289892,0.4482656872621503,0.005840586403813353,-0.02940784882934777,increase,3.851568528566696,0.45894983992680527,0.4617234321194436,0.4854975737226205,-0.002773592192638341,-0.02654773379581521,increase,3.508898672601639,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0,0.0,flat,0.0,-6.771634817123413,4.281864166259766,-0.2562672793865204,-11.053498983383179,-6.515367537736893,flat,0.0,9.023667739901821e+19,8.900093628056076e+19,9.64587389338119e+19,1.2357411184574464e+18,-6.222061534793695e+18,increase,8.149081739804447e+20,0.3759765624852226,0.3564453124442449,0.3833007811909651,0.01953125004097772,-0.0073242187057425134,increase,4.882812477973726,0.001258850097227,0.0008583068852175,0.0016021728516789,0.0004005432120095001,-0.0003433227544518999,increase,0.13987223276929986,0.0057506561280738,0.0052833557115981,0.0020599365232627,0.00046730041647569977,0.0036907196048110995,decrease,-0.20345052072006642,,,,,,na,,,,,,,na,,,,,,,na,,,,,,,na,,,,,,,na,,,,,,,na,
positive_002,positive_boundary_margin,0.1665999949574472,0.1705999949574472,0.0040000000000000036,236,240,5,weak_positive_candidate,capacity_exceeds_fragmentation,0.248927531062189,0.2663034713315258,0.2307841516886211,-0.01737594026933681,0.018143379373567914,increase,10.51485782692702,0.5948598475929845,0.5866545824388685,0.5914288437646656,0.008205265154116015,0.003431003828318846,decrease,-2.8989282343389298,0.3321766128163905,0.316789280432985,0.34950845529788,0.015387332383405505,-0.0173318424814895,decrease,-13.413786061265963,0.5433803398558108,0.5766507619930544,0.5115268561972778,-0.03327042213724363,0.03185348365853302,decrease,-8.988427255678241,0.3566109218373168,0.3378041822575989,0.3777942848702484,0.0188067395797179,-0.021183363032931612,decrease,-16.394627408213942,,,,,,na,,0.5407624913352596,0.5258528706032659,0.5556366912674238,0.014909620731993645,-0.014874199932164212,increase,0.2803730916082767,0.7643496387213812,0.6817105669442771,0.7850222625153427,0.08263907177710406,-0.02067262379396151,increase,6.100768482392488,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0,0.0,flat,0.0,-1.7206517457962036,-2.305619239807129,-1.2811200618743896,0.5849674940109253,-0.43953168392181396,decrease,-549.144178628921,1.160290519497132e+20,1.1287450031306572e+20,1.1917610931510577e+20,3.154551636647477e+18,-3.1470573653925724e+18,increase,5.93208513417707e+19,0.5078124999736132,0.4785156249829306,0.5688476562773931,0.02929687499068262,-0.06103515630377987,increase,4.882812502124352,0.0020408630360699,0.0025177001973215,0.0013542175289797,-0.0004768371612516001,0.0006866455070902002,decrease,-0.1716613770876249,0.0039291381839402,0.002670288079719,0.007381439208699,0.0012588501042212004,-0.0034523010247587997,increase,0.4148483275144247,,,,,,na,,,,,,,na,,,,,,,na,,,,,,,na,,,,,,,na,,,,,,,na,
positive_003,positive_boundary_margin,0.1785999949574472,0.1815999949574472,0.0030000000000000027,248,251,4,interpretable_positive_candidate,capacity_exceeds_fragmentation;low_power_balance_pressure;m_edge_higher_than_before,0.42233488175229905,0.2307841516886211,0.261556715214325,0.19155073006367795,0.16077816653797405,increase,9.35425691285873,0.616261351108383,0.5898162126145804,0.6332209801230227,0.02644513849380259,-0.016959629014639765,increase,4.161756009972258,0.19616327847325177,0.34950845529788,0.3716642649086977,-0.15334517682462823,-0.17550098643544593,decrease,-5.192500902886491,0.5115971869688266,0.5088747890759968,0.5325921670228845,0.0027223978928297976,-0.020994980054057866,decrease,-1.4480441551475418,0.1903724020845917,0.3777942848702484,0.4048736077279145,-0.18742188278565672,-0.21450120564332278,decrease,-6.346389992416799,,,,,,na,,0.5699304390784381,0.5542328718450725,0.5754549197879982,0.015697567233365572,-0.005524480709560131,increase,6.428570295192943,0.8742719498895486,0.7815054260872538,0.8835889075000661,0.09276652380229478,-0.00931695761051754,increase,13.114542054991137,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0,0.0,flat,0.0,-8.893102645874023,-1.2811200618743896,-0.9884595274925232,-7.611982583999634,-7.9046431183815,decrease,-341.49972597757943,1.2220035562972224e+20,1.1887909164202484e+20,1.2336921565488533e+20,3.321263987697402e+18,-1.168860025163088e+18,increase,1.3601457280860422e+21,0.5834960937454311,0.5468750000458414,0.639648437509541,0.03662109369958966,-0.056152343764109935,increase,0.8138020834056081,0.00133991241443995,0.0014495849616363,0.0008773803719704,-0.00010967254719634997,0.00046253204246955,decrease,-0.19391377750943314,0.009660720826212,0.0068092346186433,0.0192451477023319,0.0028514862075686995,-0.009584426876119902,increase,1.0744730633438657,,,,,,na,,,,,,,na,,,,,,,na,,,,,,,na,,,,,,,na,,,,,,,na,
positive_004,positive_boundary_margin,0.1885999949574472,0.1915999949574472,0.0030000000000000027,258,261,4,weak_positive_candidate,capacity_exceeds_fragmentation,0.25738373739657827,0.2841139383883023,0.23257467446794894,-0.026730200991724018,0.024809062928629333,increase,5.77307232834776,0.6314672585901635,0.6254992182280597,0.6321494594487543,0.005968040362103855,-0.0006822008585908312,decrease,-5.876932539586871,0.3719348030164989,0.34950845529788,0.39904162244788577,0.0224263477186189,-0.027106819431386875,decrease,-11.650004867934594,0.5321089730460692,0.5217904479312835,0.5181689287598676,0.010318525114785704,0.013940044286201547,decrease,-8.996449569233985,0.405204265415227,0.3777942848702484,0.43833482249803324,0.027409980544978618,-0.03313055708280621,decrease,-14.238894838586763,,,,,,na,,0.584148938476669,0.5751502260767887,0.5988262868980436,0.00899871239988037,-0.01467734842137458,increase,0.7921038722438205,0.8799586657145619,0.8835889075000661,0.8908257611429158,-0.0036302417855041957,-0.010867095428353846,decrease,-6.306934892123301,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0,0.0,flat,0.0,-0.9884595274925232,-1.2811200618743896,0.10982885956764221,0.29266053438186646,-1.0982883870601654,decrease,-488.12816540400144,1.2520868101596851e+20,1.2330474908912556e+20,1.2831408888090093e+20,1.9039319268429496e+18,-3.1054078649324175e+18,increase,1.6759196035212886e+20,0.6689453124950939,0.6274414062979082,0.6689453125099882,0.04150390619718569,-1.489430800916125e-11,increase,12.207031195320061,0.0008201599117494,0.0010681152340802,0.0005722045902359,-0.00024795532233079997,0.0002479553215135001,decrease,-0.03814697278206661,0.023612976073953247,0.0145149230962926,0.0238323211670131,0.009098052977660647,-0.00021934509305985422,increase,0.9600321437785317,,,,,,na,,,,,,,na,,,,,,,na,,,,,,,na,,,,,,,na,,,,,,,na,
positive_005,positive_boundary_margin,0.1995999949574473,0.2025999949574473,0.0030000000000000027,269,272,4,interpretable_positive_candidate,capacity_exceeds_fragmentation;low_power_balance_pressure;m_edge_higher_than_before,0.49635369533940554,0.23257467446794894,0.2795635443007926,0.2637790208714566,0.21679015103861293,increase,80.28946814739163,0.6457927025344075,0.6304412859510616,0.6467372133863212,0.015351416583345823,-0.0009445108519137158,decrease,-11.767988497748801,0.1422844650320381,0.39904162244788577,0.3698428476546261,-0.2567571574158477,-0.227558382622588,decrease,-92.05745664514042,0.5487065843120309,0.5181689287598676,0.555236658186391,0.030537655552163256,-0.0065300738743601094,decrease,-23.54455649985104,0.12452051898977495,0.43833482249803324,0.4026474310840492,-0.3138143035082583,-0.27812691209427426,decrease,-112.5146692329494,,,,,,na,,0.5992105111140347,0.5988262868980436,0.5967943718843494,0.00038422421599104695,0.00241613922968531,increase,1.3712394926175253,0.8867353969394726,0.8908257611429158,0.8867353969394726,-0.00409036420344322,0.0,decrease,-1.3540804839106864,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0,0.0,flat,0.0,-10.577625274658203,0.10982885956764221,-1.2811200618743896,-10.687454134225845,-9.296505212783813,decrease,-3757.441441218055,1.2839538237261218e+20,1.2831408888090093e+20,1.2788417983444052e+20,8.129349171124634e+16,5.1120253817166234e+17,increase,2.901244681824936e+20,0.6115722655948457,0.6726074218656082,0.6030273437814283,-0.0610351562707625,0.008544921813417372,decrease,-0.8138020665823986,0.00064849853499725,0.0007057189941029501,0.0006771087641185,-5.722045910570004e-05,-2.8610229121249953e-05,decrease,-0.39100646897586633,0.0218200683606709,0.02385139465358705,0.020790100100858,-0.0020313262929161496,0.0010299682598128995,decrease,-0.4704793307146988,,,,,,na,,,,,,,na,,,,,,,na,,,,,,,na,,,,,,,na,,,,,,,na,
positive_006,positive_boundary_margin,0.2055999949574473,0.2135999949574473,0.008000000000000007,275,283,9,interpretable_positive_candidate,capacity_exceeds_fragmentation;edge_response_high,0.2795635443007926,0.3678088520868719,0.2149442180904958,-0.08824530778607931,0.06461932621029681,decrease,-19.108079249546996,0.6494063919554187,0.6422487118054023,0.6300753139815616,0.007157680150016388,0.019331077973857136,decrease,-1.6832750660592102,0.3698428476546261,0.2757326624231633,0.4151310958910658,0.0941101852314628,-0.04528824823643968,increase,17.424804183487794,0.5581319339538027,0.5427325391988936,0.5256866652610307,0.015399394754909035,0.03244526869277198,decrease,-2.995628621750579,0.4026474310840492,0.2876238713567058,0.4579997344841421,0.1150235597273434,-0.055352303400092895,increase,21.29698289092952,,,,,,na,,0.5975590786825467,0.5983192539464934,0.6151465035669099,-0.0007601752639467829,-0.017587424884363267,increase,1.4092188077712136,0.8867353969394726,0.8867353969394726,0.8580545725593816,0.0,0.028680824380091008,decrease,-2.151061828506854,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0,0.0,flat,0.0,-1.2811200618743896,-4.941462993621826,0.4759249687194824,3.6603429317474365,-1.757045030593872,increase,677.173495292663,1.28045975169491e+20,1.2820681173040208e+20,1.3176709195379193e+20,-1.6083656091108966e+17,-3.721116784300933e+18,increase,2.9816006566215654e+20,0.60302734375,0.6225585937295763,0.6030273437825261,-0.019531249979576337,-3.252609293014075e-11,increase,3.0517578137434334,0.0007057189949617,0.0004959106447705,0.0004959106432081,0.00020980835019119995,0.0002098083517536,increase,0.00715255743453749,0.0202560424767331,0.0218200683607267,0.0170326232916048,-0.0015640258839936007,0.0032234191851282998,decrease,-0.3671646123916749,,,,,,na,,,,,,,na,,,,,,,na,,,,,,,na,,,,,,,na,,,,,,,na,
peak_positive,peak_positive_window,0.2385999949574473,0.2465999949574473,0.008000000000000007,308,316,9,weak_positive_candidate,capacity_exceeds_fragmentation;m_edge_higher_than_before,0.2490944825365366,0.1892472914702404,0.1825278063687645,0.05984719106629621,0.0665666761677721,increase,26.393183049883465,0.6446368911211597,0.6252916213465816,0.6020244236668177,0.019345269774578178,0.042612467454341996,decrease,-6.0673860915627875,0.3973584373738857,0.4321517078176875,0.4334494200972756,-0.034793270443801816,-0.0360909827233899,decrease,-32.46056914144625,0.5082844498822466,0.5014741146838685,0.4520326728673891,0.006810335198378148,0.05625177701485756,decrease,-13.941075549600129,0.4362775962964776,0.4788027046166798,0.480388797402843,-0.042525108320202176,-0.044111201106365405,decrease,-39.674028950656556,,,,,,na,,0.651689751958158,0.6397743113018938,0.6841260999597837,0.011915440656264265,-0.03243634800162565,increase,2.822283183599031,0.9034650042126728,0.8580545725593816,0.8809669377232148,0.04541043165329128,0.02249806648945807,increase,0.790323549350102,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0,0.0,flat,0.0,-1.2811200618743896,0.4759249687194824,-0.2562672793865204,-1.757045030593872,-1.0248527824878693,decrease,-1372.62862920761,1.3949884892421974e+20,1.369778007031247e+20,1.463616750493557e+20,2.521048221095035e+18,-6.86282612513597e+18,increase,5.971337699288633e+20,0.6396484375116688,0.605468749988521,0.681152343870753,0.03417968752314782,-0.041503906359084186,increase,12.207031244074146,0.0006103515621389,0.0004386901848527,0.0006103515609106,0.00017166137728619998,1.2283000137836009e-12,decrease,-0.11086463874559299,0.0146102905271643,0.015239715574677,0.0141334533682944,-0.0006294250475126998,0.00047683715886990066,decrease,-0.047683715245837525,,,,,,na,,,,,,,na,,,,,,,na,,,,,,,na,,,,,,,na,,,,,,,na,
