summary_ip_value,summary_ip_time,interferometer_n_e_line_value,interferometer_n_e_line_time,soft_x_lower_proxy,soft_x_lower_time,soft_x_upper_proxy,soft_x_upper_time
7055.11279296875,-0.06720000505447388,,-0.06720000505447388,,-0.06720000505447388,,-0.06720000505447388
6090.76806640625,-0.06695000505447388,,-0.06695000505447388,,-0.06718000505447387,,-0.06718000505447387
4158.71533203125,-0.06670000505447388,,-0.06670000505447388,,-0.06716000505447386,,-0.06716000505447386
4294.81982421875,-0.06645000505447388,,-0.06645000505447388,,-0.06714000505447386,,-0.06714000505447386
5877.6845703125,-0.06620000505447388,,-0.06620000505447388,,-0.06712000505447385,,-0.06712000505447385
6687.7255859375,-0.06595000505447388,,-0.06595000505447388,,-0.06710000505447385,,-0.06710000505447385
7585.3896484375,-0.06570000505447388,,-0.06570000505447388,,-0.06708000505447384,,-0.06708000505447384
6599.013671875,-0.06545000505447388,,-0.06545000505447388,,-0.06706000505447383,,-0.06706000505447383
5287.13623046875,-0.06520000505447388,,-0.06520000505447388,,-0.06704000505447383,,-0.06704000505447383
3057.475341796875,-0.06495000505447387,,-0.06495000505447387,,-0.06702000505447382,,-0.06702000505447382
3067.726318359375,-0.06470000505447387,,-0.06470000505447387,,-0.06700000505447382,,-0.06700000505447382
4842.6103515625,-0.06445000505447387,,-0.06445000505447387,,-0.06698000505447381,,-0.06698000505447381
4889.53759765625,-0.06420000505447387,,-0.06420000505447387,,-0.0669600050544738,,-0.0669600050544738
4107.13623046875,-0.06395000505447387,,-0.06395000505447387,,-0.0669400050544738,,-0.0669400050544738
3346.780517578125,-0.06370000505447387,,-0.06370000505447387,,-0.06692000505447379,,-0.06692000505447379
4610.83740234375,-0.06345000505447387,,-0.06345000505447387,,-0.06690000505447379,,-0.06690000505447379
2112.42333984375,-0.06320000505447387,,-0.06320000505447387,,-0.06688000505447378,,-0.06688000505447378
4320.6474609375,-0.06295000505447387,,-0.06295000505447387,,-0.06686000505447377,,-0.06686000505447377
