label,array_path,source,values_shape,values_dtype,time_shape,time_min,time_max,time_count,finite_count,total_count,finite_fraction,min,p05,median,mean,p95,max,std,chunks,total_chunks,downloaded_chunks,missing_chunks
summary_power_nbi,summary/power_nbi,summary,"(1658,)",float64,"(1658,)",-0.06800001114606857,0.34624998885393177,1658,1425,1658,0.8594692400482509,-5.054226875305176,-2.856279134750366,0.21967794001102448,-0.07867604653040568,1.5374866724014282,4.760464668273926,1.3629704841207115,[1658],1,1,0
summary_ip,summary/ip,summary,"(1658,)",float64,"(1658,)",-0.06800001114606857,0.34624998885393177,1658,1658,1658,1.0,-50258.046875,-5244.073168945312,493167.984375,406747.7454602296,757722.3468749999,1070638.75,318281.5912309953,[1658],1,1,0
interferometer_n_e_line,interferometer/n_e_line,interferometer,"(1658,)",float64,"(1658,)",-0.06800001114606857,0.34624998885393177,1658,1425,1658,0.8594692400482509,-1.0350292290487976e+19,-6.313752118408354e+18,6.5205719048604615e+19,5.872074998716151e+19,1.1173768973243834e+20,1.2070009400385444e+20,4.008281494761213e+19,[1658],1,1,0
dalpha_voltage,spectrometer_visible/filter_spectrometer_dalpha_voltage,spectrometer_visible,"(3, 20721)",float64,"(20721,)",-0.06800001114606857,0.3463999888540583,20721,53460,62163,0.859997104386854,-0.01220703125,-0.009765625,0.3271484375,0.3879702789614899,1.025390625,3.0517578125,0.34508069990932916,"[2, 10361]",4,4,0
soft_x_lower,soft_x_rays/horizontal_cam_lower,soft_x_rays,"(18, 20721)",float64,"(20721,)",-0.06800001114606857,0.3463999888540583,20721,320760,372978,0.859997104386854,-0.01220703125,-0.001983642578125,0.00030517578125,0.014405941395320148,0.07232666015625,0.239410400390625,0.030641855149926473,"[5, 10361]",8,8,0
soft_x_upper,soft_x_rays/horizontal_cam_upper,soft_x_rays,"(18, 20721)",float64,"(20721,)",-0.06800001114606857,0.3463999888540583,20721,320760,372978,0.859997104386854,-0.07808685302734375,-0.008697509765625,0.000762939453125,0.010988977696030704,0.06134033203125,0.2154541015625,0.027157994307029983,"[5, 10361]",8,8,0
equilibrium_q95,equilibrium/q95,equilibrium,"(83,)",float64,"(83,)",-0.06800001114606857,0.3419999888539318,83,48,83,0.5783132530120482,4.905026435852051,5.212420892715454,5.921392917633057,6.1726396679878235,7.466310262680054,7.864369869232178,0.8309935816828053,[83],1,1,0
equilibrium_elongation,equilibrium/elongation,equilibrium,"(83,)",float64,"(83,)",-0.06800001114606857,0.3419999888539318,83,48,83,0.5783132530120482,1.5162842273712158,1.5293838322162627,1.7205470204353333,1.7023250088095665,1.8275990307331085,1.8424935340881348,0.09677964003126917,[83],1,1,0
equilibrium_triangularity_upper,equilibrium/triangularity_upper,equilibrium,"(83,)",float64,"(83,)",-0.06800001114606857,0.3419999888539318,83,48,83,0.5783132530120482,0.19166378676891327,0.19829408079385757,0.3204808533191681,0.2983275918910901,0.36198230683803556,0.41995200514793396,0.055796228535515385,[83],1,1,0
equilibrium_triangularity_lower,equilibrium/triangularity_lower,equilibrium,"(83,)",float64,"(83,)",-0.06800001114606857,0.3419999888539318,83,48,83,0.5783132530120482,0.18554852902889252,0.1921881280839443,0.3319952040910721,0.32075116224586964,0.4160068392753601,0.42648372054100037,0.0812667399702253,[83],1,1,0
equilibrium_minor_radius,equilibrium/minor_radius,equilibrium,"(83,)",float64,"(83,)",-0.06800001114606857,0.3419999888539318,83,48,83,0.5783132530120482,0.43247848749160767,0.4412759065628052,0.5658263564109802,0.5367292209217945,0.5827959597110748,0.6012502908706665,0.052665458497345725,[83],1,1,0
equilibrium_beta_normal,equilibrium/beta_normal,equilibrium,"(83,)",float64,"(83,)",-0.06800001114606857,0.3419999888539318,83,48,83,0.5783132530120482,-0.7482950091362,0.2905209705233574,0.5406863987445831,0.5104534035393348,0.8300555408000946,0.9050659537315369,0.2435960052011576,[83],1,1,0
equilibrium_beta_pol,equilibrium/beta_pol,equilibrium,"(83,)",float64,"(83,)",-0.06800001114606857,0.3419999888539318,83,48,83,0.5783132530120482,-0.14876748621463776,0.07994306795299053,0.09840451180934906,0.09664691992414494,0.13381408676505088,0.15136078000068665,0.041674391693710906,[83],1,1,0
equilibrium_whmd,equilibrium/whmd,equilibrium,"(83,)",float64,"(83,)",-0.06800001114606857,0.3419999888539318,83,48,83,0.5783132530120482,28188.345703125,36020.1380859375,145893.4765625,122774.34086100261,174811.0671875,190570.953125,51510.36424836743,[83],1,1,0
