summary_power_nbi_value,summary_power_nbi_time,summary_ip_value,summary_ip_time,dalpha_voltage_proxy,dalpha_voltage_time,soft_x_lower_proxy,soft_x_lower_time,soft_x_upper_proxy,soft_x_upper_time
,-0.06720000505447388,6335.24169921875,-0.06720000505447388,,-0.06720000505447388,,-0.06720000505447388,,-0.06720000505447388
,-0.06695000505447388,6275.9697265625,-0.06695000505447388,,-0.06718000505447387,,-0.06718000505447387,,-0.06718000505447387
,-0.06670000505447388,7426.8662109375,-0.06670000505447388,,-0.06716000505447386,,-0.06716000505447386,,-0.06716000505447386
,-0.06645000505447388,8570.4150390625,-0.06645000505447388,,-0.06714000505447386,,-0.06714000505447386,,-0.06714000505447386
,-0.06620000505447388,7578.17822265625,-0.06620000505447388,,-0.06712000505447385,,-0.06712000505447385,,-0.06712000505447385
,-0.06595000505447388,5981.89208984375,-0.06595000505447388,,-0.06710000505447385,,-0.06710000505447385,,-0.06710000505447385
,-0.06570000505447388,5308.54296875,-0.06570000505447388,,-0.06708000505447384,,-0.06708000505447384,,-0.06708000505447384
,-0.06545000505447388,4666.8623046875,-0.06545000505447388,,-0.06706000505447383,,-0.06706000505447383,,-0.06706000505447383
,-0.06520000505447388,5816.93408203125,-0.06520000505447388,,-0.06704000505447383,,-0.06704000505447383,,-0.06704000505447383
,-0.06495000505447387,7153.228515625,-0.06495000505447387,,-0.06702000505447382,,-0.06702000505447382,,-0.06702000505447382
,-0.06470000505447387,7644.05712890625,-0.06470000505447387,,-0.06700000505447382,,-0.06700000505447382,,-0.06700000505447382
,-0.06445000505447387,7956.6123046875,-0.06445000505447387,,-0.06698000505447381,,-0.06698000505447381,,-0.06698000505447381
,-0.06420000505447387,8379.107421875,-0.06420000505447387,,-0.0669600050544738,,-0.0669600050544738,,-0.0669600050544738
,-0.06395000505447387,6829.4296875,-0.06395000505447387,,-0.0669400050544738,,-0.0669400050544738,,-0.0669400050544738
,-0.06370000505447387,6089.138671875,-0.06370000505447387,,-0.06692000505447379,,-0.06692000505447379,,-0.06692000505447379
,-0.06345000505447387,5277.57568359375,-0.06345000505447387,,-0.06690000505447379,,-0.06690000505447379,,-0.06690000505447379
,-0.06320000505447387,6619.5244140625,-0.06320000505447387,,-0.06688000505447378,,-0.06688000505447378,,-0.06688000505447378
,-0.06295000505447387,6878.1279296875,-0.06295000505447387,,-0.06686000505447377,,-0.06686000505447377,,-0.06686000505447377
