selection_order,shot_id,candidate_class,candidate_score,selection_role,selection_reason,selection_class_bucket,campaign,split_membership,core_required_present,profile_preferred_present,edge_activity_present,supporting_present,missing_core_required,missing_profile_preferred,missing_edge_activity
1,12063,FULL_PROFILE_EDGE_CANDIDATE,97.143,reference_anchor,predefined calibration anchor from five-shot confidence panel,FULL_PROFILE_EDGE_CANDIDATE,M5,val,8,2,2,10,,,
2,11830,PROFILE_DALPHA_CANDIDATE,81.429,profile_no_softx_anchor,predefined calibration anchor from five-shot confidence panel,PROFILE_DALPHA_CANDIDATE,M5,train,8,2,0,9,,,soft_x_rays-horizontal_cam_lower;soft_x_rays-horizontal_cam_upper
3,11876,CORE_DALPHA_GEOMETRY_CANDIDATE,72.143,core_dalpha_geometry_anchor,predefined calibration anchor from five-shot confidence panel,CORE_DALPHA_GEOMETRY_CANDIDATE,M5,train,8,0,2,10,,thomson_scattering-t_e;thomson_scattering-n_e,
4,11768,PARTIAL_DALPHA_CANDIDATE,65.179,partial_dalpha_anchor,predefined calibration anchor from five-shot confidence panel,PARTIAL_DALPHA_CANDIDATE,M5,train,7,0,2,9,summary-power_nbi,thomson_scattering-t_e;thomson_scattering-n_e,
5,11776,LOW_PRIORITY,58.929,low_priority_anchor,predefined calibration anchor from five-shot confidence panel,LOW_PRIORITY,M5,train,6,0,2,9,summary-power_nbi;spectrometer_visible-filter_spectrometer_dalpha_voltage,thomson_scattering-t_e;thomson_scattering-n_e,
6,12069,FULL_PROFILE_EDGE_CANDIDATE,97.143,class_balanced_FULL_PROFILE_EDGE_CANDIDATE,selected to fill target bucket for FULL_PROFILE_EDGE_CANDIDATE,FULL_PROFILE_EDGE_CANDIDATE,M5,train,8,2,2,10,,,
7,12076,FULL_PROFILE_EDGE_CANDIDATE,97.143,class_balanced_FULL_PROFILE_EDGE_CANDIDATE,selected to fill target bucket for FULL_PROFILE_EDGE_CANDIDATE,FULL_PROFILE_EDGE_CANDIDATE,M5,val,8,2,2,10,,,
8,11823,FULL_PROFILE_EDGE_CANDIDATE,96.429,shortage_filler,selected because one or more target classes had insufficient candidates,FULL_PROFILE_EDGE_CANDIDATE,M5,train,8,2,2,9,,,
9,11941,FULL_PROFILE_EDGE_CANDIDATE,96.429,class_balanced_FULL_PROFILE_EDGE_CANDIDATE,selected to fill target bucket for FULL_PROFILE_EDGE_CANDIDATE,FULL_PROFILE_EDGE_CANDIDATE,M5,train,8,2,2,9,,,
10,11946,FULL_PROFILE_EDGE_CANDIDATE,96.429,shortage_filler,selected because one or more target classes had insufficient candidates,FULL_PROFILE_EDGE_CANDIDATE,M5,train,8,2,2,9,,,
11,11996,FULL_PROFILE_EDGE_CANDIDATE,96.429,shortage_filler,selected because one or more target classes had insufficient candidates,FULL_PROFILE_EDGE_CANDIDATE,M5,train,8,2,2,9,,,
12,12007,FULL_PROFILE_EDGE_CANDIDATE,96.429,class_balanced_FULL_PROFILE_EDGE_CANDIDATE,selected to fill target bucket for FULL_PROFILE_EDGE_CANDIDATE,FULL_PROFILE_EDGE_CANDIDATE,M5,val,8,2,2,9,,,
13,12017,FULL_PROFILE_EDGE_CANDIDATE,96.429,shortage_filler,selected because one or more target classes had insufficient candidates,FULL_PROFILE_EDGE_CANDIDATE,M5,val,8,2,2,9,,,
14,12046,FULL_PROFILE_EDGE_CANDIDATE,96.429,class_balanced_FULL_PROFILE_EDGE_CANDIDATE,selected to fill target bucket for FULL_PROFILE_EDGE_CANDIDATE,FULL_PROFILE_EDGE_CANDIDATE,M5,val,8,2,2,9,,,
15,12055,FULL_PROFILE_EDGE_CANDIDATE,96.429,shortage_filler,selected because one or more target classes had insufficient candidates,FULL_PROFILE_EDGE_CANDIDATE,M5,train,8,2,2,9,,,
16,12034,CORE_DALPHA_GEOMETRY_CANDIDATE,72.143,class_balanced_CORE_DALPHA_GEOMETRY_CANDIDATE,selected to fill target bucket for CORE_DALPHA_GEOMETRY_CANDIDATE,CORE_DALPHA_GEOMETRY_CANDIDATE,M5,train,8,0,2,10,,thomson_scattering-t_e;thomson_scattering-n_e,
17,11802,CORE_DALPHA_GEOMETRY_CANDIDATE,71.429,class_balanced_CORE_DALPHA_GEOMETRY_CANDIDATE,selected to fill target bucket for CORE_DALPHA_GEOMETRY_CANDIDATE,CORE_DALPHA_GEOMETRY_CANDIDATE,M5,train,8,0,2,9,,thomson_scattering-t_e;thomson_scattering-n_e,
18,11851,CORE_DALPHA_GEOMETRY_CANDIDATE,71.429,class_balanced_CORE_DALPHA_GEOMETRY_CANDIDATE,selected to fill target bucket for CORE_DALPHA_GEOMETRY_CANDIDATE,CORE_DALPHA_GEOMETRY_CANDIDATE,M5,train,8,0,2,9,,thomson_scattering-t_e;thomson_scattering-n_e,
19,11908,CORE_DALPHA_GEOMETRY_CANDIDATE,71.429,class_balanced_CORE_DALPHA_GEOMETRY_CANDIDATE,selected to fill target bucket for CORE_DALPHA_GEOMETRY_CANDIDATE,CORE_DALPHA_GEOMETRY_CANDIDATE,M5,val,8,0,2,9,,thomson_scattering-t_e;thomson_scattering-n_e,
20,11958,CORE_DALPHA_GEOMETRY_CANDIDATE,71.429,class_balanced_CORE_DALPHA_GEOMETRY_CANDIDATE,selected to fill target bucket for CORE_DALPHA_GEOMETRY_CANDIDATE,CORE_DALPHA_GEOMETRY_CANDIDATE,M5,train,8,0,2,9,,thomson_scattering-t_e;thomson_scattering-n_e,
21,11772,PARTIAL_DALPHA_CANDIDATE,65.179,class_balanced_PARTIAL_DALPHA_CANDIDATE,selected to fill target bucket for PARTIAL_DALPHA_CANDIDATE,PARTIAL_DALPHA_CANDIDATE,M5,train,7,0,2,9,summary-power_nbi,thomson_scattering-t_e;thomson_scattering-n_e,
22,11780,PARTIAL_DALPHA_CANDIDATE,65.179,class_balanced_PARTIAL_DALPHA_CANDIDATE,selected to fill target bucket for PARTIAL_DALPHA_CANDIDATE,PARTIAL_DALPHA_CANDIDATE,M5,train,7,0,2,9,summary-power_nbi,thomson_scattering-t_e;thomson_scattering-n_e,
23,11789,PARTIAL_DALPHA_CANDIDATE,65.179,class_balanced_PARTIAL_DALPHA_CANDIDATE,selected to fill target bucket for PARTIAL_DALPHA_CANDIDATE,PARTIAL_DALPHA_CANDIDATE,M5,train,7,0,2,9,interferometer-n_e_line,thomson_scattering-t_e;thomson_scattering-n_e,
24,11795,PARTIAL_DALPHA_CANDIDATE,65.179,class_balanced_PARTIAL_DALPHA_CANDIDATE,selected to fill target bucket for PARTIAL_DALPHA_CANDIDATE,PARTIAL_DALPHA_CANDIDATE,M5,val,7,0,2,9,interferometer-n_e_line,thomson_scattering-t_e;thomson_scattering-n_e,
25,12027,PARTIAL_DALPHA_CANDIDATE,65.179,class_balanced_PARTIAL_DALPHA_CANDIDATE,selected to fill target bucket for PARTIAL_DALPHA_CANDIDATE,PARTIAL_DALPHA_CANDIDATE,M5,train,7,0,2,9,interferometer-n_e_line,thomson_scattering-t_e;thomson_scattering-n_e,
26,12079,LOW_PRIORITY,16.429,class_balanced_LOW_PRIORITY,selected to fill target bucket for LOW_PRIORITY,LOW_PRIORITY,M5,train,0,0,2,2,summary-power_nbi;interferometer-n_e_line;spectrometer_visible-filter_spectrometer_dalpha_voltage;equilibrium-q95;equilibrium-elongation;equilibrium-triangularity_upper;equilibrium-triangularity_lower;equilibrium-minor_radius,thomson_scattering-t_e;thomson_scattering-n_e,
27,12081,LOW_PRIORITY,16.429,class_balanced_LOW_PRIORITY,selected to fill target bucket for LOW_PRIORITY,LOW_PRIORITY,M5,train,0,0,2,2,summary-power_nbi;interferometer-n_e_line;spectrometer_visible-filter_spectrometer_dalpha_voltage;equilibrium-q95;equilibrium-elongation;equilibrium-triangularity_upper;equilibrium-triangularity_lower;equilibrium-minor_radius,thomson_scattering-t_e;thomson_scattering-n_e,
28,12082,LOW_PRIORITY,16.429,class_balanced_LOW_PRIORITY,selected to fill target bucket for LOW_PRIORITY,LOW_PRIORITY,M5,train,0,0,2,2,summary-power_nbi;interferometer-n_e_line;spectrometer_visible-filter_spectrometer_dalpha_voltage;equilibrium-q95;equilibrium-elongation;equilibrium-triangularity_upper;equilibrium-triangularity_lower;equilibrium-minor_radius,thomson_scattering-t_e;thomson_scattering-n_e,
29,12087,LOW_PRIORITY,16.429,class_balanced_LOW_PRIORITY,selected to fill target bucket for LOW_PRIORITY,LOW_PRIORITY,M5,train,0,0,2,2,summary-power_nbi;interferometer-n_e_line;spectrometer_visible-filter_spectrometer_dalpha_voltage;equilibrium-q95;equilibrium-elongation;equilibrium-triangularity_upper;equilibrium-triangularity_lower;equilibrium-minor_radius,thomson_scattering-t_e;thomson_scattering-n_e,
30,12091,LOW_PRIORITY,16.429,class_balanced_LOW_PRIORITY,selected to fill target bucket for LOW_PRIORITY,LOW_PRIORITY,M5,train,0,0,2,2,summary-power_nbi;interferometer-n_e_line;spectrometer_visible-filter_spectrometer_dalpha_voltage;equilibrium-q95;equilibrium-elongation;equilibrium-triangularity_upper;equilibrium-triangularity_lower;equilibrium-minor_radius,thomson_scattering-t_e;thomson_scattering-n_e,
