subset,variable,chamber_verdict,component_id,component_role,component_size_gaps,component_fraction_gaps,n_valid_rows,n_unique_values,n_gaps,computed_giant_fraction_gaps,chamber_giantRatio,chamber_isolated,chamber_isolatedFraction,chamber_kappa_connect,tailDominance,scale_IQR_or_median,epsilon_at_kappa_max,gap_min,gap_max,gap_mean,lower_value_min,upper_value_max,involved_row_count,involved_shot_count,involved_shots,event_time_min,event_time_max,mean_P_LH_candidate_MW,mean_P_loss_candidate_MW,mean_P_total_candidate_MW,mean_P_total_aux_candidate_MW,mean_dWmhd_dt_candidate_MW,mean_Wmhd_J,mean_n_e_1e20_m3,mean_I_p_MA,mean_B_t_T,mean_q95,mean_kappa,mean_delta,mean_hydrogen_fraction_candidate,mean_helium_fraction_candidate,mean_Z_eff,mean_n_Ryter,mean_P_Ryter,mean_chi_eff_candidate,mean_divertor_signal_candidate,mean_divertor_signal_150_candidate,mapping_priority
all_events,P_loss_candidate_MW,NOT_PROVIDED,1,minor_component,2,0.022727272727272728,89,89,88,0.9659090909090909,,,,,,0.009428350728600488,0.009428350728600488,0.039264200299999774,0.044298574100000376,0.041781387200000075,0.8813865763999998,1.0698325156,4,4,67992;68001;68206;68207,1.91,2.03,0.43776808511006193,0.9743509525499997,1.1409487918751913,0.9816803169999999,0.028567430263313175,11828.831388203902,0.7138678068626142,0.24101451908096236,1.4382042917878581,3.20532746837118,1.5800559704594976,0.3708819800070364,0.7587681626987974,0.07478264607473617,1.6109660018016458,0.39122339726715705,0.36594847346188375,2.3524784682392736,0.10333603845064959,0.0969171136148996,LOW
all_events,P_loss_candidate_MW,NOT_PROVIDED,2,singleton_isolate,1,0.011363636363636364,89,89,88,0.9659090909090909,,,,,,0.009428350728600488,0.009428350728600488,0.07643262230000014,0.07643262230000014,0.07643262230000014,0.9206507766999996,0.9970833989999998,2,2,68206;69807,1.47,1.91,0.33998158925519983,0.9588670878499996,1.0658892002136033,0.9619918512499996,-0.0015813175839538493,10838.443274961988,0.5213245679732197,0.24186508446050994,1.4379674052600042,3.2199373252643557,1.574832450652468,0.3690712953884902,0.3399329290969172,0.04824763190146935,1.8146052147531027,0.3867008395854523,0.3660076773021141,2.9486988439613944,0.046931119448627,0.04352111265301635,LOW
all_events,P_total_aux_candidate_MW,NOT_PROVIDED,1,singleton_isolate,1,0.011363636363636364,89,89,88,0.9886363636363636,,,,,,0.00870062660000026,0.00870062660000026,0.05063711950000005,0.05063711950000005,0.05063711950000005,0.9738933899999996,1.0245305094999997,2,2,68001;69807,1.47,2.03,0.2808193740904627,1.0113086702499996,1.1247169618388124,0.9992119497499996,-0.0252743086253138,8730.664980933774,0.3887989270059316,0.2414580930048974,1.4373945612033863,3.2228603760401393,1.5810301757994147,0.3696187145653224,0.46406508252503925,0.0776819630683287,2.1824187238521593,0.3871896957645756,0.3658260615179735,3.260874950679985,0.06886097499755381,0.04945117087135935,LOW
all_events,P_total_candidate_MW,NOT_PROVIDED,1,singleton_isolate,1,0.01098901098901099,92,92,91,0.989010989010989,,,,,,0.007994693888056958,0.007994693888056958,0.11123292740945345,0.11123292740945345,0.11123292740945345,1.0851471104672985,1.196380037876752,2,2,68001;68002,1.93,2.03,0.36291828674575155,0.9454823915999997,1.1407635741720252,0.9576931242499997,0.0348362261943087,9550.684428689796,0.5431934497390015,0.24112001484102924,1.4377912514406872,3.213742254874406,1.5883490066507675,0.3719257832992644,0.8451385145700525,0.1520454659247984,1.6191985509665683,0.3915496410206041,0.3659573901408107,2.531304332233955,0.1074010664078673,0.0939974689984828,LOW
all_events,chi_eff_candidate,NOT_PROVIDED,1,minor_component,2,0.022727272727272728,89,89,88,0.9659090909090909,,,,,,0.023763208874950648,0.023763208874950648,0.33579226076176916,0.3359663198457352,0.3358792903037522,2.3700845296501187,3.041843110257623,3,3,67992;68001;69668,1.58,2.03,0.31517667005613204,0.8954260905904663,1.0081103442172432,0.8921194249275665,0.01918845974294477,9000.213099536095,0.45317188038343503,0.24071458327710404,1.4408735920539133,3.210334599964202,1.5802597947106902,0.37020460620500995,0.5878000014567204,0.060377599574544666,1.8330847423290877,0.3899900475514615,0.3656463959139629,2.7059928298011986,0.07827031158937657,0.0677755872793645,LOW
all_events,chi_eff_candidate,NOT_PROVIDED,2,singleton_isolate,1,0.011363636363636364,89,89,88,0.9659090909090909,,,,,,0.023763208874950648,0.023763208874950648,0.773855941606493,0.773855941606493,0.773855941606493,3.041843110257623,3.815699051864116,2,2,69668;69807,1.47,1.58,0.20532915510037805,0.8882205764356998,0.8986827267881776,0.8662847311413497,-0.0337365780798103,7869.882973675085,0.24529125064212015,0.2410167015314055,1.4420314356321788,3.2186797454759666,1.5686543737397047,0.3674881771464884,0.08450178528118066,0.025046932649279548,2.1644172981331082,0.38445138794967826,0.3653668451741488,3.4287710810608694,0.0179781239886442,0.01587598710422735,LOW
all_events,divertor_signal_candidate,NOT_PROVIDED,1,minor_component,3,0.03296703296703297,92,92,91,0.9230769230769231,,,,,,0.0014345772886294982,0.0014345772886294982,0.007803256096023906,0.008613254629750308,0.008200277647031068,0.0788568658814768,0.1163856580670225,6,6,67990;68000;68003;68632;69891;69892,1.838,1.96,0.37109397424509244,0.7550298070499998,1.0065762339365587,0.8240649466749999,0.07077511487907737,9934.264488572031,0.5559556925493655,0.22802006873186154,1.4373100060563615,3.5051058425576636,1.5836107515299271,0.3713148949429766,0.735387116090806,0.08232830546519626,1.3762462945478866,0.37952533189253906,0.3597312573269189,2.00893634158696,0.09972709841025997,0.10182286345597097,LOW
all_events,divertor_signal_candidate,NOT_PROVIDED,2,minor_component,2,0.02197802197802198,92,92,91,0.9230769230769231,,,,,,0.0014345772886294982,0.0014345772886294982,0.005860084653003195,0.006071768956967899,0.005965926804985547,0.0649954408816277,0.138759411193881,4,4,66445;68006;68719;69892,1.112,1.948,0.39074094076806476,0.7172623119166666,0.892363050046447,0.7977580243499998,0.08417169890718695,11640.53789939715,0.6039190496337805,0.22418671099580217,1.4309123810031121,3.571013427528984,1.577491963129023,0.368725579425499,0.48015973553891705,0.0626917774664224,1.1351087756853342,0.37596693763862743,0.3562572758599152,1.6777601315213158,0.10182450496176318,0.1070561725484983,LOW
all_events,divertor_signal_candidate,NOT_PROVIDED,3,singleton_isolate,1,0.01098901098901099,92,92,91,0.9230769230769231,,,,,,0.0014345772886294982,0.0014345772886294982,0.01206041412240999,0.01206041412240999,0.01206041412240999,0.1206272281145031,0.1326876422369131,2,2,66445;68207,1.948,1.99,0.4654003681543961,0.888870129075,1.121297382460605,0.9073673087749998,0.0403614239212285,12635.473765980112,0.7744323494839993,0.20638170977145515,1.4261354815114,3.889263185587796,1.5628318813714115,0.3677675195715644,0.46276440812254177,0.048406232189211654,1.4013186540770923,0.36230100690780287,0.34671570766381565,1.9435460255385466,0.1266574351757081,0.13478610075918213,LOW
all_events,divertor_signal_candidate,NOT_PROVIDED,4,singleton_isolate,1,0.01098901098901099,92,92,91,0.9230769230769231,,,,,,0.0014345772886294982,0.0014345772886294982,0.1028598548933089,0.1028598548933089,0.1028598548933089,0.138759411193881,0.2416192660871899,2,2,68719;68728,1.669,1.917,0.4628866306247789,0.7965923323000001,0.8430373447955224,0.908848798,0.07406754592213224,12635.595818325553,0.7639034537084508,0.24182144037624376,1.4369040925009218,3.1938045592535103,1.5723976296779911,0.36902894592517377,0.4607407909008136,0.02519618914435695,1.076178249438241,0.3895789573092999,0.3661853572236631,1.984630219231834,0.19018933864053544,0.17622021296097445,LOW
