summary_power_nbi_value,summary_power_nbi_time,summary_ip_value,summary_ip_time,interferometer_n_e_line_value,interferometer_n_e_line_time,dalpha_voltage_proxy,dalpha_voltage_time,soft_x_lower_proxy,soft_x_lower_time,soft_x_upper_proxy,soft_x_upper_time
,-0.06940000504255295,817.6162109375,-0.06940000504255295,,-0.06940000504255295,,-0.06940000504255295,,-0.06940000504255295,,-0.06940000504255295
,-0.06915000504255295,1172.69970703125,-0.06915000504255295,,-0.06915000504255295,,-0.06938000504255294,,-0.06938000504255294,,-0.06938000504255294
,-0.06890000504255295,805.6016845703125,-0.06890000504255295,,-0.06890000504255295,,-0.06936000504255294,,-0.06936000504255294,,-0.06936000504255294
,-0.06865000504255295,1948.7779541015625,-0.06865000504255295,,-0.06865000504255295,,-0.06934000504255293,,-0.06934000504255293,,-0.06934000504255293
,-0.06840000504255295,5562.38232421875,-0.06840000504255295,,-0.06840000504255295,,-0.06932000504255292,,-0.06932000504255292,,-0.06932000504255292
,-0.06815000504255295,5259.9169921875,-0.06815000504255295,,-0.06815000504255295,,-0.06930000504255292,,-0.06930000504255292,,-0.06930000504255292
,-0.06790000504255295,5290.28662109375,-0.06790000504255295,,-0.06790000504255295,,-0.06928000504255291,,-0.06928000504255291,,-0.06928000504255291
,-0.06765000504255295,4802.12451171875,-0.06765000504255295,,-0.06765000504255295,,-0.0692600050425529,,-0.0692600050425529,,-0.0692600050425529
,-0.06740000504255295,3456.39990234375,-0.06740000504255295,,-0.06740000504255295,,-0.0692400050425529,,-0.0692400050425529,,-0.0692400050425529
,-0.06715000504255295,3393.059326171875,-0.06715000504255295,,-0.06715000504255295,,-0.06922000504255289,,-0.06922000504255289,,-0.06922000504255289
,-0.06690000504255295,4170.75,-0.06690000504255295,,-0.06690000504255295,,-0.06920000504255289,,-0.06920000504255289,,-0.06920000504255289
,-0.06665000504255295,3964.83203125,-0.06665000504255295,,-0.06665000504255295,,-0.06918000504255288,,-0.06918000504255288,,-0.06918000504255288
,-0.06640000504255295,3832.450927734375,-0.06640000504255295,,-0.06640000504255295,,-0.06916000504255287,,-0.06916000504255287,,-0.06916000504255287
,-0.06615000504255295,1872.06494140625,-0.06615000504255295,,-0.06615000504255295,,-0.06914000504255287,,-0.06914000504255287,,-0.06914000504255287
