soft_x_lower_proxy,soft_x_lower_time,soft_x_upper_proxy,soft_x_upper_time
,-0.0690000057220459,,-0.0690000057220459
,-0.06898000572204589,,-0.06898000572204589
,-0.06896000572204589,,-0.06896000572204589
,-0.06894000572204588,,-0.06894000572204588
,-0.06892000572204587,,-0.06892000572204587
,-0.06890000572204587,,-0.06890000572204587
,-0.06888000572204586,,-0.06888000572204586
,-0.06886000572204586,,-0.06886000572204586
,-0.06884000572204585,,-0.06884000572204585
,-0.06882000572204584,,-0.06882000572204584
,-0.06880000572204584,,-0.06880000572204584
,-0.06878000572204583,,-0.06878000572204583
,-0.06876000572204582,,-0.06876000572204582
,-0.06874000572204582,,-0.06874000572204582
,-0.06872000572204581,,-0.06872000572204581
,-0.0687000057220458,,-0.0687000057220458
,-0.0686800057220458,,-0.0686800057220458
,-0.0686600057220458,,-0.0686600057220458
,-0.06864000572204579,,-0.06864000572204579
,-0.06862000572204578,,-0.06862000572204578
,-0.06860000572204578,,-0.06860000572204578
,-0.06858000572204577,,-0.06858000572204577
,-0.06856000572204576,,-0.06856000572204576
,-0.06854000572204576,,-0.06854000572204576
,-0.06852000572204575,,-0.06852000572204575
,-0.06850000572204575,,-0.06850000572204575
,-0.06848000572204574,,-0.06848000572204574
,-0.06846000572204573,,-0.06846000572204573
,-0.06844000572204573,,-0.06844000572204573
,-0.06842000572204572,,-0.06842000572204572
,-0.06840000572204571,,-0.06840000572204571
,-0.06838000572204571,,-0.06838000572204571
,-0.0683600057220457,,-0.0683600057220457
,-0.0683400057220457,,-0.0683400057220457
,-0.06832000572204569,,-0.06832000572204569
,-0.06830000572204568,,-0.06830000572204568
,-0.06828000572204568,,-0.06828000572204568
,-0.06826000572204567,,-0.06826000572204567
,-0.06824000572204567,,-0.06824000572204567
,-0.06822000572204566,,-0.06822000572204566
,-0.06820000572204565,,-0.06820000572204565
,-0.06818000572204565,,-0.06818000572204565
,-0.06816000572204564,,-0.06816000572204564
,-0.06814000572204564,,-0.06814000572204564
,-0.06812000572204563,,-0.06812000572204563
,-0.06810000572204562,,-0.06810000572204562
,-0.06808000572204562,,-0.06808000572204562
,-0.06806000572204561,,-0.06806000572204561
,-0.0680400057220456,,-0.0680400057220456
,-0.0680200057220456,,-0.0680200057220456
,-0.06800000572204559,,-0.06800000572204559
,-0.06798000572204559,,-0.06798000572204559
,-0.06796000572204558,,-0.06796000572204558
,-0.06794000572204557,,-0.06794000572204557
,-0.06792000572204557,,-0.06792000572204557
,-0.06790000572204556,,-0.06790000572204556
,-0.06788000572204556,,-0.06788000572204556
,-0.06786000572204555,,-0.06786000572204555
,-0.06784000572204554,,-0.06784000572204554
