time_s,dalpha_proxy,softx_lower_proxy,softx_upper_proxy,softx_combined_proxy,te_profile_gradient_proxy,ne_profile_gradient_proxy,profile_gradient_proxy,nbi_proxy,density_proxy,m_edge_raw,m_edge_conf,Q_diag,P_missing_critical,m_edge_conf_state
-0.0680000111460685,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0670000111460685,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0660000111460685,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0650000111460685,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0640000111460685,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0630000111460685,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0620000111460685,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0610000111460685,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0600000111460685,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0590000111460685,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0580000111460685,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0570000111460685,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0560000111460685,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0550000111460685,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0540000111460685,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0530000111460685,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0520000111460685,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0510000111460685,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0500000111460685,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0490000111460685,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0480000111460685,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0470000111460685,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0460000111460685,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0450000111460685,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0440000111460685,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0430000111460685,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0420000111460685,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0410000111460685,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0400000111460685,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0390000111460685,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0380000111460685,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0370000111460685,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0360000111460685,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0350000111460685,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
