rank,shot_id,campaign,split_membership,status,candidate_score,candidate_class,core_required_present,core_required_total,profile_preferred_present,profile_preferred_total,edge_activity_present,edge_activity_total,supporting_present,supporting_total,has_core_required,has_thomson_profiles,has_soft_xray,metadata_key_count,signal_like_count,sources,missing_core_required,missing_profile_preferred,missing_edge_activity,error,has__charge_exchange-t_i,has__charge_exchange-v_i,has__equilibrium-beta_normal,has__equilibrium-beta_pol,has__equilibrium-elongation,has__equilibrium-minor_radius,has__equilibrium-psi,has__equilibrium-q,has__equilibrium-q95,has__equilibrium-triangularity_lower,has__equilibrium-triangularity_upper,has__equilibrium-whmd,has__gas_injection-total_injected,has__interferometer-n_e_line,has__magnetics-b_field_pol_probe_obr_field,has__magnetics-b_field_tor_probe_omaha_voltage,has__magnetics-ip,has__pf_active-coil_current,has__pf_active-solenoid_current,has__soft_x_rays-horizontal_cam_lower,has__soft_x_rays-horizontal_cam_upper,has__spectrometer_visible-filter_spectrometer_dalpha_voltage,has__summary-ip,has__summary-power_nbi,has__thomson_scattering-n_e,has__thomson_scattering-t_e,shape__equilibrium-elongation,shape__equilibrium-minor_radius,shape__equilibrium-q95,shape__equilibrium-triangularity_lower,shape__equilibrium-triangularity_upper,shape__interferometer-n_e_line,shape__soft_x_rays-horizontal_cam_lower,shape__soft_x_rays-horizontal_cam_upper,shape__spectrometer_visible-filter_spectrometer_dalpha_voltage,shape__summary-power_nbi,shape__thomson_scattering-n_e,shape__thomson_scattering-t_e
1,12063,M5,val,OK,97.143,FULL_PROFILE_EDGE_CANDIDATE,8,8,2,2,2,2,10,14,True,True,True,211,95,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary;thomson_scattering,,,,,False,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,[86],[86],[86],[86],[86],[1712],"[18, 21400]","[18, 21400]","[3, 21400]",[1712],"[120, 86]","[120, 86]"
2,12065,M5,train,OK,97.143,FULL_PROFILE_EDGE_CANDIDATE,8,8,2,2,2,2,10,14,True,True,True,211,95,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary;thomson_scattering,,,,,False,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,[63],[63],[63],[63],[63],[1256],"[18, 15700]","[18, 15700]","[3, 15700]",[1256],"[120, 63]","[120, 63]"
3,12069,M5,train,OK,97.143,FULL_PROFILE_EDGE_CANDIDATE,8,8,2,2,2,2,10,14,True,True,True,211,95,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary;thomson_scattering,,,,,False,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,[68],[68],[68],[68],[68],[1351],"[18, 16881]","[18, 16881]","[3, 16881]",[1351],"[120, 68]","[120, 68]"
4,12075,M5,train,OK,97.143,FULL_PROFILE_EDGE_CANDIDATE,8,8,2,2,2,2,10,14,True,True,True,211,95,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary;thomson_scattering,,,,,False,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,[80],[80],[80],[80],[80],[1592],"[18, 19890]","[18, 19890]","[3, 19890]",[1592],"[120, 80]","[120, 80]"
5,12076,M5,val,OK,97.143,FULL_PROFILE_EDGE_CANDIDATE,8,8,2,2,2,2,10,14,True,True,True,211,95,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary;thomson_scattering,,,,,False,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,[75],[75],[75],[75],[75],[1490],"[18, 18620]","[18, 18620]","[3, 18620]",[1490],"[120, 75]","[120, 75]"
6,12077,M5,train,OK,97.143,FULL_PROFILE_EDGE_CANDIDATE,8,8,2,2,2,2,10,14,True,True,True,211,95,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary;thomson_scattering,,,,,False,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,[77],[77],[77],[77],[77],[1526],"[18, 19070]","[18, 19070]","[3, 19070]",[1526],"[120, 77]","[120, 77]"
7,11823,M5,train,OK,96.429,FULL_PROFILE_EDGE_CANDIDATE,8,8,2,2,2,2,9,14,True,True,True,227,103,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary;thomson_scattering,,,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,[96],[96],[96],[96],[96],[1913],"[18, 23910]","[18, 23910]","[3, 23910]",[1913],"[120, 96]","[120, 96]"
8,11824,M5,val,OK,96.429,FULL_PROFILE_EDGE_CANDIDATE,8,8,2,2,2,2,9,14,True,True,True,227,103,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary;thomson_scattering,,,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,[97],[97],[97],[97],[97],[1937],"[18, 24211]","[18, 24211]","[3, 24211]",[1937],"[120, 97]","[120, 97]"
9,11825,M5,train,OK,96.429,FULL_PROFILE_EDGE_CANDIDATE,8,8,2,2,2,2,9,14,True,True,True,223,101,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary;thomson_scattering,,,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,[100],[100],[100],[100],[100],[1984],"[18, 24800]","[18, 24800]","[3, 24800]",[1984],"[120, 100]","[120, 100]"
10,11826,M5,train,OK,96.429,FULL_PROFILE_EDGE_CANDIDATE,8,8,2,2,2,2,9,14,True,True,True,227,103,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary;thomson_scattering,,,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,[90],[90],[90],[90],[90],[1792],"[18, 22400]","[18, 22400]","[3, 22400]",[1792],"[120, 90]","[120, 90]"
11,11827,M5,train,OK,96.429,FULL_PROFILE_EDGE_CANDIDATE,8,8,2,2,2,2,9,14,True,True,True,223,101,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary;thomson_scattering,,,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,[99],[99],[99],[99],[99],[1966],"[18, 24570]","[18, 24570]","[3, 24570]",[1966],"[120, 99]","[120, 99]"
12,11829,M5,train,OK,96.429,FULL_PROFILE_EDGE_CANDIDATE,8,8,2,2,2,2,9,14,True,True,True,227,103,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary;thomson_scattering,,,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,[99],[99],[99],[99],[99],[1963],"[18, 24530]","[18, 24530]","[3, 24530]",[1963],"[120, 99]","[120, 99]"
13,11939,M5,train,OK,96.429,FULL_PROFILE_EDGE_CANDIDATE,8,8,2,2,2,2,9,14,True,True,True,227,103,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary;thomson_scattering,,,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,[104],[104],[104],[104],[104],[2064],"[18, 25791]","[18, 25791]","[3, 25791]",[2064],"[120, 104]","[120, 104]"
