column,dtype,count,missing,unique,min,max,mean
A,float64,92,0,3,1.0,4.0,1.9782608695652173
ABEAM,float64,91,1,2,1.0,2.0,1.5274725274725274
AMIN,float64,92,0,92,0.2214405062523755,0.23678136007352305,0.22393559069116334
BAFFLES,float64,92,0,2,0.0,33.0,0.717391304347826
BENMHD,float64,92,0,92,0.6305812802351015,1.3958452256335563,0.9260349616745402
BENMHD_A,float64,90,2,90,0.6035522537593594,1.6704904891819785,0.9091864844058283
BT,float64,92,0,92,1.4101503828285042,1.4469436227203918,1.4335332879676463
CFI_A,float64,90,2,90,-0.0,0.16398551848370368,0.06126945492651254
CFI_AS,float64,90,2,90,-1.6060817359936501,1.1397960558648779,-0.1340641893108365
CHIEFF,float64,89,3,89,0.7408420423292928,3.815699051864116,1.5177900982015253
COND,uint8,92,0,1,1.0,1.0,1.0
DELTA,float64,92,0,92,0.35717099092223425,0.4169881858608939,0.37213985947693534
DELTAL,float64,92,0,92,0.5118281868371096,0.6481966078281401,0.5884267601225603
DELTAU,float64,92,0,92,0.1350035342303189,0.2101046788421544,0.15585295851206682
DWMHDMW,float64,92,0,92,-0.11324104867726031,0.1373462091183295,0.0678560275490559
DWMHDMWSTD,float64,92,0,92,0.0008455248331341794,0.0476887078824101,0.014263266937158514
DWMHDMWSTD_A,float64,90,2,90,6.403194590572092e-05,0.016098944934694062,0.0034827427235697914
DWMHDMW_A,float64,90,2,90,-0.052572017999999915,0.20448805809999987,0.06578602170523663
FLUXGAS,float64,92,0,92,9.495062416860322e+16,1.1020895605517881e+21,1.796329412234192e+20
FRINGES,float64,92,0,92,1.227431661041919,5.451845793810207,2.739339748795915
GAPOUT,float64,92,0,92,0.020408874945206972,0.04344938091798251,0.03646544723557011
GASTOT,float64,92,0,92,1.4371039595131121e+20,2.5016411000973044e+21,9.586719482914127e+20
HDR,float64,89,3,89,0.017028641288635432,5531.11245924948,114.18745290971171
HDRSTD,float64,89,3,89,0.0026289352217476244,3795.843199661838,69.08351053990945
HERATE,float64,92,0,92,4422292597354696.5,4.301622534216633e+20,2.8673671999611806e+19
HETOT,float64,92,0,92,9685355601421688.0,2.6212845484835167e+20,1.7629625400973963e+19
ILH,float64,92,0,2,0.0,1.0,0.9130434782608695
IP,float64,92,0,92,0.11211614431747512,0.24689180892412932,0.2236568637411871
KAPPA,float64,92,0,92,1.5364905433221296,1.6469934528524226,1.5907454034439694
MDBTSM,float64,92,0,1,0.02,0.02,0.019999999999999997
MISSION,float64,92,0,3,1.0,3.0,1.3478260869565217
NEL,float64,92,0,92,2.246836237095592e+19,9.438889516379524e+19,4.878226953345034e+19
NEL20,float64,92,0,92,0.2246836237095592,0.9438889516379524,0.48782269533450334
NEL20STD,float64,92,0,92,0.0028833636628567915,0.031925614682804714,0.01054439802189659
NELSTD,float64,92,0,92,2.8833636628567917e+17,3.1925614682804716e+18,1.0544398021896589e+18
NEUTRATE,float64,17,75,17,-211634902910.15344,7792759500890.282,1308264339994.5632
NNG,float64,92,0,92,0.1487813071172058,0.6079929870197353,0.3485664187615093
PDHEII,float64,92,0,91,0.012695332847063555,0.271618004582508,0.05323054464209771
PDIV,float64,92,0,92,0.009649242563622104,0.24161926608718995,0.04865619258780227
PDIV150,float64,92,0,92,0.011498894581487819,0.21173959853260732,0.05093899939626209
PECH,float64,90,2,3,0.0,860654.0694999996,16355.807849999994
PLH,float64,92,0,92,0.1945875518458535,0.536237461962208,0.3363945510152199
PLMW,float64,89,3,89,0.2532235331,1.0698325156,0.5738137613165323
PLMWSTD,float64,89,3,89,0.0006321526840073769,0.05304812045365169,0.011380101277576316
PMID,float64,92,0,92,0.000988347273181163,0.00852975649087576,0.00293118398841754
PNBI,float64,92,0,91,-0.0,974982.1420138025,611129.473666844
PNBIMW_A,float64,89,3,88,-0.0,0.9282978424999998,0.5715623851235954
POHMSMOOTH,float64,92,0,92,61245.66805517357,281910.39968437987,170732.73360594944
