time_s,dalpha_proxy,softx_lower_proxy,softx_upper_proxy,softx_combined_proxy,te_profile_gradient_proxy,ne_profile_gradient_proxy,profile_gradient_proxy,nbi_proxy,density_proxy,m_edge_raw,m_edge_conf,Q_diag,P_missing_critical,m_edge_conf_state
-0.0692000091075897,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0682000091075897,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0672000091075897,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0662000091075897,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0652000091075897,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0642000091075897,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0632000091075897,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0622000091075897,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0612000091075897,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0602000091075897,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0592000091075897,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0582000091075897,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0572000091075897,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0562000091075897,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0552000091075897,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0542000091075897,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0532000091075897,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0522000091075897,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0512000091075897,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0502000091075897,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0492000091075897,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0482000091075897,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0472000091075897,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0462000091075897,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0452000091075897,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0442000091075897,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0432000091075897,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0422000091075897,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0412000091075897,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0402000091075896,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0392000091075896,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0382000091075896,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0372000091075896,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0362000091075896,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0352000091075896,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0342000091075896,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0332000091075896,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0322000091075896,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0312000091075896,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0302000091075896,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0292000091075896,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
-0.0282000091075896,,,,,,,,,,,-1.12,0.06,1.0,low_confidence_uninterpretable
