case_id,base_v250_verdict,v251_scale_mode,median_gap,iqr_raw,relative_iqr_to_median,iqr_effective_zero,kappa_connect_exact,expected_v251_final_verdict,expected_exact_probe
AFF01,HARD_FRAGMENTATION,IQR,0.1428645815899685,0.032108082015851025,0.22474487139159166,False,9.898979485566088,FULL_PERCOLATION,True
AFF02,FULL_PERCOLATION,IQR,0.1749726636058142,0.17497266360581332,0.9999999999999949,False,1.8164965809277547,FULL_PERCOLATION,False
AFF03,FULL_PERCOLATION,IQR,0.1749726636058142,0.1749726636058142,1.0,False,1.816496580927744,FULL_PERCOLATION,False
AFF04,HARD_FRAGMENTATION,MEDIAN_FALLBACK,0.3178372451957827,1.0658141036401503e-14,3.3533329392646406e-14,True,4.449489742783171,FULL_PERCOLATION,True
AFF05,FULL_PERCOLATION,IQR,0.05452260427447975,0.05452260427447886,0.9999999999999837,False,15.07364562025133,FULL_PERCOLATION,False
AFF06,FULL_PERCOLATION,IQR,0.09783794741964158,0.18617992473513034,1.9029418507379026,False,1.707151002708564,FULL_PERCOLATION,False
AFN01,TAIL_FRAGMENTATION,IQR,0.28572916317993347,0.2857291631799326,0.9999999999999969,False,2.224744871391589,FULL_PERCOLATION,True
AFN02,FULL_PERCOLATION,IQR,0.1428645815899685,0.17497266360581243,1.2247448713915419,False,1.8164965809277638,FULL_PERCOLATION,False
AFN03,FULL_PERCOLATION,IQR,0.09783794741964158,0.09783794741964336,1.0000000000000182,False,8.400160027904342,FULL_PERCOLATION,False
AFN04,FULL_PERCOLATION,IQR,0.28572916317993347,0.2857291631799299,0.9999999999999876,False,2.724744871391613,FULL_PERCOLATION,False
AFN05,FULL_PERCOLATION,IQR,0.0321080820158528,0.857187489539804,26.696938456697062,False,1.1123724356957838,FULL_PERCOLATION,False
AFN06,HARD_FRAGMENTATION,IQR,0.1428645815899685,0.207080745621667,1.4494897427831583,False,3.0696938456698932,FULL_PERCOLATION,True
INT01,FULL_PERCOLATION,IQR,0.06566703451737155,0.06566703451736977,0.9999999999999729,False,4.380920724776831,FULL_PERCOLATION,False
INT02,FULL_PERCOLATION,IQR,0.023716526617317157,0.17571049807957806,7.408778735385268,False,1.2699500243471478,FULL_PERCOLATION,False
INT03,HARD_FRAGMENTATION,IQR,0.07696104113612989,0.04905937694921825,0.6374572930015494,False,10.412395255136447,FULL_PERCOLATION,True
INT04,FULL_PERCOLATION,IQR,0.04082199452025481,0.04082199452025481,1.0,False,7.047232155916351,FULL_PERCOLATION,False
INT05,FULL_PERCOLATION,IQR,0.036367644170874236,0.08141539148550869,2.2386765307913965,False,3.533509662027308,FULL_PERCOLATION,False
INT06,FULL_PERCOLATION,IQR,0.028170876966696845,0.04879016416943216,1.7319362910537397,False,5.896312860369885,FULL_PERCOLATION,False
R1F01,FULL_PERCOLATION,MEDIAN_FALLBACK,1.0,0.0,0.0,True,0.0,FULL_PERCOLATION,False
R1F02,FULL_PERCOLATION,MEDIAN_FALLBACK,2.0,0.0,0.0,True,0.0,FULL_PERCOLATION,False
R1F03,FULL_PERCOLATION,MEDIAN_FALLBACK,3.0,0.0,0.0,True,0.0,FULL_PERCOLATION,False
R1F04,FULL_PERCOLATION,MEDIAN_FALLBACK,5.0,0.0,0.0,True,0.0,FULL_PERCOLATION,False
R1F05,FULL_PERCOLATION,MEDIAN_FALLBACK,7.0,0.0,0.0,True,0.0,FULL_PERCOLATION,False
R1F06,FULL_PERCOLATION,MEDIAN_FALLBACK,11.0,0.0,0.0,True,0.0,FULL_PERCOLATION,False
R1N01,FULL_PERCOLATION,MEDIAN_FALLBACK,1.0,0.0,0.0,True,1.0,FULL_PERCOLATION,False
R1N02,FULL_PERCOLATION,MEDIAN_FALLBACK,1.0,0.0,0.0,True,1.0,FULL_PERCOLATION,False
R1N03,FULL_PERCOLATION,MEDIAN_FALLBACK,1.0,0.0,0.0,True,1.0,FULL_PERCOLATION,False
R1N04,FULL_PERCOLATION,MEDIAN_FALLBACK,1.0,0.0,0.0,True,1.0,FULL_PERCOLATION,False
R1N05,FULL_PERCOLATION,MEDIAN_FALLBACK,1.0,0.0,0.0,True,1.0,FULL_PERCOLATION,False
R1N06,FULL_PERCOLATION,MEDIAN_FALLBACK,1.0,0.0,0.0,True,1.0,FULL_PERCOLATION,False
