value,object_id,layer,pdg_name,symbol,category,Q_over_e,closure_class,route_class,encoding,source_file,notes
3,L_C_002,C_composite_closures,neutron,n,baryon,0,COMPOSITE_NEUTRAL_CLOSURE,COMPOSITE_CLOSURE,closure_class_code,rpp2026-sum-baryons.pdf,composite neutral closure
3,L_C_006,C_composite_closures,neutral pion,pi0,meson,0,COMPOSITE_NEUTRAL_CLOSURE,COMPOSITE_CLOSURE,closure_class_code,rpp2026-sum-mesons.pdf,meson neutral closure
3,L_C_009,C_composite_closures,neutral kaon,K0,meson,0,COMPOSITE_NEUTRAL_CLOSURE,COMPOSITE_CLOSURE,closure_class_code,rpp2026-sum-mesons.pdf,strange meson neutral closure
4,L_C_001,C_composite_closures,proton,p,baryon,+1,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_CLOSURE,closure_class_code,rpp2026-sum-baryons.pdf,stable composite +1 closure
4,L_C_003,C_composite_closures,Delta++,Delta++,baryon resonance,+2,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_CLOSURE,closure_class_code,rpp2026-sum-baryons.pdf,composite +2 closure
4,L_C_004,C_composite_closures,Omega-,Omega-,baryon,-1,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_CLOSURE,closure_class_code,rpp2026-sum-baryons.pdf,strange-baryon -1 closure
4,L_C_005,C_composite_closures,charged pion plus,pi+,meson,+1,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_CLOSURE,closure_class_code,rpp2026-sum-mesons.pdf,meson +1 closure
4,L_C_007,C_composite_closures,charged pion minus,pi-,meson,-1,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_CLOSURE,closure_class_code,rpp2026-sum-mesons.pdf,meson -1 closure
4,L_C_008,C_composite_closures,charged kaon plus,K+,meson,+1,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_CLOSURE,closure_class_code,rpp2026-sum-mesons.pdf,strange meson +1 closure
4,L_C_010,C_composite_closures,charged kaon minus,K-,meson,-1,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_CLOSURE,closure_class_code,rpp2026-sum-mesons.pdf,strange meson -1 closure
