value,object_id,layer,pdg_name,symbol,category,Q_over_e,closure_class,route_class,encoding,source_file,notes
-1,L_A_001,A_external_closures,electron,e-,charged lepton,-1,FREE_INTEGER_CLOSURE,EXTERNAL_CLOSURE,signed_charge,rpp2026-sum-leptons.pdf,primitive negative external closure
-1,L_A_003,A_external_closures,muon,mu-,charged lepton,-1,FREE_INTEGER_CLOSURE,EXTERNAL_CLOSURE,signed_charge,rpp2026-sum-leptons.pdf,second-generation charged lepton closure
-1,L_A_005,A_external_closures,tau,tau-,charged lepton,-1,FREE_INTEGER_CLOSURE,EXTERNAL_CLOSURE,signed_charge,rpp2026-sum-leptons.pdf,third-generation charged lepton closure
-1,L_A_011,A_external_closures,W boson,W-,weak gauge boson,-1,FREE_INTEGER_CLOSURE,EXTERNAL_CLOSURE,signed_charge,rpp2026-sum-gauge-higgs-bosons.pdf,negative charged weak carrier
0,L_A_007,A_external_closures,electron neutrino,nu_e,neutral lepton,0,FREE_NEUTRAL_CLOSURE,EXTERNAL_CLOSURE,signed_charge,rpp2026-sum-leptons.pdf,primitive neutral lepton closure
0,L_A_008,A_external_closures,muon neutrino,nu_mu,neutral lepton,0,FREE_NEUTRAL_CLOSURE,EXTERNAL_CLOSURE,signed_charge,rpp2026-sum-leptons.pdf,neutral second-generation closure
0,L_A_009,A_external_closures,tau neutrino,nu_tau,neutral lepton,0,FREE_NEUTRAL_CLOSURE,EXTERNAL_CLOSURE,signed_charge,rpp2026-sum-leptons.pdf,neutral third-generation closure
0,L_A_010,A_external_closures,photon,gamma,gauge boson,0,FREE_NEUTRAL_CLOSURE,EXTERNAL_CLOSURE,signed_charge,rpp2026-sum-gauge-higgs-bosons.pdf,electromagnetic neutral carrier
0,L_A_013,A_external_closures,Z boson,Z,weak gauge boson,0,FREE_NEUTRAL_CLOSURE,EXTERNAL_CLOSURE,signed_charge,rpp2026-sum-gauge-higgs-bosons.pdf,neutral weak carrier
0,L_A_014,A_external_closures,Higgs boson,H,scalar boson,0,FREE_NEUTRAL_CLOSURE,EXTERNAL_CLOSURE,signed_charge,rpp2026-sum-gauge-higgs-bosons.pdf,neutral scalar closure
1,L_A_002,A_external_closures,positron,e+,charged antilepton,+1,FREE_INTEGER_CLOSURE,EXTERNAL_CLOSURE,signed_charge,rpp2026-sum-leptons.pdf,primitive positive external closure
1,L_A_004,A_external_closures,antimuon,mu+,charged antilepton,+1,FREE_INTEGER_CLOSURE,EXTERNAL_CLOSURE,signed_charge,rpp2026-sum-leptons.pdf,positive second-generation closure
1,L_A_006,A_external_closures,antitau,tau+,charged antilepton,+1,FREE_INTEGER_CLOSURE,EXTERNAL_CLOSURE,signed_charge,rpp2026-sum-leptons.pdf,positive third-generation closure
1,L_A_012,A_external_closures,W boson,W+,weak gauge boson,+1,FREE_INTEGER_CLOSURE,EXTERNAL_CLOSURE,signed_charge,rpp2026-sum-gauge-higgs-bosons.pdf,positive charged weak carrier
