null_index,seed,swap_attempts,swap_accepted,mobility_fraction,mobile_groups,transition_groups,graph_signature,matches_real_graph,scale_persistence,time_persistence,stitch_defect
1,20260905,2185,2157,0.9871853546910755,4,4,aebb91130d4485f676ec40e711ab9ed19ea641b555d49a1d87dd401a95212576,False,0.425417661097852,,
2,20260906,2185,2159,0.9881006864988559,4,4,7f14896ed9ae5fa1382accb578638ea47e400ee39ab5af5a0c879cc8c5c008ef,False,0.42183770883054894,,
3,20260907,2185,2153,0.9853546910755149,4,4,3532ead8865afc1dd892201df16eab1acc9b859df53611293c6a3b57cf0a55de,False,0.4278042959427208,,
4,20260908,2185,2160,0.988558352402746,4,4,124eaba03ccd8786566a9277dac949e3ec2340646d94467b3ac75aba66ab713d,False,0.42601431980906923,,
5,20260909,2185,2156,0.9867276887871853,4,4,33872e5856245b1ceaf74df2acf9c8eb49d5cf9f33cb368b782a215bc50d7231,False,0.4224343675417661,,
6,20260910,2185,2153,0.9853546910755149,4,4,6648c66b814d62a5f5066b0288a47805b1afe8425d456a0d7d73ff5a87a35fbf,False,0.4182577565632458,,
7,20260911,2185,2167,0.9917620137299771,4,4,e548f1a1aac21ed95015b99be8787213a56174b58656709c5163cdd458c890ff,False,0.42720763723150357,,
8,20260912,2185,2161,0.9890160183066361,4,4,a6e05ab9a55985a008818865e238a41bfddf1839d36a04014f556e2859de6bbb,False,0.425417661097852,,
9,20260913,2185,2164,0.9903890160183066,4,4,07ff2630c315c9ed500732b6c3590b6a8427aee73fd58d682f06e064cedaf7e0,False,0.4295942720763723,,
10,20260914,2185,2168,0.9922196796338673,4,4,944708b570cdb5d7bad7dbedefd447b0a6119079c940561bb2acef18628f1283,False,0.42482100238663484,,
11,20260915,2185,2164,0.9903890160183066,4,4,662df32ed6e913750f44b86e5e307e7e780111802ad31f5940d504e1e3914532,False,0.42422434367541767,,
12,20260916,2185,2162,0.9894736842105263,4,4,69caade0321d76b4890beca10619f2efe6de086e18b2d9f0b62b8ca1305dd14f,False,0.4194510739856802,,
13,20260917,2185,2162,0.9894736842105263,4,4,5041656165238d79bdcd8bac08def578cdbb112b6c6c78a8e36dd5c298c48301,False,0.41766109785202865,,
14,20260918,2185,2156,0.9867276887871853,4,4,e6c4df80c5382d97c3137d35f12a018e671c033f66415e698aec7b6d2be34f9a,False,0.42482100238663484,,
15,20260919,2185,2163,0.9899313501144165,4,4,3d050a0746f39782e8353e2cf6bbbd1975b6e1ffbe6b61073ef2e4323faaf717,False,0.42601431980906923,,
16,20260920,2185,2158,0.9876430205949657,4,4,c85d31ccc4f09e78055ad61abc11522ac9a5ad647b0e0de970c0084116643b27,False,0.42183770883054894,,
17,20260921,2185,2166,0.991304347826087,4,4,c2bae54e12bf56db436d7c2d960e573781e75e6fa2a0d2d5f7dead02730bf5f9,False,0.42482100238663484,,
18,20260922,2185,2167,0.9917620137299771,4,4,d26fe857f211cd1080c4707b62a210347fef47b73bc8c751731f7bbdd7ef74d1,False,0.42899761336515513,,
19,20260923,2185,2155,0.9862700228832952,4,4,08b9c6bb2b822a79281e1199db9018d0813456306cbe74c6096bba9b984c3ee6,False,0.42183770883054894,,
20,20260924,2185,2168,0.9922196796338673,4,4,898eb32e7a129dc2b1e62712da7517565a9ddbf8cf9bf00dfddce90309e5f510,False,0.4266109785202864,,
21,20260925,2185,2164,0.9903890160183066,4,4,e47d0a51fc307eb3763c828920dde241fa046294abdc0262fcc8ce198bdcf075,False,0.4236276849642005,,
22,20260926,2185,2163,0.9899313501144165,4,4,15b9a263df81718ef4c8e0f79b132fb488f7a43812dca9e456d9e0df113c77d8,False,0.4224343675417661,,
23,20260927,2185,2154,0.9858123569794051,4,4,a7a86734424dd9af1bcec5f200f8cedbcb7e61ac52fbe088f4b1bf75e6ecd236,False,0.425417661097852,,
